strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_B2,35 evolved,0.4623474982753124,0.2286319913273841,27.01457725862234,314.22536602950487,39.58217140044595,42.03026128981935,NA,9.422442244224424,0.9856078810992353,15
35_B6,35 evolved,0.4694932908368825,0.2404192360967918,11.020588922344375,313.07515154674803,37.03729199768023,42.339441771234405,NA,10.33003300330033,0.9881497652878497,15
35_B8,35 evolved,0.5200487364421684,0.1889106538373938,17.436842937295744,313.99495963289894,38.66073680830596,42.334122988322854,NA,11.655665566556657,0.9636722690125568,15
35_C5,35 evolved,0.49037938295580674,0.21006947088555583,17.207043521213468,314.0368898132386,38.731957828204045,42.40189023943694,NA,10.704070407040703,0.9283372381254368,15
35_C7,35 evolved,0.4886978998887797,0.21105368292634455,18.040467038587945,314.13292179062773,38.90556905728152,42.426577970809234,NA,10.594059405940595,0.9399025660219533,15
35_C9,35 evolved,0.45751444367297667,0.21939977221498486,27.12009074052948,314.17791950738655,39.52682169893682,41.97782773108233,NA,9.74697469746975,0.9539196344372312,15
35_D2,35 evolved,0.5168358113594286,0.19077524669771687,24.842410398511834,314.08659029342266,39.28175712495724,41.972100108503895,NA,11.089108910891085,0.9920769851932351,15
35_D4,35 evolved,0.535726234641485,0.17864831629236677,17.538565336843234,313.9012885371685,38.551181304153914,42.22834420655328,NA,12.189218921892191,0.9725651934209678,15
35_D8,35 evolved,0.47586434185263743,0.21075705266024922,22.373077711530637,314.1568955745723,39.24710199087523,42.16311599874865,NA,10.313531353135314,0.9328490905254527,15
35_E11,35 evolved,0.5080288954456996,0.19368922816440945,25.300983654008412,314.17910058676966,39.40210044508101,42.04631357671433,NA,10.929592959295931,0.9879979239077485,15
35_E7,35 evolved,0.49688747813112843,0.19919418351129406,26.604135496628626,314.11508024682036,39.41093378616657,41.93146793586628,NA,10.610561056105613,0.9353207513316535,15
35_E9,35 evolved,0.49459176147011796,0.2037453793663932,23.63741611279242,314.08807199713004,39.24075089064779,42.0293809436543,NA,10.539053905390542,0.9788633037615849,15
35_F2,35 evolved,0.48946391860739086,0.20208167786195486,27.75128750805399,314.2746123005257,39.62437907164552,42.05134685475364,NA,10.445544554455445,0.9846203910810634,15
