strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs,th_c
40_F6,40 evolved,0.5367311120152355,0.1939126966974926,27.845058804281035,314.49175326823917,39.83085661112465,42.26581393681216,0.9903678737394843,10.836083608360841,0.9565253019966143,15,41.34175326823919
35_G11,35 evolved,0.5062017481318389,0.2004015801237959,15.324386030054365,313.9544968946482,38.4261367386391,42.50956456834975,0.9165095762556651,11.303630363036305,0.8943509364757677,15,40.804496894648196
35_D8,35 evolved,0.4917571386011485,0.20401315041714613,21.371987467877887,314.168888553215,39.18227104328825,42.2299789873496,0.9201390278026051,10.66556655665567,0.9317708550360451,15,41.01888855321505
40_G5,40 evolved,0.4543619993052751,0.23799000897939795,22.776208012828395,314.33007421473945,39.48807128659916,42.320144351245865,0.9525223534163817,9.301430143014304,0.9736171861352181,15,41.18007421473948
35_E9,35 evolved,0.5109253621086021,0.1973285650945417,22.220014094849862,314.0972451305393,39.15355487921643,42.109319150573526,0.9362826243217908,10.907590759075909,0.9789478052137509,15,40.94724513053933
40_B6,40 evolved,0.4558316971223884,0.21654225494154256,34.16622042316979,314.493220946147,40.08728120664429,42.094588052256235,0.9106959812652733,9.647964796479645,0.9615218472325767,15,41.34322094614703
fRS585,fRS585,0.5166994331173154,0.19408087739833055,24.368346905537038,314.2706681205198,39.444534739350225,42.178463647947495,0.9445198125913077,10.962596259625965,0.9822089813423679,45,41.12066812051984
40_E9,40 evolved,0.4238170056268479,0.24411527147926662,26.876451689866837,314.47726279212566,39.84641683380682,42.29024410523701,0.916531497949114,8.927392739273927,0.9766083583969152,15,41.32726279212568
40_G11,40 evolved,0.5266819032567487,0.21437248853299276,13.25283423426042,314.7680767645595,38.99365405345557,43.617256221791685,1.0061725598396105,11.023102310231021,0.8427640444246602,15,41.61807676455953
35_E11,35 evolved,0.5231021041720335,0.18889873359534937,23.408778753809894,314.1856261030692,39.296857247479956,42.13665636180356,0.93753271277891,11.265126512651268,0.9881578477205052,15,41.035626103069205
40_D2,40 evolved,0.4631389107556668,0.21590072656638665,16.148169076871135,314.3901855255968,38.98769587254186,42.863547936797765,0.8913743422973419,10.583058305830587,0.9396562812263136,15,41.240185525596814
40_E11,40 evolved,0.517739163043024,0.19014674188603675,26.986752348983803,314.53404059677354,39.828594925731316,42.338055961427045,0.943772154584086,11.061606160616062,0.9937655308324357,15,41.38404059677356
35_D2,35 evolved,0.5301732671724482,0.18684290510886112,22.80074504632512,314.0870516405049,39.15900862706645,42.06722705735618,0.9411020074826927,11.397139713971399,0.9925607510492149,15,40.93705164050493
40_G9,40 evolved,0.582934166884105,0.18622968885405486,14.046747377154674,314.8525158129519,39.103133964533185,43.575152976109,1.0262382029587995,12.222222222222225,0.8998236068885496,15,41.7025158129519
35_B2,35 evolved,0.478724121707089,0.22152827302084102,25.70956662450623,314.2388807357884,39.5260683379884,42.09290768162522,0.9555296292096166,9.730473047304734,0.9860561049427774,15,41.08888073578845
40_C5,40 evolved,0.4769497994883942,0.22243049154803374,25.108371360842266,314.4902418654833,39.74704408006004,42.37071547443007,0.9600527395580275,9.741474147414742,0.98503895418619,15,41.340241865483335
35_B8,35 evolved,0.5354863791939309,0.18369767076919455,16.603732537416864,314.00133490176717,38.568918063331054,42.41660383150056,0.9264930948807678,12.007700770077008,0.9636834353276779,15,40.85133490176719
35_C7,35 evolved,0.5044900878802742,0.20479057984852778,17.6012488077487,314.14768412999643,38.86600405501686,42.47742670352245,0.9370044343226761,10.896589658965897,0.9395756242864238,15,40.99768412999646
35_G5,35 evolved,0.5470752185776268,0.18243970181902006,16.31796710668873,313.8032011330934,38.33946302258987,42.24449526505417,0.9381087635582404,12.084708470847083,0.9766908055664539,15,40.65320113309343
40_B2,40 evolved,0.48453937312340867,0.23502807905483847,11.73232246585949,314.76092628229134,38.805300126055116,43.892473078593554,0.9777454679220334,10.489548954895493,0.9082146361105445,15,41.61092628229136
40_E7,40 evolved,0.5136807851458375,0.19579491379562125,29.635858947962294,314.4647150143724,39.87983841330733,42.181761160530094,0.954980368037774,10.68206820682068,0.9945668229253124,15,41.31471501437244
40_C7,40 evolved,0.5403516445888905,0.16038478360800015,23.22886144392547,314.45312543829203,39.491013920149584,42.41101109382313,0.8900437419992925,12.986798679867992,0.9821752348309607,15,41.30312543829206
35_C9,35 evolved,0.4698816173382656,0.21504628856970284,24.938819788779455,314.18944947892567,39.4293428704796,42.07430044153315,0.9165986578592153,10.016501650165015,0.9533614177670304,15,41.03944947892569
35_F4,35 evolved,0.4832422172852963,0.24278947035180412,12.4186794916995,313.65162635385815,37.851653029783094,42.638505700868926,0.9718666568898875,10.044004400440045,0.9749812239664526,15,40.50162635385817
35_D4,35 evolved,0.5504349496221408,0.17466916009156563,16.63949112449405,313.89893512350625,38.4461544424226,42.30746373020896,0.9246903470815726,12.50825082508251,0.9733130940568513,15,40.74893512350627
40_D8,40 evolved,0.4857507259723826,0.20646968992838305,27.108939907341743,314.41277412067143,39.73989659173986,42.213253433794996,0.9303053625452938,10.286028602860288,0.9904434025420601,15,41.26277412067145
40_F2,40 evolved,0.5151057177229359,0.1898244488544246,26.070668450670333,314.72818228191744,39.97709695294998,42.56769786158514,0.9409186571030145,11.12761276127613,0.9216526551569066,15,41.578182281917464
35_F2,35 evolved,0.5040519618492468,0.1969181117181613,26.20113997269802,314.2891034411261,39.56065081244208,42.12156797691294,0.9326189140447394,10.742574257425744,0.9840949853899374,15,41.13910344112611
40_D4,40 evolved,0.508351009410857,0.190314458581976,11.504813157040312,314.87523223969214,38.72043382187826,44.03407401106228,0.8955501060741418,12.403740374037401,0.7989347570393964,15,41.72523223969216
40_B8,40 evolved,0.4794714804816512,0.2172273126016556,19.81231703985647,314.645792364477,39.569030615416196,42.81156158045522,0.9429147761514833,10.24752475247525,0.9214832734795447,15,41.49579236447704
35_C5,35 evolved,0.5064602311017923,0.20439089464884466,16.48325575923191,314.04513052099395,38.65414644191459,42.47786104021296,0.9339427735523335,11.01210121012101,0.9299311520681701,15,40.89513052099397
40_C9,40 evolved,0.5073055894869444,0.21487119372132515,25.17260852214287,314.469515162349,39.718019342944295,42.34631123078815,0.9964505052787661,10.027502750275026,0.9914061000373687,15,41.319515162349035
35_E7,35 evolved,0.515641021549121,0.19089204485238268,24.383642569666677,314.12309189914225,39.29359365153132,42.0288315747958,0.9301045903501928,11.105610561056107,0.9359404842217126,15,40.973091899142275
35_G9,35 evolved,0.5397681043140697,0.18022275174490926,19.84024198358328,313.90341395644504,38.75805835577723,42.05455979592452,0.9296965410555385,11.92519251925193,0.9879460021611384,15,40.75341395644506
35_B6,35 evolved,0.48432789491496187,0.23448821938380404,10.839831589113446,313.1106913839277,37.017864852570874,42.41504087254957,0.9263502513944248,10.566556655665565,0.9879429214366213,15,39.960691383927724
35_F6,35 evolved,0.5248834535662347,0.1844817369847231,20.125538302261287,313.90411459021095,38.79067652825372,42.03703380374677,0.9165289342462902,11.666666666666668,0.9737292197622591,15,40.754114590210975
40_F4,40 evolved,0.5287124285661186,0.19548829102540702,18.220054794803072,314.6543886509916,39.4001336870143,42.934856260832305,0.9670695735505173,11.309130913091309,0.917634437135196,15,41.50438865099164
