trait,comparison,mean_x,ref,diff,ci_lo,ci_hi,p_welch,p_wilcox,p_welch_holm,p_wilcox_holm,method
AUC at 41°C,35 evolved vs 40 evolved,0.4345809799382716,0.7281568479938271,-0.29357586805555547,-0.34791909375362684,-0.2392326423574841,3.5238469120062217e-12,3.814381746770092e-7,1.0571540736018665e-11,1.1443145240310276e-6,Observed
AUC at 41°C,35 evolved vs ancestor,0.4345809799382716,0.5777880208333332,-0.14320704089506164,0.38869361413334086,0.48046834574320235,4.638603503884482e-6,3.007193855209162e-4,4.638603503884482e-6,4.2818405169203625e-4,Observed
AUC at 41°C,40 evolved vs ancestor,0.7281568479938271,0.5777880208333332,0.15036882716049382,0.6957349138675404,0.76057878212011365,2.1269476909899398e-8,2.1409202584601812e-4,4.2538953819798796e-8,4.2818405169203625e-4,Observed
AUC at 42°C,35 evolved vs 40 evolved,0.07613757716049381,0.19895387731481481,-0.122816300154321,-0.18560206109935964,-0.060030539209282356,6.487740716160726e-4,3.646023071889964e-5,0.001834159625364003,1.0938069215669891e-4,Observed
AUC at 42°C,35 evolved vs ancestor,0.07613757716049381,0.07574143518518518,3.9614197530862816e-4,0.06440103925759669,0.08787411506339093,0.9440598129962998,0.930591460030879,0.9440598129962998,0.930591460030879,Observed
AUC at 42°C,40 evolved vs ancestor,0.19895387731481481,0.07574143518518518,0.12321244212962963,0.13694959153875652,0.26095816309087316,6.11386541788001e-4,3.007193855209162e-4,0.001834159625364003,6.014387710418324e-4,Observed
