strain,evolution_history,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_B2,35 evolved,6.518766005209189,0.3701310790603777,6.770600835505788,313.97468099421536,37.28822882288229,45.099009900990104,17.96973854384351,8.762376237623766,0.9926905981081328,15
35_B6,35 evolved,6.770012519894199,0.3660340805636767,6.275137471273435,313.83882621667556,36.969196919691974,45.33553355335534,18.11544575699698,9.048404840484054,0.9645807240186978,15
35_B8,35 evolved,6.717670621486578,0.3712879060672866,6.374301370934032,314.0306732756006,37.211221122112214,45.45654565456546,18.44772522480537,8.93289328932893,0.9515817235977634,15
35_C5,35 evolved,6.714225587685445,0.38017792077431645,5.19930325217032,313.80748494734394,36.56765676567657,46.44664466446645,18.0730667955406,9.471947194719469,0.961462575269211,15
35_C7,35 evolved,6.449298215989725,0.3909432065579729,5.148087172238434,314.0503587165016,36.826182618261825,46.793179317931795,18.059882386287114,9.367436743674372,0.9501203715788908,15
35_C9,35 evolved,8.174523503725528,0.2999475666935241,7.855734556687116,313.89217389486373,37.2937293729373,44.29042904290429,18.71912793807163,9.603960396039604,0.9844855452085014,15
35_D2,35 evolved,7.9597954088363,0.2998422458643327,8.882301585329703,314.0757026541726,37.75027502750275,44.031903190319035,18.608335081668447,9.3014301430143,0.9850654871644606,15
35_D4,35 evolved,6.754876813374098,0.36186979218047927,5.785974897347148,314.0166448307804,36.94169416941694,45.95709570957096,17.75770192759846,9.38943894389439,0.974016792133171,15
35_D8,35 evolved,6.337015004814563,0.3944626032028572,6.210259535169045,313.92166518953496,37.13421342134214,45.51705170517052,18.43115491675417,8.67986798679868,0.985659153075681,15
35_E11,35 evolved,7.609674483190905,0.3119243198793801,7.896645297543888,314.0578706066275,37.50825082508251,44.449944994499454,18.162373347533453,9.35093509350935,0.982773985832977,15
35_E7,35 evolved,6.7218386007097175,0.3740479386579675,9.60234209254746,313.9681332275762,38.00880088008801,43.72387238723873,19.677622721181862,7.805280528052805,0.9534433574194576,15
35_E9,35 evolved,6.408826891346963,0.39527815685167345,7.200352117846459,313.78133749128284,37.315731573157315,44.642464246424645,19.01679352015728,8.223322332233224,0.9764745753263057,15
35_F2,35 evolved,7.448881719644009,0.33527299094041896,7.097830575329228,313.87438461854015,37.17271727172717,44.730473047304734,18.622733779390884,9.185918591859185,0.9956814873827383,15
35_F4,35 evolved,6.316734135053064,0.4009738199876086,5.250125623899405,314.0526283149818,36.91969196919692,46.68316831683168,18.27002323880045,9.163916391639166,0.8904072585167575,15
