well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
f8,2,41,35_G9,35 evolved,0.39819895833333335,97
f8,2,42,35_G9,35 evolved,0.051644270833333325,97
f8,3,25,40_G5,40 evolved,0.6221708333333331,97
f8,3,35,40_G5,40 evolved,0.8812500000000002,97
f8,3,38,40_G5,40 evolved,0.8878552083333332,97
f8,3,41,40_G5,40 evolved,0.6485437499999999,97
f8,3,42,40_G5,40 evolved,0.07481666666666666,97
f9,2,25,35_F6,35 evolved,0.6711739583333335,97
f9,2,35,35_F6,35 evolved,0.8550791666666667,97
f9,2,38,35_F6,35 evolved,0.9486203124999997,97
