well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
b5,1,35,40_D2,40 evolved,0.7952958333333333,97
b5,1,38,40_D2,40 evolved,0.8643552083333335,97
b5,1,41,40_D2,40 evolved,0.5991015624999997,97
b5,1,42,40_D2,40 evolved,0.08214010416666669,97
b5,2,25,40_E11,40 evolved,0.6588166666666666,97
b5,2,35,40_E11,40 evolved,0.8643729166666666,97
b5,2,38,40_E11,40 evolved,0.901897395833333,97
b5,2,41,40_E11,40 evolved,0.7304770833333333,97
b5,2,42,40_E11,40 evolved,0.09914531250000004,97
b5,3,25,35_D2,35 evolved,0.6647739583333332,97
b5,3,35,35_D2,35 evolved,0.8788656249999998,97
b5,3,38,35_D2,35 evolved,0.9104562500000002,97
b5,3,41,35_D2,35 evolved,0.5287010416666666,97
b5,3,42,35_D2,35 evolved,0.061021874999999996,97
b7,3,25,fRS585,fRS585,0.6790718750000001,97
b7,3,35,fRS585,fRS585,0.8978968749999999,97
b7,3,38,fRS585,fRS585,0.9175937499999998,97
b7,3,41,fRS585,fRS585,0.6466812499999999,97
b7,3,42,fRS585,fRS585,0.07270312500000002,97
b8,1,25,40_G9,40 evolved,0.7547666666666666,97
b8,1,35,40_G9,40 evolved,1.0100197916666667,97
b8,1,38,40_G9,40 evolved,0.930986458333333,97
b8,1,41,40_G9,40 evolved,0.8836921875000001,97
b8,1,42,40_G9,40 evolved,0.5716598958333332,97
b8,2,25,35_B2,35 evolved,0.6082500000000002,97
b8,2,35,35_B2,35 evolved,0.8613916666666664,97
b8,2,38,35_B2,35 evolved,0.9322536458333331,97
b8,2,41,35_B2,35 evolved,0.6402166666666667,97
b8,2,42,35_B2,35 evolved,0.06461614583333333,97
b8,3,25,35_E11,35 evolved,0.6637625,97
b8,3,35,35_E11,35 evolved,0.8891354166666664,97
b8,3,38,35_E11,35 evolved,0.8985812500000002,97
b8,3,41,35_E11,35 evolved,0.49148645833333326,97
b8,3,42,35_E11,35 evolved,0.07840208333333334,97
b9,2,25,fRS585,fRS585,0.6115041666666666,97
b9,2,35,fRS585,fRS585,0.8741656250000001,97
b9,2,38,fRS585,fRS585,0.9157609375000003,97
b9,2,41,fRS585,fRS585,0.7084145833333332,97
b9,2,42,fRS585,fRS585,0.08010989583333329,97
b9,3,25,40_C5,40 evolved,0.6301541666666667,97
b9,3,35,40_C5,40 evolved,0.8527114583333334,97
b9,3,38,40_C5,40 evolved,0.9127354166666666,97
b9,3,41,40_C5,40 evolved,0.7554562500000002,97
b9,3,42,40_C5,40 evolved,0.22830729166666658,97
c10,1,25,35_B8,35 evolved,0.6949770833333333,97
c10,1,35,35_B8,35 evolved,0.8708072916666666,97
c10,1,38,35_B8,35 evolved,0.9118822916666666,97
c10,1,41,35_B8,35 evolved,0.5972651041666667,97
c10,1,42,35_B8,35 evolved,0.11056718750000001,97
c11,2,25,35_C7,35 evolved,0.6804072916666668,97
c11,2,35,35_C7,35 evolved,0.8534020833333331,97
c11,2,38,35_C7,35 evolved,0.9338109374999997,97
c11,2,41,35_C7,35 evolved,0.7057020833333332,97
c11,2,42,35_C7,35 evolved,0.14949010416666667,97
c2,1,25,35_G5,35 evolved,0.6929270833333334,97
c2,1,35,35_G5,35 evolved,0.8997322916666671,97
c2,1,38,35_G5,35 evolved,0.8948072916666665,97
c2,1,41,35_G5,35 evolved,0.48997135416666665,97
c2,1,42,35_G5,35 evolved,0.06309010416666665,97
c2,2,25,40_B2,40 evolved,0.6178416666666665,97
c2,2,35,40_B2,40 evolved,0.9394281249999996,97
c2,2,38,40_B2,40 evolved,0.9394213541666664,97
c2,2,41,40_B2,40 evolved,0.7444177083333332,97
c2,2,42,40_B2,40 evolved,0.5290536458333334,97
c2,3,25,35_E11,35 evolved,0.6708114583333333,97
c2,3,35,35_E11,35 evolved,0.8956937499999998,97
c2,3,38,35_E11,35 evolved,0.9237416666666666,97
c2,3,41,35_E11,35 evolved,0.6027541666666667,97
c2,3,42,35_E11,35 evolved,0.05456875000000001,97
c3,2,25,40_G11,40 evolved,0.7001114583333333,97
c3,2,35,40_G11,40 evolved,1.0157510416666666,97
c3,2,38,40_G11,40 evolved,0.9531682291666664,97
c3,2,41,40_G11,40 evolved,0.7234312499999997,97
c3,2,42,40_G11,40 evolved,0.6382463541666669,97
c3,3,25,40_E7,40 evolved,0.672284375,97
c3,3,35,40_E7,40 evolved,0.8852343749999998,97
c3,3,38,40_E7,40 evolved,0.8826968749999999,97
c3,3,41,40_E7,40 evolved,0.7527093749999998,97
c3,3,42,40_E7,40 evolved,0.08071458333333335,97
c4,1,25,40_C7,40 evolved,0.6538885416666667,97
c4,1,35,40_C7,40 evolved,0.8550927083333331,97
c4,1,38,40_C7,40 evolved,0.8769281250000001,97
c4,1,41,40_C7,40 evolved,0.6307828124999998,97
c4,1,42,40_C7,40 evolved,0.11612760416666662,97
c4,2,25,40_E11,40 evolved,0.6714020833333334,97
c4,2,35,40_E11,40 evolved,0.8184479166666667,97
c4,2,38,40_E11,40 evolved,0.9248130208333335,97
c4,2,41,40_E11,40 evolved,0.7397750000000001,97
c4,2,42,40_E11,40 evolved,0.1692828124999999,97
c4,3,25,35_C9,35 evolved,0.6129093750000001,97
c4,3,35,35_C9,35 evolved,0.8751312500000002,97
c4,3,38,35_C9,35 evolved,0.9165229166666664,97
c4,3,41,35_C9,35 evolved,0.5697697916666665,97
c4,3,42,35_C9,35 evolved,0.058792708333333304,97
c5,1,25,35_G5,35 evolved,0.705765625,97
c5,1,35,35_G5,35 evolved,0.8930739583333334,97
c5,1,38,35_G5,35 evolved,0.9354343749999998,97
