variable,PC1,PC2
topt,0.544380094885384,-0.07826462907018221
tmax,0.34138565688609185,0.20434543073918734
th_c,0.7144074477850564,0.08196539670166617
fluconazole,0.08859612379617332,0.6501635173779657
caspofungin,0.2391235844394258,-0.3022651063683424
amphotericin,-0.10816090942391708,0.656751454249557
