strain,batch,date,set,drug,evolution_history,ic50
40_C9,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.40535788784771487
40_C9,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.016529869944115868
40_C9,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,27.878946814883715
40_C9,Feb 26_Plate1,Feb 26,Plate1,fluconazole,40 evolved,43.98829577416953
40_E7,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.44505925329040336
40_E7,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.020812294605728383
40_E7,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,19.447100724228143
40_E7,Feb 26_Plate2,Feb 26,Plate2,fluconazole,40 evolved,30.601029021110516
40_E11,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.4401812950386684
40_E11,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.014179890629282045
40_E11,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,19.456462385212884
40_E11,Feb 26_Plate2,Feb 26,Plate2,fluconazole,40 evolved,41.1870948558652
40_F6,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.3287873513799152
40_F6,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.014229088740691264
40_F6,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,16.86913178162557
40_F6,Feb 26_Plate3,Feb 26,Plate3,fluconazole,40 evolved,22.759661957996897
40_G9,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.4872260941111791
40_G9,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.022165832438714155
40_G9,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,267.6005644675084
40_G9,Feb 26_Plate3,Feb 26,Plate3,fluconazole,40 evolved,81.19377366859626
40_G11,Mar 6_Set4,Mar 6,Set4,amphotericin,40 evolved,0.4852585248563286
40_G11,Mar 6_Set4,Mar 6,Set4,caspofungin,40 evolved,0.01873435339602273
40_G11,Mar 6_Set4,Mar 6,Set4,fluconazole,40 evolved,138.60877793602458
40_G11,Feb 26_Plate3,Feb 26,Plate3,fluconazole,40 evolved,85.56630381386208
fRS585,Mar 6_Set4,Mar 6,Set4,amphotericin,fRS585,0.30637162897077647
fRS585,Mar 6_Set4,Mar 6,Set4,caspofungin,fRS585,0.013809380265606344
fRS585,Mar 6_Set4,Mar 6,Set4,fluconazole,fRS585,15.527399154470679
fRS585,Mar 6_Set3,Mar 6,Set3,amphotericin,fRS585,0.1282660110652978
fRS585,Mar 6_Set3,Mar 6,Set3,caspofungin,fRS585,0.014343142416513171
fRS585,Mar 6_Set3,Mar 6,Set3,fluconazole,fRS585,14.181940106306305
fRS585,Mar 6_Set2,Mar 6,Set2,amphotericin,fRS585,0.2944053117960384
fRS585,Mar 6_Set2,Mar 6,Set2,caspofungin,fRS585,0.013561673759573314
fRS585,Mar 6_Set2,Mar 6,Set2,fluconazole,fRS585,6.63321353936651
fRS585,Mar 6_Set1,Mar 6,Set1,amphotericin,fRS585,0.3006777059049782
fRS585,Mar 6_Set1,Mar 6,Set1,caspofungin,fRS585,0.014402830134587066
fRS585,Mar 6_Set1,Mar 6,Set1,fluconazole,fRS585,13.673147643881817
fRS585,Feb 26_Plate3,Feb 26,Plate3,fluconazole,fRS585,20.70014982045672
fRS585,Feb 26_Plate2,Feb 26,Plate2,fluconazole,fRS585,25.14829908345522
fRS585,Feb 26_Plate1,Feb 26,Plate1,fluconazole,fRS585,27.115314546898578
35_F2,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.1505888632910383
