population,drug,evolution_history,concentration,fitted,ci_lo,ci_hi
40_F2,fluconazole,40 evolved,0.014999999999999998,0.8593428603240176,0.8253549683830755,0.9260011327176021
40_F2,fluconazole,40 evolved,0.015895296954340957,0.8593428603240176,0.8253549683830755,0.926001132717602
40_F2,fluconazole,40 evolved,0.01684403101777871,0.8593428603240176,0.8253549683830755,0.926001132717602
40_F2,fluconazole,40 evolved,0.017849391662381506,0.8593428603240176,0.8253549683830755,0.9260011327176019
40_F2,fluconazole,40 evolved,0.01891475872852611,0.8593428603240176,0.8253549683830755,0.9260011327176018
40_F2,fluconazole,40 evolved,0.020043713787309,0.8593428603240176,0.8253549683830755,0.9260011327176016
40_F2,fluconazole,40 evolved,0.021240052181139633,0.8593428603240176,0.8253549683830755,0.9260011327176015
40_F2,fluconazole,40 evolved,0.02250779578299412,0.8593428603240176,0.8253549683830755,0.9260011327176013
40_F2,fluconazole,40 evolved,0.02385120651722364,0.8593428603240176,0.8253549683830755,0.9260011327176011
40_F2,fluconazole,40 evolved,0.025274800687372128,0.8593428603240176,0.8253549683830755,0.9260011327176008
40_F2,fluconazole,40 evolved,0.026783364159170733,0.8593428603240176,0.8253549683830755,0.9260011327176003
40_F2,fluconazole,40 evolved,0.028381968449751407,0.8593428603240176,0.8253549683830755,0.9260011327175998
40_F2,fluconazole,40 evolved,0.030075987777168984,0.8593428603240176,0.8253549683830755,0.9260011327175991
40_F2,fluconazole,40 evolved,0.03187111712754866,0.8593428603240176,0.8253549683830755,0.9260011327175982
40_F2,fluconazole,40 evolved,0.033773391400597874,0.8593428603240176,0.8253549683830755,0.926001132717597
40_F2,fluconazole,40 evolved,0.03578920569784588,0.8593428603240176,0.8253549683830755,0.9260011327175955
40_F2,fluconazole,40 evolved,0.037925336821816764,0.8593428603240176,0.8253549683830755,0.9260011327175935
40_F2,fluconazole,40 evolved,0.040188966058411935,0.8593428603240176,0.8253549683830755,0.9260011327175911
40_F2,fluconazole,40 evolved,0.04258770331909247,0.8593428603240176,0.8253549683830755,0.9260011327175879
40_F2,fluconazole,40 evolved,0.045129612724023105,0.8593428603240176,0.8253549683830755,0.9260011327175838
