strain,rmax,topt,ctmin,tmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,evolution_history
40_F6,14.598628155137499,39.188,-Inf,42.827,0.3027483978104991,10.046371311648548,NA,3.638999999999996,Inf,8.0589999999999975,-9.743622913838049,40 evolved
35_G11,13.827862003201412,37.079,-19.39,44.048,0.3433942312563187,2.5958574058935335,NA,6.969000000000001,63.438,8.459000000000003,-2.252463174637215,35 evolved
35_D8,14.038282104706246,37.45,-18.777,43.826,0.3659669294174313,2.5531895032655227,NA,6.375999999999998,62.603,8.261,-2.1872225738480915,35 evolved
40_G5,12.864728133689818,38.285,-Inf,43.165,0.281063301295697,8.25311224969176,NA,4.880000000000003,Inf,8.904999999999998,-7.972048948396063,40 evolved
35_E9,15.043644585204207,36.568,-10.714,43.882999999999996,0.45185553161461656,3.0260863587289113,NA,7.314999999999998,54.596999999999994,7.6590000000000025,-2.574230827114295,35 evolved
40_B6,13.226746804608442,39.543,-Inf,42.672,0.26051649206198574,13.385934145746342,NA,3.128999999999998,Inf,8.702000000000005,-13.125417653684357,40 evolved
fRS585,14.019438186819874,37.693,-22.076,43.434,0.35484390715830677,2.704207729422726,NA,5.741,65.50999999999999,8.358,-2.349363822264419,fRS585
40_E9,12.499709394426773,38.304,-Inf,43.344,0.26579013332067997,7.280272645882905,NA,5.039999999999999,Inf,9.378,-7.014482512562225,40 evolved
40_G11,14.083492902640167,37.055,-13.448,45.656,0.4289220063699421,1.6982278512259565,NA,8.600999999999999,59.104,8.450999999999997,-1.2693058448560144,40 evolved
35_E11,14.134097376761497,38.428,-Inf,42.927,0.30877072715848297,9.482600032841448,NA,4.499000000000002,Inf,8.274999999999999,-9.173829305682965,35 evolved
40_D2,12.593199279960844,36.945,-Inf,44.387,0.2928326507097492,2.372551262519609,NA,7.442,Inf,9.333999999999996,-2.0797186118098594,40 evolved
40_E11,14.076677387324303,37.620000000000005,-20.783,44.163,0.3823320129555648,2.1143105631666916,NA,6.542999999999992,64.946,8.573,-1.731978550211127,40 evolved
35_D2,14.032989896574435,38.122,-Inf,42.856,0.2988911073704789,9.644000124248915,NA,4.734000000000002,Inf,8.363000000000003,-9.345109016878437,35 evolved
40_G9,14.433422148293717,37.589,-16.025,44.93,0.4033324000862271,1.7547114039271554,NA,7.341000000000001,60.955,8.368000000000002,-1.3513790038409284,40 evolved
35_B2,14.03010181397566,37.788,-20.716,43.289,0.38326877757348676,2.7845197764542498,NA,5.501000000000005,64.005,8.074999999999996,-2.401250998880763,35 evolved
