rep.id,well,block,test_temperature,strain,evolution_history,mu,r2
d10_1_38_40_B8_40 evolved,d10,1,38,40_B8,40 evolved,6.895316806916611,0.9949621348062044
d2_1_38_40_B8_40 evolved,d2,1,38,40_B8,40 evolved,6.026114923123969,0.9973989848098869
d4_1_38_40_F2_40 evolved,d4,1,38,40_F2,40 evolved,6.198079289145862,0.9972735763436745
d5_1_38_40_C7_40 evolved,d5,1,38,40_C7,40 evolved,6.94717949350543,0.9965781363850936
d7_1_38_35_B6_35 evolved,d7,1,38,35_B6,35 evolved,6.721025744594912,0.9973730201957358
e10_1_38_fRS585_fRS585,e10,1,38,fRS585,fRS585,6.80038094119314,0.9970583322172785
e2_1_38_35_B8_35 evolved,e2,1,38,35_B8,35 evolved,6.92266962298155,0.9972998477523692
e3_1_38_35_F4_35 evolved,e3,1,38,35_F4,35 evolved,6.852074355978788,0.9963381978671401
e5_1_38_40_D4_40 evolved,e5,1,38,40_D4,40 evolved,6.421239362411181,0.9965574138723483
e7_1_38_35_F4_35 evolved,e7,1,38,35_F4,35 evolved,7.128113167573434,0.9975366653596605
e8_1_38_35_B8_35 evolved,e8,1,38,35_B8,35 evolved,6.945539760613383,0.9972682583815168
e9_1_38_40_D2_40 evolved,e9,1,38,40_D2,40 evolved,6.8894327345175395,0.9954815533121271
f10_1_38_40_F2_40 evolved,f10,1,38,40_F2,40 evolved,7.068374879727266,0.9618059106210053
f11_1_38_fRS585_fRS585,f11,1,38,fRS585,fRS585,6.807863291299957,0.9973148827389379
f2_1_38_35_G5_35 evolved,f2,1,38,35_G5,35 evolved,6.706520201077661,0.9975794918668978
f3_1_38_40_D4_40 evolved,f3,1,38,40_D4,40 evolved,6.622832233380726,0.997153675160576
f4_1_38_35_D4_35 evolved,f4,1,38,35_D4,35 evolved,6.902504584237049,0.9971917088540991
f5_1_38_35_B6_35 evolved,f5,1,38,35_B6,35 evolved,6.849971624741357,0.9970939212693621
f6_1_38_40_B8_40 evolved,f6,1,38,40_B8,40 evolved,6.62920867814008,0.9959714122794748
f7_1_38_40_C7_40 evolved,f7,1,38,40_C7,40 evolved,6.038112148671798,0.9959500533186305
g10_1_38_40_G9_40 evolved,g10,1,38,40_G9,40 evolved,7.266186185029014,0.9978320767904237
g2_1_38_35_G11_35 evolved,g2,1,38,35_G11,35 evolved,6.959410816679887,0.9973866838587676
g4_1_38_35_B6_35 evolved,g4,1,38,35_B6,35 evolved,6.90015098328897,0.9972740149247634
g6_1_38_40_D2_40 evolved,g6,1,38,40_D2,40 evolved,6.865691192813342,0.9960539526099025
g7_1_38_40_G9_40 evolved,g7,1,38,40_G9,40 evolved,7.2950887949308,0.9976163291302402
g8_1_38_35_G11_35 evolved,g8,1,38,35_G11,35 evolved,6.492653338199151,0.9973398425493407
g9_1_38_35_D4_35 evolved,g9,1,38,35_D4,35 evolved,6.835205294695715,0.9972113953233422
b11_2_42_35_D8_35 evolved,b11,2,42,35_D8,35 evolved,0.4139039266287288,0.9017798843073633
b2_2_42_35_E9_35 evolved,b2,2,42,35_E9,35 evolved,0.743253842790911,0.6381052165874869
b3_2_42_40_E9_40 evolved,b3,2,42,40_E9,40 evolved,0.40362623503002615,0.9911151733996538
b4_2_42_40_G11_40 evolved,b4,2,42,40_G11,40 evolved,1.2806248767875337,0.9989782615393094
b5_2_42_40_E11_40 evolved,b5,2,42,40_E11,40 evolved,0.38230728665750935,0.9583926288282065
b8_2_42_35_B2_35 evolved,b8,2,42,35_B2,35 evolved,0.31205959078817946,0.8857253167226544
b9_2_42_fRS585_fRS585,b9,2,42,fRS585,fRS585,0.3815565920881759,0.8798416614436182
c11_2_42_35_C7_35 evolved,c11,2,42,35_C7,35 evolved,0.7331429513141654,0.9223354138530939
c2_2_42_40_B2_40 evolved,c2,2,42,40_B2,40 evolved,2.5468399307259064,0.9913698974219939
c3_2_42_40_G11_40 evolved,c3,2,42,40_G11,40 evolved,3.776340603351061,0.992832938483931
c4_2_42_40_E11_40 evolved,c4,2,42,40_E11,40 evolved,0.5643872291501858,0.9909293520841278
c5_2_42_40_E9_40 evolved,c5,2,42,40_E9,40 evolved,0.3331958678020492,0.963557263768885
c9_2_42_fRS585_fRS585,c9,2,42,fRS585,fRS585,0.331774815276048,0.8769570840223221
d10_2_42_35_E9_35 evolved,d10,2,42,35_E9,35 evolved,0.2962565234412812,0.8695551760312108
d11_2_42_40_B2_40 evolved,d11,2,42,40_B2,40 evolved,1.9839125164860085,0.994618027036883
d2_2_42_40_C9_40 evolved,d2,2,42,40_C9,40 evolved,0.5236955833458861,0.989316192741321
d3_2_42_35_D8_35 evolved,d3,2,42,35_D8,35 evolved,0.3531492412789345,0.8793868516285506
d4_2_42_35_D8_35 evolved,d4,2,42,35_D8,35 evolved,0.3369227580025538,0.8757399248507898
d5_2_42_40_E9_40 evolved,d5,2,42,40_E9,40 evolved,0.30232941399233193,0.9526197076846514
d6_2_42_35_G9_35 evolved,d6,2,42,35_G9,35 evolved,0.2747480507054246,0.8768804170767657
d8_2_42_40_C9_40 evolved,d8,2,42,40_C9,40 evolved,0.3533788598494126,0.9673570306235314
d9_2_42_40_C9_40 evolved,d9,2,42,40_C9,40 evolved,1.0962105277990113,0.7148738646508317
e10_2_42_fRS585_fRS585,e10,2,42,fRS585,fRS585,0.29308509246584885,0.8797755673358076
e11_2_42_40_E11_40 evolved,e11,2,42,40_E11,40 evolved,0.3946405178723152,0.9670298358420502
e3_2_42_35_C7_35 evolved,e3,2,42,35_C7,35 evolved,0.48524631786790257,0.8907086375675821
e8_2_42_35_C7_35 evolved,e8,2,42,35_C7,35 evolved,0.47106217209168544,0.896093869777749
e9_2_42_35_B2_35 evolved,e9,2,42,35_B2,35 evolved,0.29030294740249346,0.8721216794300248
f11_2_42_35_B2_35 evolved,f11,2,42,35_B2,35 evolved,0.2994046389689027,0.8827118167718724
f2_2_42_35_F6_35 evolved,f2,2,42,35_F6,35 evolved,0.6376423797280726,0.603283375749089
f3_2_42_40_F4_40 evolved,f3,2,42,40_F4,40 evolved,2.3866992684992265,0.9940706698856663
f4_2_42_40_G11_40 evolved,f4,2,42,40_G11,40 evolved,2.1075955100473736,0.7073855495850045
f5_2_42_40_B2_40 evolved,f5,2,42,40_B2,40 evolved,0.790045943210687,0.9989558092435834
f7_2_42_40_F4_40 evolved,f7,2,42,40_F4,40 evolved,0.496810350872765,0.9854914437348906
f8_2_42_35_G9_35 evolved,f8,2,42,35_G9,35 evolved,0.26159626034195205,0.8760461585227096
f9_2_42_35_F6_35 evolved,f9,2,42,35_F6,35 evolved,0.2516425404629386,0.8790144763998292
g3_2_42_35_G9_35 evolved,g3,2,42,35_G9,35 evolved,0.24905831455302468,0.8689790304161151
g5_2_42_40_F4_40 evolved,g5,2,42,40_F4,40 evolved,0.49559205784771876,0.9859559943889991
g6_2_42_35_F6_35 evolved,g6,2,42,35_F6,35 evolved,0.24951167718656225,0.8697856307665852
g8_2_42_35_E9_35 evolved,g8,2,42,35_E9,35 evolved,0.2649744703627824,0.8718967900051471
b11_2_41_35_D8_35 evolved,b11,2,41,35_D8,35 evolved,4.449888261289823,0.9920387091326485
b2_2_41_35_E9_35 evolved,b2,2,41,35_E9,35 evolved,2.044796316313416,0.9957635678012771
b3_2_41_40_E9_40 evolved,b3,2,41,40_E9,40 evolved,4.507246433735931,0.9931513351029079
b4_2_41_40_G11_40 evolved,b4,2,41,40_G11,40 evolved,5.008032956456079,0.9936936779690264
b5_2_41_40_E11_40 evolved,b5,2,41,40_E11,40 evolved,4.180301425657504,0.9922889633435353
b8_2_41_35_B2_35 evolved,b8,2,41,35_B2,35 evolved,3.335833871487975,0.9920049537060354
b9_2_41_fRS585_fRS585,b9,2,41,fRS585,fRS585,3.8602559393242166,0.9927645287213585
c11_2_41_35_C7_35 evolved,c11,2,41,35_C7,35 evolved,3.949342548319454,0.9924670784974267
c2_2_41_40_B2_40 evolved,c2,2,41,40_B2,40 evolved,4.338161403130166,0.9928489568934699
c3_2_41_40_G11_40 evolved,c3,2,41,40_G11,40 evolved,6.177118604545004,0.9893408412374354
c4_2_41_40_E11_40 evolved,c4,2,41,40_E11,40 evolved,4.185129314155826,0.9928364274696793
c5_2_41_40_E9_40 evolved,c5,2,41,40_E9,40 evolved,3.9056743922491055,0.9920400924556729
c9_2_41_fRS585_fRS585,c9,2,41,fRS585,fRS585,3.0806059083852206,0.9926043639185393
d10_2_41_35_E9_35 evolved,d10,2,41,35_E9,35 evolved,5.537607994139158,0.9091686225384352
d11_2_41_40_B2_40 evolved,d11,2,41,40_B2,40 evolved,4.825725886396099,0.9928646266478113
d2_2_41_40_C9_40 evolved,d2,2,41,40_C9,40 evolved,4.098335593166482,0.993642968257877
d3_2_41_35_D8_35 evolved,d3,2,41,35_D8,35 evolved,1.4926041129345244,0.9987031555373004
d4_2_41_35_D8_35 evolved,d4,2,41,35_D8,35 evolved,1.0852621112849954,0.9960854597857366
d5_2_41_40_E9_40 evolved,d5,2,41,40_E9,40 evolved,3.688598412948341,0.991997887822611
d6_2_41_35_G9_35 evolved,d6,2,41,35_G9,35 evolved,1.4717677682226908,0.9965829052809517
d8_2_41_40_C9_40 evolved,d8,2,41,40_C9,40 evolved,4.466121033744328,0.992810753999958
d9_2_41_40_C9_40 evolved,d9,2,41,40_C9,40 evolved,4.568229323689191,0.9928070052717608
e10_2_41_fRS585_fRS585,e10,2,41,fRS585,fRS585,2.6054851335614813,0.9948280671786659
e11_2_41_40_E11_40 evolved,e11,2,41,40_E11,40 evolved,6.785784018860151,0.9627279502412621
