rep.id,n_min,status,n_points_selected,r_final,r_se_final,converged,time_max_used,note
d5_1_42_40_C7_40 evolved,15,success,18,1.968639238491141,0.07106858060287767,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d5_2_41_40_E9_40 evolved,15,success,18,2.2812346861323483,0.1467071128069422,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d5_2_42_40_E9_40 evolved,15,success,18,1.2600671439813296,0.057644889115177546,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d5_3_41_35_E7_35 evolved,15,success,18,2.1952101094012235,0.1431555210881935,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d5_3_42_35_E7_35 evolved,15,success,38,1.4589277529045446,0.02348067283307843,TRUE,0.3854166666666667,Selected first 38 of 97 available points
d6_2_41_35_G9_35 evolved,15,success,18,2.371781843401323,0.14708658785429357,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d6_2_42_35_G9_35 evolved,15,success,20,1.3784542574122807,0.06335919694451339,TRUE,0.19791666666666663,Selected first 20 of 97 available points
d6_3_41_35_C9_35 evolved,15,success,18,2.6338366406609715,0.12447362977913415,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d6_3_42_35_C9_35 evolved,15,success,21,1.3276364106393124,0.049252464657839286,TRUE,0.20833333333333337,Selected first 21 of 97 available points
d7_1_41_35_B6_35 evolved,15,success,17,2.030324736469351,0.12915216093225634,TRUE,0.16666666666666666,Selected first 17 of 97 available points
d7_1_42_35_B6_35 evolved,15,success,19,1.9502890377033133,0.0808709467103608,TRUE,0.1875,Selected first 19 of 97 available points
d7_3_41_40_D8_40 evolved,15,success,19,2.82746311357355,0.16248532585917036,TRUE,0.1875,Selected first 19 of 97 available points
d7_3_42_40_D8_40 evolved,15,success,18,1.1944659768672414,0.062365058874225325,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d8_2_41_40_C9_40 evolved,15,success,18,2.6851458319211585,0.17203133526144582,TRUE,0.17708333333333334,Selected first 18 of 97 available points
d8_2_42_40_C9_40 evolved,15,success,20,1.5522278182325897,0.06876086155118931,TRUE,0.19791666666666663,Selected first 20 of 97 available points
d9_2_41_40_C9_40 evolved,15,success,17,2.4567482643964422,0.16620557795487317,TRUE,0.16666666666666666,Selected first 17 of 97 available points
d9_2_42_40_C9_40 evolved,15,success,19,1.621164212731743,0.06478769930763977,TRUE,0.1875,Selected first 19 of 97 available points
e10_1_41_fRS585_fRS585,15,success,18,2.098531552617639,0.1500679456475638,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e10_1_42_fRS585_fRS585,15,success,19,2.113905088969827,0.09365660723275707,TRUE,0.1875,Selected first 19 of 97 available points
e10_2_41_fRS585_fRS585,15,success,18,2.865769574014282,0.15455788165886009,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e10_2_42_fRS585_fRS585,15,success,17,1.303176062991529,0.051987987559247585,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e11_2_41_40_E11_40 evolved,15,success,17,2.8490309238221534,0.16547841526347323,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e11_2_42_40_E11_40 evolved,15,success,17,1.4919624586680358,0.07091375181150243,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e11_3_41_40_E7_40 evolved,15,success,17,2.704288508024465,0.15649954461422433,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e11_3_42_40_E7_40 evolved,15,success,17,1.2974841796446053,0.053597014433451225,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e2_1_41_35_B8_35 evolved,15,success,17,2.058225030769027,0.12067282688087569,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e2_1_42_35_B8_35 evolved,15,success,21,1.8895474743584348,0.061836253825168955,TRUE,0.20833333333333337,Selected first 21 of 97 available points
e2_3_41_40_B6_40 evolved,15,success,19,2.663868144774782,0.15493715008240452,TRUE,0.1875,Selected first 19 of 97 available points
e2_3_42_40_B6_40 evolved,15,success,26,1.2886197313353762,0.036202281830769754,TRUE,0.2604166666666667,Selected first 26 of 97 available points
e3_1_41_35_F4_35 evolved,15,success,18,2.062709207704785,0.13175869829676176,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e3_1_42_35_F4_35 evolved,15,success,20,2.794466238541735,0.1246263865527082,TRUE,0.19791666666666663,Selected first 20 of 97 available points
e3_2_41_35_C7_35 evolved,15,success,17,2.2249427750897697,0.10622349284562096,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e3_2_42_35_C7_35 evolved,15,success,17,1.8857077248278793,0.08928722794090976,TRUE,0.16666666666666666,Selected first 17 of 97 available points
e4_3_41_35_C5_35 evolved,15,success,19,2.346985949303155,0.1426499414221429,TRUE,0.1875,Selected first 19 of 97 available points
e4_3_42_35_C5_35 evolved,15,success,37,2.4717842220317747,0.04151963541594317,TRUE,0.375,Selected first 37 of 97 available points
e5_1_41_40_D4_40 evolved,15,success,18,2.0795414562056846,0.140280492685253,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e5_1_42_40_D4_40 evolved,15,success,20,1.826105342359823,0.08480460165441779,TRUE,0.19791666666666663,Selected first 20 of 97 available points
e5_3_41_40_G5_40 evolved,15,success,20,2.1328086002340965,0.1433909971521967,TRUE,0.19791666666666663,Selected first 20 of 97 available points
e5_3_42_40_G5_40 evolved,15,success,19,1.0024283719994986,0.05518528418951333,TRUE,0.1875,Selected first 19 of 97 available points
e7_1_41_35_F4_35 evolved,15,success,18,2.189996130158724,0.1483213202000552,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e7_1_42_35_F4_35 evolved,15,success,19,2.9956026129294697,0.12183838856971721,TRUE,0.1875,Selected first 19 of 97 available points
e8_1_41_35_B8_35 evolved,15,success,18,2.092333026103058,0.14875549048482686,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e8_1_42_35_B8_35 evolved,15,success,19,2.28138072229738,0.11641475439877316,TRUE,0.1875,Selected first 19 of 97 available points
