unique_id,well,test_temperature,treatment,mu,best_model,se,R2,n_obs
A6_34_fRS585,A6,34,fRS585,11.315212829580366,gr.lagsat,0.16346473199202544,0.9971125880908107,38
A6_37_water,A6,37,water,0.913399887178961,gr.lag,0.06691284264568242,0.8605766207097558,33
A6_40.5_water,A6,40.5,water,14.17370211006717,gr.lagsat,1.740132328336958,0.9849172275829525,20
A6_40_water,A6,40,water,0.5271966437487918,gr.lag,0.047247356236534505,0.8014204290335741,46
A6_41_water,A6,41,water,13.001590510816689,gr.lagsat,1.272834571597944,0.9906942749548314,20
A6_42_water,A6,42,water,-0.011268756356469924,gr.flr,0.007038375459907727,0.08986640436938087,27
A7_25_water,A7,25,water,0.012572838782056206,gr,0.0034385704725116333,0.13320166415411006,89
A7_30_water,A7,30,water,0.01975454778845447,gr.sat,0.001844468422553481,0.7555789754737523,59
A7_34_fRS585,A7,34,fRS585,10.679954201600296,gr.lagsat,0.1795535415438428,0.9959524830130023,38
A7_37_water,A7,37,water,1.0553873788204078,gr.lag,0.09250595294319626,0.8237682924590364,31
A7_40.5_water,A7,40.5,water,12.851861954647125,gr.lagsat,1.3517436078662786,0.9879519432556151,20
A7_40_water,A7,40,water,21.484221608950225,gr.lagsat,5.125644191150826,0.8912542807751166,18
A7_41_water,A7,41,water,14.762703120165947,gr.lagsat,1.221734926716412,0.9906363971260095,20
A7_42_water,A7,42,water,-0.08556346250219303,gr.flr,0.03374917764176024,0.22164496749812024,15
A8_25_water,A8,25,water,-0.0279261233047918,gr,0.004600124398799608,0.29755883608034595,89
A8_30_water,A8,30,water,0.0542426861233244,gr.lagsat,0.007425411074797872,0.8552297022262072,42
A8_34_fRS585,A8,34,fRS585,8.922799707775997,gr.sat,0.19985642790187114,0.9859540649245917,40
A8_37_water,A8,37,water,0.9080519685938984,gr.lag,0.07441613890287543,0.8410410904075232,34
A8_40.5_water,A8,40.5,water,11.910917830938171,gr.lagsat,1.7733188092289716,0.9766287597885208,20
A8_40_water,A8,40,water,12.674869254376846,gr.lagsat,1.1490549389732718,0.9894197431668257,19
A8_41_water,A8,41,water,13.707699092474822,gr.lagsat,1.2534044200282914,0.9892298899353924,20
A8_42_water,A8,42,water,-0.004905928397964447,gr.flr,0.005356429537570801,0.02795541913384747,33
A9_25_water,A9,25,water,0.022224580941126598,gr,0.0030425096866349716,0.38015845359865186,89
A9_30_water,A9,30,water,0.08196935487806678,gr.lagsat,0.02629964355587477,0.7493439485387372,30
A9_34_fRS585,A9,34,fRS585,8.913922612282882,gr.sat,0.2063917779489728,0.9841802745782698,41
A9_37_water,A9,37,water,0.8516399562893036,gr.lag,0.06917011929904958,0.8383081096091378,36
A9_40.5_water,A9,40.5,water,19.358419553652134,gr.lagsat,350570.72815246176,0.9919795536657586,20
A9_40_water,A9,40,water,19.553396625281362,gr.lagsat,298553.7291877613,0.9909085626655654,18
A9_41_water,A9,41,water,13.778201729889012,gr.lagsat,1.262595394749673,0.9880355088430964,20
A9_42_water,A9,42,water,-0.022563557768261716,gr.flr,0.008884207737017596,0.1907206666507434,24
B10_25_fRS585,B10,25,fRS585,7.156545415699426,gr.lagsat,0.1336744912946911,0.9944325937387414,51
B10_30_water,B10,30,water,0.013797832596696643,gr.lagsat,0.006916299904506977,0.27578478668510975,46
B10_34_blank,B10,34,blank,2.5149431061136567,gr.lag,0.049291076794482636,0.9895620053332753,30
B10_37_NA,B10,37,NA,0.005187020803996835,gr.lag,0.0020043688969062124,0.15649135890498744,55
B10_40.5_fRS585,B10,40.5,fRS585,7.904556265344628,gr.lagsat,0.08576375995905579,0.9980387828426056,49
B10_40_NA,B10,40,NA,-0.010282403819572312,gr.flr,0.0036355055055993166,0.21541882470013263,43
B10_41_fRS585,B10,41,fRS585,7.13117551374766,gr.sat,0.1462399283064626,0.9863559871223996,49
B10_42_fRS585,B10,42,fRS585,1.5020453679587242,gr.lagsat,0.0458349151016579,0.983399375895644,50
B11_25_NA,B11,25,NA,0.05672776756661514,gr.sat,0.013079963786710124,0.41596424526574627,33
B11_30_water,B11,30,water,0.275290636768209,gr.lagsat,0.007208251781771083,0.96546177671964,93
B11_34_blank,B11,34,blank,0.028294312227961572,gr.lagsat,0.006882042619293355,0.672974883832385,38
B11_37_fRS585,B11,37,fRS585,8.012804476432093,gr.sat,0.19722986821852384,0.9807210409858746,48
B11_40.5_NA,B11,40.5,NA,-0.026468342818084058,gr.flr,0.007888961885289052,0.26407131102957937,42
B11_40_blank,B11,40,blank,0.05110768718708226,gr,0.03711356554226088,0.021331598970102283,89
B11_41_NA,B11,41,NA,-0.039441232026315116,gr.flr,0.013387078854114427,0.24155109875979042,24
B11_42_NA,B11,42,NA,0.042784028960277325,gr.lagsat,0.049690205742796055,0.3193608104972767,24
B12_25_water,B12,25,water,0.058897390868657626,gr.sat,0.017176577804611588,0.29679495894629937,38
B12_30_water,B12,30,water,0.023638369183938187,gr.sat,0.001644414380097527,0.8097285816206542,75
B12_34_blank,B12,34,blank,0.05792034556352068,gr.lagsat,0.22575374064384562,0.0953597893071827,21
B12_37_water,B12,37,water,1.2567136298246866,gr.lag,0.10541284170239851,0.8390493526364227,28
B12_40.5_water,B12,40.5,water,13.242328157613276,gr.lagsat,1.6323273549113495,0.986964717741978,20
B12_40_water,B12,40,water,11.75267257267783,gr.lagsat,1.150581179624188,0.9888260732198293,19
B12_41_water,B12,41,water,18.24723709723629,gr.lagsat,267375.6854846203,0.9925718434423669,20
B12_42_water,B12,42,water,0.02911570721491731,gr.lagsat,0.03283997786177361,0.31040522424779193,26
B1_25_water,B1,25,water,0.020053025710587043,gr,0.003838044310360192,0.23883560257307468,89
B1_30_water,B1,30,water,0.10851175266793335,gr.lagsat,0.09412739112553398,0.30610473837589103,28
B1_34_blank,B1,34,blank,0.06041977939330622,gr.lagsat,0.18914242528695213,0.10136426692712064,21
B1_37_water,B1,37,water,4.699448644476905,gr.lag,0.412316710077046,0.8543651611825077,16
B1_40.5_water,B1,40.5,water,0.5872612352056037,gr.lag,0.04922869564506246,0.8111326449824929,46
B1_40_water,B1,40,water,0.6777205544707569,gr.lag,0.048197037574667305,0.8674117089478225,42
B1_41_water,B1,41,water,12.50059456041791,gr.lagsat,1.6374237414225281,0.9822217801475879,21
B1_42_water,B1,42,water,0.02892948300367823,gr.lagsat,0.012545145853691217,0.4362177993738543,38
B2_25_NA,B2,25,NA,0.24645562306132646,gr.lagsat,0.08723106238307292,0.26912732133373296,18
B2_30_water,B2,30,water,0.04527205287377466,gr.lagsat,0.010556697566968304,0.6553081762991941,45
B2_34_blank,B2,34,blank,-0.034319980083780295,gr.flr,0.01340994951004323,0.21074401979397794,27
B2_37_NA,B2,37,NA,0.014359332046990903,gr.lag,0.004220770885262272,0.24990877604197836,49
B2_40.5_NA,B2,40.5,NA,0.03165587050946606,gr.lag,0.012306688593181197,0.17840960168246922,41
B2_40_NA,B2,40,NA,0.023696547440242098,gr.lag,0.006970487500632682,0.29743063004353953,38
B2_41_NA,B2,41,NA,-0.06355603105840767,gr.flr,0.01654260767334927,0.33799420682177794,28
B2_42_NA,B2,42,NA,0.030243666729460966,gr.lagsat,0.011178170132617501,0.5035438499875167,38
B3_25_NA,B3,25,NA,0.08217025343258329,gr.sat,0.021168693689693575,0.3694405104343086,32
B3_30_blank,B3,30,blank,-0.010416409217085608,gr,0.001077630971738941,0.49583951559695016,97
B3_34_blank,B3,34,blank,-0.03300097585408081,gr,0.001160549411172454,0.9028569157402291,89
B3_37_NA,B3,37,NA,0.01387509239455869,gr.lag,0.004082180977181742,0.2579711832635272,50
B3_40.5_NA,B3,40.5,NA,-0.035493388587603814,gr.flr,0.015402236206782827,0.1617757927967991,34
B3_40_fRS585,B3,40,fRS585,10.187285423974219,gr.lagsat,0.13982542583781576,0.9977765630297957,41
B3_41_NA,B3,41,NA,-0.04902845131402548,gr.flr,0.017933868341173217,0.21642563194513653,27
B3_42_NA,B3,42,NA,0.029019104960987113,gr.lagsat,0.011349555429205186,0.49912470289508004,38
B4_25_NA,B4,25,NA,0.06625484698290131,gr.sat,0.02080239045329424,0.28644121334048644,31
B4_30_water,B4,30,water,0.03647841228528041,gr.lag,0.0037242980986618808,0.694450211033651,66
B4_34_blank,B4,34,blank,0.04393101105678806,gr.lagsat,0.08076965557716126,0.10802293704279375,24
B4_37_fRS585,B4,37,fRS585,8.21402937951749,gr.sat,0.21136779179536044,0.9780585408675678,47
B4_40.5_NA,B4,40.5,NA,0.03258075517660143,gr.lag,0.00838411115921629,0.33116515138296343,44
B4_40_NA,B4,40,NA,0.045069223832351735,gr.lag,0.0014101672585975166,0.9455939770584628,83
B4_41_fRS585,B4,41,fRS585,6.654022452357693,gr.sat,0.1282337794560794,0.9876334031445915,51
B5_25_fRS585,B5,25,fRS585,7.1303718615427965,gr.lagsat,0.13273614240808956,0.9944816206832182,50
B5_30_water,B5,30,water,0.03273139321758771,gr.lagsat,0.007308800400639705,0.5991387233132103,53
B5_34_blank,B5,34,blank,-0.03837461736025666,gr.flr,0.007586504432457932,0.494183359196535,29
B5_37_NA,B5,37,NA,0.010914035342601077,gr.lag,0.003585504741419066,0.21647744259920354,51
B5_40.5_NA,B5,40.5,NA,-0.023948141808216163,gr.flr,0.004043846862977651,0.4618432913277677,65
B5_40_blank,B5,40,blank,0.0941854096236091,gr.lag,0.009544143646468887,0.7290499540048377,55
B5_41_NA,B5,41,NA,-0.05293845788393306,gr.flr,0.013350212495359958,0.36205064578848356,29
B5_42_NA,B5,42,NA,0.0493212352010904,gr.lagsat,0.0367214213264124,0.3991944076996411,28
B6_25_NA,B6,25,NA,0.00800616324078154,gr,0.0026115555136773604,0.09749467138372192,89
B6_30_blank,B6,30,blank,-0.03185345899734858,gr,5.869810831067288e-4,0.9687485841946292,97
B6_34_blank,B6,34,blank,-0.03735734499755774,gr.flr,0.009046606269022171,0.3911774114256058,28
B6_37_NA,B6,37,NA,0.009386233356776356,gr.lag,0.003332818076286295,0.191766704563069,51
B6_40.5_NA,B6,40.5,NA,0.02417304532395285,gr.lag,0.010469597510679928,0.15291773145835097,41
B6_40_NA,B6,40,NA,-0.05292432284587788,gr.flr,0.018752361847591263,0.25821918409806666,23
B6_41_NA,B6,41,NA,-0.05663790280093091,gr.flr,0.011893085536866403,0.4631372794940769,31
B6_42_NA,B6,42,NA,0.01857946937068354,gr.lagsat,0.007059381922075768,0.43989029676715463,42
B7_25_NA,B7,25,NA,0.014209604298434039,gr,0.0025397353181681372,0.26460070990593254,89
B7_30_water,B7,30,water,0.0359615977086015,gr.lagsat,0.006891409901341579,0.6976401278284734,49
B7_34_blank,B7,34,blank,-0.0138402879865715,gr.flr,0.008888880006106268,0.08194865519670669,27
B7_37_NA,B7,37,NA,0.007062421162998883,gr.lag,0.0036134094214776897,0.10095573079985698,49
B7_40.5_NA,B7,40.5,NA,-0.04527700065074793,gr.flr,0.010837026991743007,0.37506155519640516,40
B7_40_blank,B7,40,blank,-0.6417163768491976,gr.flr,0.10974084611444015,0.5089119785491003,11
B7_41_Blank,B7,41,Blank,-0.1448434223804342,gr.flr,0.004746871912063532,0.9676924562483672,36
B7_42_blank,B7,42,blank,-0.008175789940466135,gr,5.23841133371613e-4,0.7194250443540168,97
B8_20_fRS585,B8,20,fRS585,2.5887639847076347,gr.sat,0.2004665010250748,0.9786587393722757,7
B8_25_blank,B8,25,blank,0.0306417692016481,gr.sat,0.006196073196380894,0.40394564691269486,58
B8_30_water,B8,30,water,0.040298209489694425,gr.lagsat,0.005531663525231394,0.7876663067241507,53
B8_34_blank,B8,34,blank,3.1799648895073167,gr.lag,0.07569612162949006,0.9852572244294752,28
B8_37_blank,B8,37,blank,-0.015179334783626123,gr.flr,0.0033115900091331848,0.39997727740731204,39
B8_40.5_blank,B8,40.5,blank,-0.023301863039583124,gr.flr,0.004047111268130971,0.49024644340059276,52
B8_40_NA,B8,40,NA,-0.23066917260148478,gr.flr,0.07598630726032568,0.25228636697650053,13
B8_41_NA,B8,41,NA,0.010928742379110892,gr.lag,0.002587233281286208,0.3196497657717007,61
B8_42_NA,B8,42,NA,0.017614179685084018,gr.lagsat,0.006116102801082388,0.4958349913642144,42
B9_25_NA,B9,25,NA,0.051292456395005806,gr.lagsat,0.015690052061077504,0.28980934761205357,32
B9_30_fRS585,B9,30,fRS585,8.871005092792698,gr.lagsat,0.13299576038799316,0.9964766376296056,47
B9_34_blank,B9,34,blank,-0.007146616558910698,gr,0.004293684759649915,0.03086082611436891,89
B9_37_NA,B9,37,NA,-0.010544259705341199,gr.flr,0.005688615369192344,0.11029107220723855,35
B9_40.5_NA,B9,40.5,NA,-0.025180502548437563,gr.flr,0.006590271587943665,0.30771349907316703,45
B9_40_NA,B9,40,NA,-0.051134522791530974,gr.flr,0.017954495454468863,0.27390930599140106,21
B9_41_NA,B9,41,NA,-0.04095968956366071,gr.flr,0.013906657403734986,0.25486588441621527,27
B9_42_NA,B9,42,NA,0.015603794238325504,gr.lagsat,0.0074870729905443445,0.37924108678387736,36
C10_25_blank,C10,25,blank,0.12762891613751418,gr.sat,0.030588211235274176,0.41250371938901975,29
C10_30_blank,C10,30,blank,-0.042350644115406344,gr.flr,0.009415636743219104,0.4190056240907122,33
C10_34_water,C10,34,water,3.0660334942321668,gr.sat,0.30748463151755673,0.7953477080074641,14
C10_37_NA,C10,37,NA,0.027295690030984917,gr.lag,0.006829949197952607,0.31769032548178844,50
C10_40.5_NA,C10,40.5,NA,-0.05978713750814059,gr.flr,0.02233525841818574,0.20255630553939707,37
C10_40_NA,C10,40,NA,0.03577555168876145,gr.lag,0.011689381262454186,0.25350101060453023,39
C10_41_NA,C10,41,NA,-0.09392730328055243,gr.flr,0.026908916590658024,0.3157996054285428,29
C10_42_NA,C10,42,NA,0.04567113680125397,gr.lagsat,0.018457703888423903,0.4414196005712756,39
C11_20_fRS585,C11,20,fRS585,2.637718583476503,gr.sat,0.2030906888728155,0.978890420145995,7
C11_25_NA,C11,25,NA,0.1335134342667122,gr.sat,0.05140132047301581,0.21655341942455653,25
C11_30_water,C11,30,water,0.05377508612023719,gr.lagsat,0.012367209341977246,0.6198956416020301,49
C11_34_water,C11,34,water,0.2648960712163206,gr.sat,0.022755541978774056,0.811130640287897,46
C11_37_NA,C11,37,NA,0.02752887147085412,gr.lag,0.006858838321431482,0.3226390437772011,51
C11_40.5_NA,C11,40.5,NA,-0.05817074449917254,gr.flr,0.01852753391066354,0.24461047081037401,40
C11_40_NA,C11,40,NA,0.03788741858328388,gr.lag,0.01181748573377271,0.26824243574459405,39
C11_41_NA,C11,41,NA,-0.10775359457162978,gr.flr,0.028249923403261868,0.34788461592237996,29
C11_42_NA,C11,42,NA,0.04486257017569212,gr.lagsat,0.018177106568912228,0.4344120850382496,41
C12_25_water,C12,25,water,0.1478389407300147,gr.sat,0.0427554527528157,0.3053209075807135,31
C12_30_water,C12,30,water,0.034959112044493555,gr.lagsat,0.012398395735172093,0.4209433945302985,47
C12_34_water,C12,34,water,1.9181854107151382,gr.sat,0.20566219786987683,0.7795708300489339,17
C12_37_water,C12,37,water,1.9131542821012795,gr.lag,0.17195230836190886,0.8151116181421553,21
C12_40.5_water,C12,40.5,water,0.7423642106529599,gr.lag,0.061936876320005115,0.8179023292086619,45
C12_40_water,C12,40,water,14.552081721827731,gr.lagsat,2.1596069166242,0.988912850417294,19
C12_41_water,C12,41,water,0.5621326932442253,gr.lag,0.038686300212030955,0.8568978826750737,51
C12_42_water,C12,42,water,0.0491492785008337,gr.lagsat,0.020281621059269422,0.4441033654681269,37
C1_25_water,C1,25,water,0.02639209391893766,gr,0.004547461641557831,0.27910256829659075,89
C1_30_water,C1,30,water,0.031975132116980554,gr.lagsat,0.010211664740286779,0.4634445725276687,49
C1_34_water,C1,34,water,2.149313641219793,gr.sat,0.1659389543310879,0.8709517673056253,19
C1_37_water,C1,37,water,3.150866372466213,gr.lag,0.26248951816596944,0.8364721071630361,18
C1_40.5_water,C1,40.5,water,12.123308928734122,gr.lagsat,1.5694332562360092,0.9785985838397246,20
C1_40_water,C1,40,water,0.8838987911214904,gr.lag,0.057063930716043154,0.8924995785236136,40
C1_41_water,C1,41,water,0.6770721995296834,gr.lag,0.04665913658586984,0.8585742219573369,48
C1_42_water,C1,42,water,0.03186852160535381,gr.lagsat,0.012473826701481006,0.48558814652872895,39
C2_20_fRS585,C2,20,fRS585,2.660607961280089,gr.sat,0.19719466855246495,0.9803501749845553,7
C2_25_NA,C2,25,NA,0.07132637088978183,gr.sat,0.02689329433374383,0.22308759373828624,30
C2_30_water,C2,30,water,0.023547852189396434,gr.lagsat,0.010883962041513004,0.2846633297715795,48
C2_34_water,C2,34,water,2.746611442681313,gr.sat,0.20411166099552291,0.8815731341286069,15
C2_37_blank,C2,37,blank,-0.024247486884384172,gr.flr,0.006955302832605447,0.298295900529166,36
C2_40.5_NA,C2,40.5,NA,-0.048834234726924206,gr.flr,0.012264601058253338,0.34409976445409607,40
C2_40_blank,C2,40,blank,0.011061703909999714,gr,8.606412410448401e-4,0.6550303318275309,89
C2_41_NA,C2,41,NA,-0.06608504689935185,gr.flr,0.02224013360982,0.2575239419621055,28
C2_42_NA,C2,42,NA,0.03228885544957653,gr.lagsat,0.011442185955051679,0.5041450735499258,40
C3_25_fRS585,C3,25,fRS585,5.463313348887729,gr.sat,0.13672173616338856,0.9767286261701924,61
C3_30_water,C3,30,water,0.039874198790177444,gr.lagsat,0.012292231801827227,0.4939340131974531,46
C3_34_water,C3,34,water,3.109316681894857,gr.sat,0.25002459060056537,0.8463545814109059,13
C3_37_NA,C3,37,NA,0.022202773941033056,gr.lag,0.005137871520613977,0.35797272908336586,50
C3_40.5_NA,C3,40.5,NA,-0.05934458131910376,gr.flr,0.013328390193231253,0.401294034497771,39
C3_40_NA,C3,40,NA,0.030548165719856104,gr.lag,0.009246485550569172,0.2827598368374523,38
C3_41_NA,C3,41,NA,-0.07615170135832137,gr.flr,0.023146237913460346,0.2948298161765742,28
C3_42_NA,C3,42,NA,0.03084869184694338,gr.lagsat,0.01323251791321045,0.420534086080085,40
C4_25_NA,C4,25,NA,0.05675322233140692,gr.sat,0.012028539982973659,0.4231700924630931,46
C4_30_water,C4,30,water,0.04763380566310102,gr.lagsat,0.014245475207969593,0.5397214244554944,42
C4_34_water,C4,34,water,2.3011426250852596,gr.sat,0.16269650886672152,0.8918187700057185,17
C4_37_NA,C4,37,NA,0.01959962782145622,gr.lag,0.0051218439691990735,0.30467929040976316,51
C4_40.5_NA,C4,40.5,NA,-0.05067704868971954,gr.flr,0.01692492050336368,0.23562248481785952,36
C4_40_NA,C4,40,NA,0.03130398339507073,gr.lag,0.00931621881915322,0.2852339456484041,39
C4_41_Blank,C4,41,Blank,-0.058446332003849244,gr.flr,0.0032766091057236427,0.8921891425818488,60
C4_42_blank,C4,42,blank,-0.02525133935751985,gr.flr,0.004763924876728379,0.48002004017925226,41
C5_25_NA,C5,25,NA,0.0026302701338617855,gr,0.003672508766072432,0.005861418103444205,89
C5_30_water,C5,30,water,0.06259891635948046,gr.lagsat,0.0354243210273273,0.37021298473806763,33
C5_34_water,C5,34,water,4.311534077863136,gr.sat,0.422599520089869,0.7940106186616536,13
C5_37_NA,C5,37,NA,0.07528712424803745,gr.lagsat,0.03319766753419824,0.5134774466793874,30
C5_40.5_fRS585,C5,40.5,fRS585,3.4734285886088805,gr.lagsat,0.036022095474328476,0.9970470871728728,70
C5_40_NA,C5,40,NA,0.03106029958506243,gr.lag,0.009868376987156039,0.2643237504241519,39
C5_41_NA,C5,41,NA,-0.08717796513903577,gr.flr,0.02184620215744186,0.35610434161470683,29
C5_42_NA,C5,42,NA,0.05381631582579154,gr.lagsat,0.03231132121710986,0.3956585564155116,32
C6_25_NA,C6,25,NA,0.10020879053095325,gr.sat,0.03247363689971681,0.26044011910112885,30
C6_30_fRS585,C6,30,fRS585,6.85688049350835,gr.sat,0.16538924660408644,0.9792310197007523,54
C6_34_water,C6,34,water,1.6135429485449249,gr.sat,0.12290498294358693,0.8839948547627848,18
C6_37_NA,C6,37,NA,0.024821574321231034,gr.lag,0.00562150657770279,0.3610344171876092,52
C6_40.5_NA,C6,40.5,NA,-0.04982232576752154,gr.flr,0.018233143877118056,0.20660362686506406,37
C6_40_NA,C6,40,NA,0.04194316573233871,gr.lag,0.00926859267029386,0.40850024538900154,41
C6_41_NA,C6,41,NA,-0.07947538687725948,gr.flr,0.02398610243000851,0.2988672410724261,29
C6_42_NA,C6,42,NA,0.038283986523152895,gr.lagsat,0.014169393743459697,0.46171338606069956,42
C7_25_NA,C7,25,NA,0.10386311190324571,gr.sat,0.03431663210581729,0.25413105653577817,29
C7_30_water,C7,30,water,0.04108731606287405,gr.lagsat,0.014913924063124497,0.435472937192503,46
C7_34_water,C7,34,water,2.0430029271179704,gr.sat,0.18115933868454892,0.8286367408742272,15
C7_37_NA,C7,37,NA,0.02331169015665443,gr.lag,0.006371711281928682,0.2882474189620817,50
C7_40.5_NA,C7,40.5,NA,-0.07192998586885133,gr.flr,0.0166243055159018,0.3883065352418067,39
