strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50,th_c_c,log_ic50_c
40_F6,40 evolved,41.34175327005437,0.06849199570014447,fluconazole,21.98122721857264,0.062414419196836074,3.0901887808368955,-0.08002579862518644,-0.27694639761300754
40_F6,40 evolved,41.34175327005437,0.06849199570014447,amphotericin,0.7314610163778508,0.15379718079768212,-0.3127113526586056,-0.08002579862518644,-0.4096342087352486
40_F6,40 evolved,41.34175327005437,0.06849199570014447,caspofungin,0.018730550529832572,0.07173002936643127,-3.9775993700145604,-0.06351187183219054,-0.08298702096550636
35_G11,35 evolved,40.80449701306247,0.3026720402079579,amphotericin,0.10405490405166849,0.07306886250536485,-2.2628365955696537,-0.034390017699934106,-0.7526977563335642
35_G11,35 evolved,40.80449701306247,0.3026720402079579,caspofungin,0.01411070400571494,0.09423303619531438,-4.260821620264639,-0.034390017699934106,-0.036366639375073895
35_G11,35 evolved,40.80449701306247,0.3026720402079579,fluconazole,14.365934820436905,0.11534304308351295,2.66485976657124,-0.034390017699934106,-0.064467338165755
35_D8,35 evolved,41.01888855374767,0.10648560562787612,amphotericin,0.2787441091024766,0.043596476398771226,-1.277461089695777,0.18000152298526473,0.2326777495403125
35_D8,35 evolved,41.01888855374767,0.10648560562787612,caspofungin,0.011300117039818468,0.07717623608411338,-4.482942195811422,0.18000152298526473,-0.2584872149218569
35_D8,35 evolved,41.01888855374767,0.10648560562787612,fluconazole,16.23922586063325,0.09364117382230297,2.7874296649171257,0.18000152298526473,0.0581025601801306
40_G5,40 evolved,41.18007421432799,0.04866109942709308,fluconazole,33.75892192134756,0.046296869450728625,3.5192447356084946,-0.24170485435156763,0.15210955715859154
40_G5,40 evolved,41.18007421432799,0.04866109942709308,caspofungin,0.02048540098349012,0.11430791771471173,-3.888042793681831,-0.22519092755857173,0.0065695553672231455
40_G5,40 evolved,41.18007421432799,0.04866109942709308,amphotericin,1.3240402942674991,0.07312003077724614,0.28068789078850154,-0.24170485435156763,0.1837650347118586
35_E9,35 evolved,40.9472451295415,0.05511103192210251,amphotericin,0.3052775974898579,0.07143126681767431,-1.1865337606108286,0.10835809877909242,0.3236050786252609
35_E9,35 evolved,40.9472451295415,0.05511103192210251,caspofungin,0.012741337528362647,0.08878988789190033,-4.362903647821139,0.10835809877909242,-0.13844866693157432
35_E9,35 evolved,40.9472451295415,0.05511103192210251,fluconazole,16.59840905726346,0.07404705749673865,2.8093068508456707,0.10835809877909242,0.07997974610867553
40_B6,40 evolved,41.343220948625174,0.06808113759758379,fluconazole,25.42013458711153,0.07203333710293254,3.235541560283544,-0.07855812005438167,-0.13159361816635906
40_B6,40 evolved,41.343220948625174,0.06808113759758379,caspofungin,0.01967232405404605,0.08968972410449251,-3.9285425013467616,-0.06204419326138577,-0.03393015229770757
40_B6,40 evolved,41.343220948625174,0.06808113759758379,amphotericin,0.7578545569985584,0.06713954979848595,-0.2772637890611806,-0.07855812005438167,-0.3741866451378235
fRS585,fRS585,41.120668118683454,0.02194638651846379,fluconazole,20.351322110725192,0.061365675305817366,3.0131458783642415,0,0
fRS585,fRS585,41.120668118683454,0.02194638651846379,amphotericin,0.5064456603360894,0.12334870807554262,-0.680338245676468,0,0
fRS585,fRS585,41.120668118683454,0.02194638651846379,caspofungin,0.016589210403388316,0.03543445544333655,-4.09900277064492,0,0
40_E9,40 evolved,41.327262788772146,0.048324242183325754,fluconazole,25.273824505510994,0.09373842882542319,3.2297692556355195,-0.09451627990740974,-0.13736592281438353
40_E9,40 evolved,41.327262788772146,0.048324242183325754,caspofungin,0.018728541446146742,0.07311949654215055,-3.977706638161319,-0.07800235311441384,-0.0830942891122648
40_E9,40 evolved,41.327262788772146,0.048324242183325754,amphotericin,1.436407306650905,0.05416442166863483,0.36214507013693187,-0.09451627990740974,0.2652222140602889
40_G11,40 evolved,41.61807665829161,0.17425058915710542,fluconazole,53.544745079280226,0.12896580825523307,3.9805176609727075,0.19629758961205823,0.6133824825228045
40_G11,40 evolved,41.61807665829161,0.17425058915710542,amphotericin,0.9885665195654683,0.1308362469596295,-0.011499345195538826,0.19629758961205823,-0.10842220127218177
40_G11,40 evolved,41.61807665829161,0.17425058915710542,caspofungin,0.02309362485016998,0.08437727658244999,-3.768198680056141,0.21281151640505414,0.12641366899291295
