drug,n_obs,n_pop,variance_population,variance_residual,sd_population,sd_residual,ICC
amphotericine,144,37,0.07002875920900033,0.015383715715927544,0.2646294753216284,0.1240311078557615,0.8198891235800291
caspofungin,139,37,2.847662573246271e-5,1.0632461905087185e-5,0.005336349476230236,0.003260745605699283,0.7281332153890848
fluconazole,146,37,126.91338218940818,165.9469128415722,11.26558397019028,12.882038380690076,0.4333581039928358
