well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b11,3,35,40_G5,40 evolved,24,0.23958333333333337,0.2708333333333333,11.969872157239717,0.9999049169811478,4
b11,3,38,40_G5,40 evolved,25,0.25,0.28125,12.723954274012018,0.999638827841597,4
b11,3,41,40_G5,40 evolved,33,0.3333333333333333,0.3645833333333333,8.318368264393655,0.9992276841007507,4
b11,3,42,40_G5,40 evolved,26,0.2604166666666667,0.2916666666666667,3.646304352757216,0.9909543789211664,4
b2,2,25,35_E9,35 evolved,38,0.3854166666666667,0.4166666666666667,8.306793468895746,0.9998117809170601,4
b2,2,35,35_E9,35 evolved,25,0.25,0.28125,17.59938571070946,0.998802040458183,4
b2,2,38,35_E9,35 evolved,22,0.21875,0.25,13.946002643404736,0.9999352650569827,4
b2,2,41,35_E9,35 evolved,26,0.2604166666666667,0.2916666666666667,5.952535319243089,0.9990341181786901,4
b2,2,42,35_E9,35 evolved,68,0.6979166666666666,0.7291666666666666,5.502390818766043,0.5727069500422436,4
b2,3,25,40_B6,40 evolved,41,0.4166666666666667,0.4479166666666667,8.210285914189834,0.9999623268445244,4
b2,3,35,40_B6,40 evolved,25,0.25,0.28125,11.838419853376942,0.9999563838587715,4
b2,3,38,40_B6,40 evolved,23,0.22916666666666663,0.2604166666666667,12.42589743046829,0.9999112306857211,4
b2,3,41,40_B6,40 evolved,44,0.4479166666666667,0.4791666666666667,17.47109144902415,0.6970057187508776,4
b2,3,42,40_B6,40 evolved,27,0.2708333333333333,0.3020833333333333,2.536566476156825,0.9960732617399737,4
b3,1,25,fRS585,fRS585,35,0.3541666666666667,0.3854166666666667,8.554435984518413,0.9999204679585427,4
