drug,evolution_history,n,intercept,se_intercept,slope,se_slope,t_slope,p_slope
amphotericin,35 evolved,18,0.08100058584356194,0.34182636963207974,-6.200173099817727,2.2851597742043674,-2.713233958433591,0.015350042368127636
amphotericin,40 evolved,18,-2.966673854416776,0.6487500959578936,14.27279531554686,2.0296590761645796,7.032114645834007,2.8320479891257442e-6
caspofungin,35 evolved,18,-0.5251484770550283,3.387498783238296,-61.929531520525344,22.742558102799567,-2.7230679697769764,0.015043549831654523
caspofungin,40 evolved,18,-0.18268850140146525,0.09343904339059703,0.6558364235959916,0.160276685869387,4.091901576567706,8.508860867961335e-4
fluconazole,35 evolved,18,0.5434601850780658,0.6760522496189111,-12.13031771053787,4.486071222473561,-2.7039957925254186,0.015643436366972383
fluconazole,40 evolved,18,-0.9369458086282729,0.30404562598703494,6.424692944750506,0.9259661065595706,6.938367289296871,3.3386538751752744e-6
