evolution_history,thermal,drug,n,rho,p_raw,p_holm,sig
35 evolved,topt,fluconazole,18,0.4613003095975232,0.05399047637734738,0.4859142873961264,ns
35 evolved,tmax,fluconazole,18,-0.4055727554179567,0.09495342479222942,0.7596273983378353,ns
35 evolved,th_c,fluconazole,18,0.3684210526315789,0.13248715636055633,0.9274100945238943,ns
35 evolved,topt,caspofungin,18,0.11867905056759546,0.6390493358496443,1,ns
35 evolved,tmax,caspofungin,18,0.07946336429308565,0.7539561864360347,1,ns
35 evolved,th_c,caspofungin,18,0.12074303405572756,0.6331873816566362,1,ns
35 evolved,topt,amphotericin,18,0.16202270381836945,0.5206651056985048,1,ns
35 evolved,tmax,amphotericin,18,-0.1764705882352941,0.48362814549353283,1,ns
35 evolved,th_c,amphotericin,18,0.08359133126934984,0.7415774315720882,1,ns
40 evolved,topt,fluconazole,18,-0.12487100103199174,0.62152591689147,1,ns
40 evolved,tmax,fluconazole,18,0.1475748194014448,0.5589695952802587,1,ns
40 evolved,th_c,fluconazole,18,0.15170278637770898,0.5479006675946312,1,ns
40 evolved,topt,caspofungin,18,-0.07946336429308565,0.7539561864360357,1,ns
40 evolved,tmax,caspofungin,18,0.19917440660474717,0.428158031919205,1,ns
40 evolved,th_c,caspofungin,18,0.31475748194014447,0.20331354771785815,1,ns
40 evolved,topt,amphotericin,18,-0.2569659442724458,0.30330908061762474,1,ns
40 evolved,tmax,amphotericin,18,0.325077399380805,0.18808478142236898,1,ns
40 evolved,th_c,amphotericin,18,0.3601651186790506,0.14206248632367455,1,ns
