rep.id,K,N0,r,ratio_K_minus_N0_over_N0,t_inflection_model
c2_3_42_35_E11_35 evolved,0.13735203265767815,0.07067026066945989,8.079969321501295,0.943561992789348,-0.0071897811602186735
c4_3_42_35_C9_35 evolved,0.14240664743898557,0.07134627188977952,8.180806215945475,0.9959928342014123,-4.908093278739491e-4
c5_3_42_35_D2_35 evolved,0.13569361195588173,0.06945682306296894,7.917397885599441,0.9536397717595448,-0.005995565369335862
d2_3_42_35_C9_35 evolved,0.13435557456949937,0.07192644158936097,8.099903169063667,0.8679580360245798,-0.01748316098705226
d5_3_42_35_E7_35 evolved,0.13555851959164164,0.07153837062288855,7.815218290041567,0.89490644546872,-0.014207676900717888
d6_3_42_35_C9_35 evolved,0.1404989084193919,0.07266134321125317,7.98246028595441,0.9336128704765344,-0.008605543878272014
f2_2_42_35_F6_35 evolved,0.13319394941020107,0.06737671933958178,7.724856460505379,0.9768541822123664,-0.0030314982224387173
f3_3_42_35_E7_35 evolved,0.12937616056876827,0.07125530974864859,8.074162093035602,0.8156704535442987,-0.025234180239725755
f7_3_42_35_D2_35 evolved,0.13531844918004188,0.07019554009235997,7.845844793023364,0.9277357080235621,-0.00956026866775592
f8_2_42_35_G9_35 evolved,0.13320258667195428,0.0683963602658386,7.856122569299462,0.9475098697391349,-0.006863172639297549
f9_2_42_35_F6_35 evolved,0.13246996887753326,0.06819195370010114,7.598436891511463,0.9426041004796256,-0.0077790886686242835
g3_2_42_35_G9_35 evolved,0.1323669364856066,0.06700759947902986,7.525741966730352,0.9754018576211054,-0.0033094054176992425
g3_3_42_35_E7_35 evolved,0.12944330575891846,0.07258437797633863,7.698734655156904,0.7833493840935712,-0.03171644189947355
g6_2_42_35_F6_35 evolved,0.1289406502331853,0.06872764359849688,7.7408689869954745,0.8761104481691456,-0.017086339250902163
g8_2_42_35_E9_35 evolved,0.13474599460363737,0.06875966467396631,7.8664174271275975,0.9596662555373792,-0.0052336029492428115
