population,evolution_history,ic50,drug,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_B2,35 evolved,0.30663894237764955,amphotericin,0.478724121707089,0.22152827302084105,25.70956662450623,314.2388807357884,39.5260683379884,42.09290768162522,0.9555296292096166,9.730473047304734,0.9860561049427774,15
35_B6,35 evolved,0.281421018991572,amphotericin,0.48432789491496187,0.23448821938380404,10.839831589113446,313.1106913839277,37.017864852570874,42.41504087254957,0.9263502513944248,10.566556655665565,0.9879429214366212,15
35_B8,35 evolved,0.3017438942658096,amphotericin,0.5354863791939309,0.18369767076919455,16.603732537416864,314.00133490176717,38.568918063331054,42.41660383150056,0.9264930948807678,12.007700770077008,0.963683435327678,15
35_C5,35 evolved,0.29069130747209104,amphotericin,0.5064602311017923,0.20439089464884463,16.48325575923191,314.04513052099395,38.65414644191459,42.47786104021296,0.9339427735523336,11.01210121012101,0.92993115206817,15
35_C7,35 evolved,0.3513538240623012,amphotericin,0.5044900878802742,0.20479057984852775,17.6012488077487,314.14768412999643,38.86600405501686,42.47742670352245,0.937004434322676,10.896589658965896,0.9395756242864238,15
35_C9,35 evolved,0.3302316131893392,amphotericin,0.4698816173382656,0.21504628856970284,24.938819788779455,314.18944947892567,39.4293428704796,42.07430044153315,0.9165986578592152,10.016501650165017,0.9533614177670304,15
35_D2,35 evolved,0.3295688840096307,amphotericin,0.5301732671724482,0.18684290510886112,22.80074504632512,314.0870516405049,39.15900862706645,42.06722705735618,0.9411020074826928,11.3971397139714,0.9925607510492148,15
35_D4,35 evolved,0.13329763952740767,amphotericin,0.5504349496221408,0.17466916009156563,16.63949112449405,313.89893512350625,38.4461544424226,42.30746373020896,0.9246903470815726,12.50825082508251,0.9733130940568512,15
35_D8,35 evolved,0.2781300826400644,amphotericin,0.4917571386011485,0.20401315041714613,21.371987467877887,314.168888553215,39.18227104328825,42.2299789873496,0.9201390278026051,10.66556655665567,0.9317708550360452,15
35_E11,35 evolved,0.30445591800229294,amphotericin,0.5231021041720335,0.18889873359534937,23.408778753809894,314.1856261030692,39.29685724747995,42.13665636180356,0.93753271277891,11.265126512651268,0.9881578477205052,15
35_E7,35 evolved,0.27984055231580995,amphotericin,0.515641021549121,0.19089204485238268,24.383642569666677,314.12309189914225,39.29359365153132,42.0288315747958,0.9301045903501928,11.105610561056109,0.9359404842217126,15
35_E9,35 evolved,0.31283206473055186,amphotericin,0.5109253621086021,0.1973285650945417,22.220014094849866,314.0972451305393,39.15355487921643,42.109319150573526,0.9362826243217908,10.907590759075909,0.9789478052137508,15
35_F2,35 evolved,0.14920329221199136,amphotericin,0.5040519618492468,0.1969181117181613,26.20113997269802,314.2891034411261,39.56065081244208,42.12156797691294,0.9326189140447394,10.742574257425744,0.9840949853899374,15
35_F4,35 evolved,0.15160359150832997,amphotericin,0.4832422172852963,0.24278947035180412,12.4186794916995,313.65162635385815,37.851653029783094,42.638505700868926,0.9718666568898876,10.044004400440045,0.9749812239664526,15
35_F6,35 evolved,0.12855114161574363,amphotericin,0.5248834535662347,0.1844817369847231,20.125538302261287,313.90411459021095,38.79067652825372,42.03703380374677,0.9165289342462902,11.666666666666668,0.9737292197622592,15
35_G11,35 evolved,0.10127697802557951,amphotericin,0.5062017481318389,0.2004015801237959,15.324386030054365,313.9544968946482,38.4261367386391,42.50956456834975,0.9165095762556652,11.303630363036303,0.8943509364757677,15
35_G5,35 evolved,0.15104770210693994,amphotericin,0.5470752185776268,0.18243970181902008,16.31796710668873,313.8032011330934,38.33946302258987,42.24449526505417,0.9381087635582404,12.084708470847085,0.976690805566454,15
35_G9,35 evolved,0.12678104761796544,amphotericin,0.5397681043140697,0.1802227517449093,19.84024198358328,313.90341395644504,38.75805835577723,42.05455979592452,0.9296965410555385,11.92519251925193,0.9879460021611384,15
40_B2,40 evolved,1.7635924998845744,amphotericin,0.48453937312340867,0.23502807905483847,11.73232246585949,314.76092628229134,38.80530012605512,43.892473078593554,0.9777454679220334,10.489548954895492,0.9082146361105444,15
40_B6,40 evolved,0.7683094846238986,amphotericin,0.4558316971223884,0.21654225494154256,34.16622042316979,314.493220946147,40.08728120664429,42.094588052256235,0.9106959812652732,9.647964796479643,0.9615218472325768,15
40_B8,40 evolved,1.44540436637707,amphotericin,0.4794714804816512,0.2172273126016556,19.81231703985647,314.645792364477,39.56903061541619,42.81156158045522,0.9429147761514832,10.24752475247525,0.9214832734795448,15
40_C5,40 evolved,1.8008643231407353,amphotericin,0.4769497994883942,0.22243049154803377,25.108371360842263,314.4902418654833,39.74704408006004,42.37071547443007,0.9600527395580276,9.741474147414742,0.98503895418619,15
40_C7,40 evolved,0.7981752923609776,amphotericin,0.5403516445888905,0.16038478360800015,23.22886144392547,314.45312543829203,39.491013920149584,42.41101109382313,0.8900437419992925,12.986798679867992,0.9821752348309608,15
40_C9,40 evolved,1.0760484522111646,amphotericin,0.5073055894869444,0.21487119372132515,25.17260852214287,314.469515162349,39.718019342944295,42.34631123078815,0.996450505278766,10.027502750275026,0.9914061000373688,15
40_D2,40 evolved,0.9647760502748196,amphotericin,0.4631389107556668,0.21590072656638665,16.148169076871135,314.3901855255968,38.98769587254186,42.863547936797765,0.8913743422973419,10.583058305830589,0.9396562812263136,15
40_D4,40 evolved,1.3107980258556344,amphotericin,0.508351009410857,0.190314458581976,11.504813157040312,314.87523223969214,38.72043382187826,44.03407401106228,0.8955501060741418,12.4037403740374,0.7989347570393964,15
40_D8,40 evolved,0.9658965622729494,amphotericin,0.4857507259723826,0.20646968992838305,27.108939907341743,314.41277412067143,39.73989659173986,42.21325343379499,0.9303053625452938,10.286028602860288,0.99044340254206,15
40_E11,40 evolved,1.055844649963931,amphotericin,0.517739163043024,0.19014674188603675,26.986752348983803,314.53404059677354,39.82859492573131,42.338055961427045,0.943772154584086,11.061606160616062,0.9937655308324356,15
40_E7,40 evolved,1.0553200332349606,amphotericin,0.5136807851458375,0.19579491379562125,29.635858947962294,314.4647150143724,39.87983841330733,42.181761160530094,0.954980368037774,10.68206820682068,0.9945668229253124,15
40_E9,40 evolved,1.4481313884976357,amphotericin,0.4238170056268479,0.24411527147926665,26.876451689866837,314.47726279212566,39.84641683380682,42.29024410523701,0.916531497949114,8.927392739273927,0.9766083583969152,15
40_F2,40 evolved,1.1404515849151806,amphotericin,0.5151057177229359,0.1898244488544246,26.070668450670333,314.72818228191744,39.97709695294998,42.56769786158514,0.9409186571030144,11.12761276127613,0.9216526551569066,15
40_F4,40 evolved,2.008500304661,amphotericin,0.5287124285661186,0.19548829102540705,18.220054794803072,314.6543886509916,39.4001336870143,42.934856260832305,0.9670695735505171,11.309130913091307,0.917634437135196,15
40_F6,40 evolved,0.8002995613389532,amphotericin,0.5367311120152355,0.1939126966974926,27.845058804281035,314.49175326823917,39.83085661112465,42.26581393681216,0.9903678737394844,10.83608360836084,0.9565253019966145,15
