term,estimate,std.error,statistic,p.value,conf.low,conf.high,drug
(Intercept),0.1374504001892074,0.25910211037877173,0.5304873819370818,0.5987819401778199,-0.38663308583629663,0.6615338862147114,amphotericin
evolution_history35 evolved,-0.39985264688272154,0.2717242933969681,-1.4715380869481842,0.14916949209219246,-0.9494669078901736,0.1497616141247305,amphotericin
evolution_history40 evolved,0.20169405045279687,0.2602460546182215,0.7750129036487418,0.4430059111837005,-0.3247032811988705,0.7280913821044642,amphotericin
monthMarch,-1.247901581501753,0.16531438447511726,-7.5486569753981945,3.82741600398024e-9,-1.5822814859310386,-0.9135216770724672,amphotericin
(Intercept),-3.806248716370572,0.16394188662839435,-23.217060597809045,4.745844201958972e-24,-4.138131714881811,-3.4743657178593326,caspofungin
evolution_history35 evolved,-0.08777226875784093,0.1719193518229339,-0.5105432740826107,0.6126241431829462,-0.43580480125171694,0.26026026373603506,caspofungin
evolution_history40 evolved,-0.013553273828339813,0.1647061886114081,-0.0822875809500765,0.9348499537080365,-0.34698352081345846,0.3198769731567788,caspofungin
monthMarch,-0.3304322170913491,0.10512944652786022,-3.143098608473904,0.0032367711609536127,-0.5432556550976448,-0.11760877908505346,caspofungin
(Intercept),2.9968718236258756,0.3461608676387114,8.65745410239067,1.0389816014557387e-10,2.297254612954209,3.6964890342975423,fluconazole
evolution_history35 evolved,-0.3377585792880152,0.363223235264959,-0.9298925467739746,0.35800495051889225,-1.0718601212694496,0.39634296269341907,fluconazole
evolution_history40 evolved,0.4168843538295995,0.34746960904629115,1.199772132514935,0.23728614105396822,-0.2853779218932016,1.1191466295524006,fluconazole
monthMarch,0.069826341515655,0.20874285728390635,0.3345088901446137,0.7397432990564554,-0.3520587102430627,0.49171139327437274,fluconazole
