curve_id,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,evolution_history,rate_40,rate_42,rate_41,temp_rate
35_G11,8.731948003593173,36.822,-17.012999999999998,44.688,0.35238789561319,2.3321518995993116,NA,7.866,61.701,8.546,-1.9797640039861215,35 evolved,6.050008736089321,2.499144229201682,4.164251414966265,43.471000000000004
fRS585,8.777419619971221,37.781,-21.835,43.772000000000006,0.35910009404553184,2.324412009414475,NA,5.991000000000007,65.607,8.420000000000002,-1.9653119153689433,fRS585,6.927154056209715,2.2372463087545285,4.508866232854879,42.915
WT_CASP_2,9.912855777591535,38.653,-19.242,43.458,0.34825857457913517,7.145576862170694,NA,4.805,62.7,7.755000000000003,-6.797318287591559,Caspofungin evolved,8.973493057625534,2.737746428203921,6.17404773917997,42.891
40_D2,8.117016721531426,37.618,-21.372,44.486000000000004,0.33247128526025593,1.9695174139268867,NA,6.868000000000002,65.858,8.778999999999996,-1.637046128666631,40 evolved,6.540128121406623,2.701571012688385,4.655385976833406,43.375
40_G9,9.825486494877888,37.939,-15.628,45.036,0.4187642079408909,1.4893477844775935,NA,7.097000000000001,60.664,8.177999999999997,-1.0705835765367027,40 evolved,8.468771742064336,4.132504770677094,6.488193276955856,44.116
35_B8,8.88746208461149,36.92,-17.116,44.370999999999995,0.344569577739062,2.4970832751768923,NA,7.450999999999993,61.486999999999995,8.384999999999998,-2.1525136974378305,35 evolved,6.088988024418873,2.3219835847124983,4.057748458526362,43.257
WT_CASP_1,9.495276552180497,37.78,-13.24,43.926,0.3705306770964713,2.380504743250334,NA,6.146000000000001,57.166000000000004,7.515000000000001,-2.0099740661538625,Caspofungin evolved,7.406792339388272,2.5031931157472114,4.859867448848847,43.102
35_G5,8.957167361492214,37.051,-17.131,43.667,0.35182917614381626,2.9641598660505792,NA,6.616,60.798,8.046,-2.612330689906763,35 evolved,5.792645883290057,1.7513598028307538,3.493504488162107,42.709
40_C7,8.238860530716646,37.834,-24.328,44.346000000000004,0.33414359160537294,1.8544603362693781,NA,6.5120000000000005,68.674,8.933,-1.5203167446640051,40 evolved,6.880511446208068,2.8073898849983214,4.940727557016268,43.334
35_F4,8.950589690833176,36.662,-13.246,44.747,0.3481165646010927,2.4936878991473215,NA,8.085,57.993,8.224,-2.145571334546229,35 evolved,5.937747596815183,2.4629838557680293,4.063807050258062,43.506
