well,mu,best_model,se,R2,n_obs,strain,test_temperature,block,evolution_history
c11,7.658501635816585,gr.sat,0.20181111252028577,0.9769945171925628,50,WT_CASP_1,35,1,Caspofungin evolved
c2,8.32508643217943,gr.sat,0.1653883545823852,0.9868733483767519,47,35_G5,35,1,35 evolved
c4,7.683843914826072,gr.sat,0.15787248114615365,0.9857248918079949,51,40_C7,35,1,40 evolved
c5,10.36970617543294,gr.lagsat,0.16034536330927215,0.9965133588299278,45,35_G5,35,1,35 evolved
c6,8.1443591178049,gr.sat,0.16929265243925146,0.9852343945037596,48,35_F4,35,1,35 evolved
c7,10.249936740142479,gr.lagsat,0.15579861289867686,0.9962928425184148,45,35_D4,35,1,35 evolved
c8,9.468986117121233,gr.lagsat,0.14029837838233428,0.9965444683045147,47,40_F2,35,1,40 evolved
c9,7.858153137216129,gr.sat,0.1710001208787956,0.9844843635100315,50,40_D4,35,1,40 evolved
d10,7.947925123811462,gr.sat,0.15518574430868795,0.9873577536971122,49,40_B8,35,1,40 evolved
d11,9.377945806600634,gr.sat,0.19071255390602138,0.9868781400348425,43,WT_CASP_2,35,1,Caspofungin evolved
d2,7.8543567467769275,gr.sat,0.14005999798438334,0.9890012331534674,49,40_B8,35,1,40 evolved
d4,10.019850962322538,gr.lagsat,0.15070892665765573,0.9968289515850466,46,40_F2,35,1,40 evolved
d5,7.716200503170385,gr.sat,0.15935267440829295,0.9857887550127483,51,40_C7,35,1,40 evolved
d6,7.665288830685704,gr.lagsat,0.1072339690921011,0.9966513506767086,53,WT_FLZ_2,35,1,Fluconazole evolved
d7,8.124854545026269,gr.sat,0.17356875673903466,0.9846099286861288,48,35_B6,35,1,35 evolved
d8,8.587576706912937,gr.sat,0.20228444917296218,0.9823515932646746,47,WT_CASP_1,35,1,Caspofungin evolved
e10,8.36125327213239,gr.sat,0.17039058059269777,0.9865107199590808,47,fRS585,35,1,fRS585
e2,8.333087946521157,gr.sat,0.16982523824862647,0.9863412208557363,48,35_B8,35,1,35 evolved
e3,8.17881494555489,gr.sat,0.16717550879426582,0.9858790398439855,48,35_F4,35,1,35 evolved
e5,9.63546022815239,gr.lagsat,0.13828852056557986,0.9965391085358173,46,40_D4,35,1,40 evolved
e7,8.209646007337012,gr.sat,0.17180259362462832,0.9850675807743007,48,35_F4,35,1,35 evolved
e8,8.22759228167214,gr.sat,0.17888546083724519,0.984745706808999,48,35_B8,35,1,35 evolved
e9,7.458332216102202,gr.sat,0.1556126011147364,0.9851792282744761,52,40_D2,35,1,40 evolved
f10,8.643845141875465,gr.sat,0.26703937226435615,0.9687179568117652,49,40_F2,35,1,40 evolved
f11,8.359549745587437,gr.sat,0.1743071834900835,0.986106182485528,47,fRS585,35,1,fRS585
f2,8.28837387595762,gr.sat,0.1796787307984972,0.9845460606663771,48,35_G5,35,1,35 evolved
f3,8.115302157693844,gr.sat,0.18043199417419792,0.9840022665751426,49,40_D4,35,1,40 evolved
f4,8.270671815118009,gr.sat,0.16873922042710887,0.9861532770091603,47,35_D4,35,1,35 evolved
f5,8.635800015087842,gr.sat,0.18902789237463058,0.9846065858797379,47,35_B6,35,1,35 evolved
f6,7.763561959940063,gr.sat,0.14493148232595432,0.9880354498269931,49,40_B8,35,1,40 evolved
f7,7.741879644354942,gr.sat,0.17220466152353883,0.9834187649331655,51,40_C7,35,1,40 evolved
f8,11.238033771031812,gr.lagsat,0.17858021905476784,0.9963106429159334,43,WT_CASP_1,35,1,Caspofungin evolved
g10,9.223433694202193,gr.sat,0.16728272754157497,0.9895570256345998,44,40_G9,35,1,40 evolved
g2,8.314974665180301,gr.sat,0.16900442206745617,0.9863531487026163,47,35_G11,35,1,35 evolved
g3,7.582911018676012,gr.lagsat,0.0953129726556864,0.9971444131781929,54,WT_FLZ_2,35,1,Fluconazole evolved
g4,8.253066736631338,gr.sat,0.17648976102728328,0.98521876200940806,48,35_B6,35,1,35 evolved
g6,9.112084611246404,gr.lagsat,0.12695372251248743,0.9968083961966948,48,40_D2,35,1,40 evolved
g7,9.190166020243305,gr.sat,0.17564519580177806,0.9887609102487125,44,40_G9,35,1,40 evolved
g8,10.170047018102329,gr.lagsat,0.1552081069547682,0.996346015233982,45,35_G11,35,1,35 evolved
g9,8.28364133526471,gr.sat,0.1742593058558633,0.9854850549654228,48,35_D4,35,1,35 evolved
b10,2.640109985593549,gr.lag,0.00831512882950243,0.9992342714135376,97,WT_FLZ_2,41,1,Fluconazole evolved
b11,6.5332036590309075,gr.lagsat,0.054471491702183863,0.9984265323590279,59,35_G11,41,1,35 evolved
b3,3.6068334249504588,gr.sat,0.06370423659476418,0.9838498826088539,80,fRS585,41,1,fRS585
b4,6.681933344341639,gr.lagsat,0.057433405942225374,0.9984531989533139,59,WT_CASP_2,41,1,Caspofungin evolved
b5,4.741906151318251,gr.sat,0.06390402631700164,0.9917580050854823,73,40_D2,41,1,40 evolved
b6,7.948149776004158,gr.lagsat,0.2044292096155987,0.9883029852136923,53,WT_CASP_2,41,1,Caspofungin evolved
b8,8.398519036667963,gr.lagsat,0.15757625447093143,0.9942223529469831,51,40_G9,41,1,40 evolved
c10,5.3893467458489095,gr.lagsat,0.05792202806865344,0.9970038826587776,66,35_B8,41,1,35 evolved
c11,6.399063612841237,gr.lagsat,0.05271514836766464,0.9984704005505697,60,WT_CASP_1,41,1,Caspofungin evolved
c2,3.8743154813013816,gr.lagsat,0.061688383710782814,0.9891872942678803,80,35_G5,41,1,35 evolved
c4,5.490778112964256,gr.lagsat,0.03846518561806403,0.9987193751268487,67,40_C7,41,1,40 evolved
c5,2.8095609312143517,gr.sat,0.06328571679786966,0.970401099029823,89,35_G5,41,1,35 evolved
c6,3.3541337646470915,gr.sat,0.05437908441260216,0.9855134575211808,85,35_F4,41,1,35 evolved
c7,4.012904198858208,gr.lagsat,0.0546308356012274,0.9924366174575777,78,35_D4,41,1,35 evolved
c8,6.987430140425145,gr.lagsat,0.07410953933967376,0.9977287344476554,58,40_F2,41,1,40 evolved
c9,7.073873258420484,gr.lagsat,0.07067184365022848,0.9979971182253894,57,40_D4,41,1,40 evolved
d10,7.075741452676774,gr.lagsat,0.13584050770906,0.9928756003118254,58,40_B8,41,1,40 evolved
d11,7.46016113380401,gr.lagsat,0.06867561166768482,0.9982940974069305,54,WT_CASP_2,41,1,Caspofungin evolved
d2,6.272108032794063,gr.lagsat,0.11312383638437587,0.9925073538956127,63,40_B8,41,1,40 evolved
d4,6.045096321458483,gr.lagsat,0.06603676114544564,0.9972087995800443,63,40_F2,41,1,40 evolved
d5,4.844324992654717,gr.sat,0.0573680141328849,0.9937285304452159,72,40_C7,41,1,40 evolved
d6,1.6305542319576785,gr,0.01046187975942614,0.9961043726652328,97,WT_FLZ_2,41,1,Fluconazole evolved
d7,2.8428333471852474,gr.sat,0.06317187795321316,0.9712184647478576,89,35_B6,41,1,35 evolved
d8,4.621675978443749,gr.lagsat,0.041399367169943475,0.9974064256343907,72,WT_CASP_1,41,1,Caspofungin evolved
