drug,evolution_history,n,r,slope,se_slope,t_slope,p_slope
amphotericin,35 evolved,18,-0.18247183545345505,-0.30845835517695835,0.4155157315092278,-0.7423506062131081,0.4686339685827182
amphotericin,40 evolved,18,0.3885410708050933,0.39353124761625907,0.23331642271178943,1.6866847307288757,0.11106054115813652
caspofungin,35 evolved,18,0.036709794510965156,0.07361635205492491,0.5010020709905029,0.14693821905642462,0.8850163438531664
caspofungin,40 evolved,18,0.171997988486587,0.11572443062881721,0.16569935678760864,0.6983999990847963,0.4949536249313421
fluconazole,35 evolved,18,-0.41399291741196115,-1.6740936517444824,0.9202416733422929,-1.8191891328548722,0.08764677809935177
fluconazole,40 evolved,18,0.2261771935408067,0.2827934592733414,0.30447941596332334,0.9287769367877591,0.36680558589685086
