evolution_history,trait,mean_val,se_mean
35 evolved,topt,38.795579236511635,0.15152085403512736
35 evolved,tmax,42.24663014637598,0.046125436638430745
35 evolved,th_c,40.83888703076241,0.06455225493312543
35 evolved,b80,11.102554699914437,0.17884527825303304
40 evolved,topt,39.51186177866627,0.0990058695820835
40 evolved,tmax,42.72936216729158,0.14825897458582737
40 evolved,th_c,41.421779068679555,0.03894991359980718
40 evolved,b80,10.716905023835718,0.2508944211042877
