population,evolution_history,ic50
35_B2,35 evolved,0.30663894237764955
35_B6,35 evolved,0.281421018991572
35_B8,35 evolved,0.3017438942658096
35_C5,35 evolved,0.29069130747209104
35_C7,35 evolved,0.3513538240623012
35_C9,35 evolved,0.3302316131893392
35_D2,35 evolved,0.3295688840096307
35_D4,35 evolved,0.13329763952740767
35_D8,35 evolved,0.2781300826400644
35_E11,35 evolved,0.30445591800229294
35_E7,35 evolved,0.27984055231580995
35_E9,35 evolved,0.31283206473055186
35_F2,35 evolved,0.14920329221199136
35_F4,35 evolved,0.15160359150832997
35_F6,35 evolved,0.12855114161574363
35_G11,35 evolved,0.10127697802557951
35_G5,35 evolved,0.15104770210693994
35_G9,35 evolved,0.12678104761796544
40_B2,40 evolved,1.7635924998845744
40_B6,40 evolved,0.7683094846238986
40_B8,40 evolved,1.4454043663770701
40_C5,40 evolved,1.8008643231407353
40_C7,40 evolved,0.7981752923609776
40_C9,40 evolved,1.0760484522111646
40_D2,40 evolved,0.9647760502748197
40_D4,40 evolved,1.3107980258556344
40_D8,40 evolved,0.9658965622729494
40_E11,40 evolved,1.055844649963931
40_E7,40 evolved,1.0553200332349606
40_E9,40 evolved,1.4481313884976355
40_F2,40 evolved,1.1404515849151806
40_F4,40 evolved,2.008500304661
40_F6,40 evolved,0.8002995613389532
40_G11,40 evolved,1.0653945003032175
40_G5,40 evolved,1.3457795299988387
40_G9,40 evolved,1.2363281150735057
fRS585,fRS585,0.8480176128627259
