drug,comparison,mean_x,ref,diff,ci_lo,ci_hi,p_welch,p_wilcox,p_welch_holm,p_wilcox_holm
amphotericin,40 evolved vs 35 evolved,-0.05930796345210739,0.05744865224859513,-0.11675661570070253,-0.32051728057284523,0.08700404917144015,0.25070270099846625,0.35064512183188623,0.7521081029953988,0.7012902436637725
amphotericin,35 evolved vs ancestor,0.05744865224859513,0,0.05744865224859513,-0.05542712621505514,0.1703244307122454,0.2979182498852132,0.050023146534433315,0.7521081029953988,0.15006943960329994
amphotericin,40 evolved vs ancestor,-0.05930796345210739,0,-0.05930796345210739,-0.23656432755049528,0.1179484006462805,0.48979949910584797,0.7938595211959749,0.7521081029953988,0.7938595211959749
caspofungin,40 evolved vs 35 evolved,0.007152705425544506,0.03826966300030005,-0.031116957574755542,-0.2321246290851736,0.16989071393566252,0.7549032357891441,0.7879850135276372,1,1
caspofungin,35 evolved vs ancestor,0.03826966300030005,0,0.03826966300030005,-0.10080618072134226,0.17734550672194238,0.5691535342591928,0.6012496701350469,1,1
caspofungin,40 evolved vs ancestor,0.007152705425544506,0,0.007152705425544506,-0.14830112977706886,0.16260654062815788,0.9238010834628583,1,1,1
fluconazole,40 evolved vs 35 evolved,0.30408752915111736,0.3513458902286736,-0.04725836107755621,-0.4206745024857095,0.3261577803305971,0.7984978145658959,0.5798009470581065,0.7984978145658959,0.5798009470581065
fluconazole,35 evolved vs ancestor,0.3513458902286736,0,0.3513458902286736,0.061504898861938266,0.6411868815954088,0.020391582769380936,0.011539554953844917,0.061174748308142804,0.034618664861534754
fluconazole,40 evolved vs ancestor,0.30408752915111736,0,0.30408752915111736,0.046944081507690125,0.5612309767945446,0.02318457273329438,0.040671173027986125,0.061174748308142804,0.08134234605597225
