well,strain,r,K,t_mid,R2,n_obs,strain.y,test_temperature,block,evolution_history
d3,WT_CASP_3,17.930214643814995,1.524,0.2827868724532862,0.9982303203818123,97,WT_CASP_3,35,3,Caspofungin evolved
d4,WT_FLZ_1,14.529533628845767,1.548,0.28475381840952235,0.9626903361308657,97,WT_FLZ_1,35,3,Fluconazole evolved
d5,35_E7,16.421144157854553,1.385,0.2932834163363108,0.9979863064761817,97,35_E7,35,3,35 evolved
d6,35_C9,14.009034695586708,1.26,0.30469349468246787,0.9818197476546185,97,35_C9,35,3,35 evolved
d7,40_D8,15.82508709461406,1.3760672917167809,0.31775579888627037,0.9977313735386566,97,40_D8,35,3,40 evolved
d8,WT_CASP_3,17.68456973809721,1.527,0.2830770162267253,0.9982554938145233,97,WT_CASP_3,35,3,Caspofungin evolved
d10,35_C5,16.54867412500393,1.3885843210157367,0.2950842354506615,0.9978030493071174,97,35_C5,35,3,35 evolved
e2,40_B6,15.719282858318286,1.3535317976953274,0.32787958197789524,0.9974501444041072,97,40_B6,35,3,40 evolved
e4,35_C5,16.303866312949708,1.414,0.2956315976125347,0.997870672600393,97,35_C5,35,3,35 evolved
e5,40_G5,7.899441353440581,1.754,0.35964316563981225,0.8395535714144395,97,40_G5,35,3,40 evolved
e10,WT_FLZ_1,16.60564125427816,1.391,0.2819249780316497,0.9975749200096962,97,WT_FLZ_1,35,3,Fluconazole evolved
e11,40_E7,16.785334637327864,1.3764400309304787,0.3041845266614141,0.9977385858955418,97,40_E7,35,3,40 evolved
f2,40_F6,15.511857530086813,2.044,0.3127097384934837,0.7549602444291785,97,40_F6,35,3,40 evolved
f3,35_E7,16.556288115813068,1.403,0.2885723694384329,0.9914779393064298,97,35_E7,35,3,35 evolved
f4,40_C5,15.055790480112213,1.3880021333598722,0.33021422695207914,0.9977147187560089,97,40_C5,35,3,40 evolved
f5,40_D8,5.432196642496453,1.843,0.39118177791405045,0.76280467973364,97,40_D8,35,3,40 evolved
f7,35_D2,16.558114520546393,1.383,0.2977559688309987,0.9978647273023259,97,35_D2,35,3,35 evolved
f8,40_G5,15.980971725536119,1.4267486743022646,0.3224133676204876,0.997821568848983,97,40_G5,35,3,40 evolved
f11,35_F2,17.03529021256206,1.29,0.3010344455901275,0.9974194639072329,97,35_F2,35,3,35 evolved
g2,40_E7,16.765306611133283,1.416,0.30239291314566075,0.9976834148703991,97,40_E7,35,3,40 evolved
g3,35_E7,16.64816887307249,1.385,0.29142273488573606,0.9979329066224597,97,35_E7,35,3,35 evolved
g4,40_C5,15.279345013832845,1.4321250129492327,0.32589590206266245,0.9978208221548233,97,40_C5,35,3,40 evolved
g5,40_F6,16.640079239680706,1.383,0.29842420587666013,0.9978411486154652,97,40_F6,35,3,40 evolved
g6,WT_CASP_3,18.0505746345118,1.533,0.2771225042569093,0.9981936443676848,97,WT_CASP_3,35,3,Caspofungin evolved
g7,35_C5,16.400124435296124,1.395,0.2972062956983625,0.997916758853448,97,35_C5,35,3,35 evolved
g8,40_B6,15.66424371212765,1.353637070828726,0.3272163623467743,0.9976042285595402,97,40_B6,35,3,40 evolved
g10,35_F2,16.713936607716743,1.3701985165675352,0.2985086137566373,0.9978070434265762,97,35_F2,35,3,35 evolved
b2,40_B6,9.495803662732953,1.3737949241747736,0.5463525121484032,0.9964837506378311,97,40_B6,25,3,40 evolved
b3,fRS585,9.692804970911435,1.492035352572724,0.48597341292608415,0.9966062869380512,97,fRS585,25,3,fRS585
b4,35_E11,9.66282255537714,1.4953316242330534,0.4942526751772619,0.9965415607122707,97,35_E11,25,3,35 evolved
b5,35_D2,9.667463183693462,1.4723490777061503,0.4933523895267607,0.9966505568667818,97,35_D2,25,3,35 evolved
b6,WT_FLZ_1,9.3575869802239815,1.4664752823944889,0.4747382332490365,0.9961785549129447,97,WT_FLZ_1,25,3,Fluconazole evolved
b7,fRS585,9.718311870280186,1.4777527808958313,0.48543075687830495,0.9963508852245841,97,fRS585,25,3,fRS585
b8,35_E11,9.644844797151109,1.4732685360057922,0.49454789435067054,0.9965944147173872,97,35_E11,25,3,35 evolved
b9,40_C5,9.477676029578275,1.4902348173214999,0.5251211374396494,0.9969648262087518,97,40_C5,25,3,40 evolved
b10,40_F6,9.665964662880452,1.4712249993761877,0.4956616129725343,0.9964373039752735,97,40_F6,25,3,40 evolved
b11,40_G5,9.606078187065583,1.4768582850006646,0.5398008799326762,0.9967964287546914,97,40_G5,25,3,40 evolved
c2,35_E11,9.53899588374674,1.4997968573063292,0.498657928463785,0.996561197887991,97,35_E11,25,3,35 evolved
c3,40_E7,9.715526140557209,1.491532900680655,0.49541496352669717,0.9968716655964066,97,40_E7,25,3,40 evolved
c4,35_C9,9.463137255131754,1.38141078150565,0.4991898996074588,0.9961434126255807,97,35_C9,25,3,35 evolved
c5,35_D2,9.637156744733748,1.5050258224742161,0.48988607394372297,0.9967328506829524,97,35_D2,25,3,35 evolved
c7,40_D8,9.850961732201013,1.4742979421668572,0.5151904661176314,0.9968683095370563,97,40_D8,25,3,40 evolved
c8,35_F2,9.528173545415727,1.471113813380634,0.49483753584355034,0.9966171047009625,97,35_F2,25,3,35 evolved
c9,fRS585,9.62755948536803,1.4858985975912111,0.4884225843538396,0.9964046867531502,97,fRS585,25,3,fRS585
d2,35_C9,9.437948006835246,1.409814915364536,0.5002051745599813,0.9961096338609209,97,35_C9,25,3,35 evolved
d3,WT_CASP_3,9.966912399163762,1.3507214673331887,0.5044925393835941,0.9969532266047725,97,WT_CASP_3,25,3,Caspofungin evolved
d4,WT_FLZ_1,9.416046831765234,1.5038866975217162,0.47075703168370747,0.9962943454020377,97,WT_FLZ_1,25,3,Fluconazole evolved
d5,35_E7,9.5977577554978,1.4985543468792362,0.49608668756230107,0.9965994056964249,97,35_E7,25,3,35 evolved
d6,35_C9,9.65548178893426,1.4561197022298225,0.49441207306939006,0.9966826693615141,97,35_C9,25,3,35 evolved
