well,strain,r,K,t_mid,R2,n_obs,strain.y,test_temperature,block,evolution_history
c11,WT_CASP_1,12.52693477238905,1.2806220519791343,0.40206898683884124,0.9921579912872324,97,WT_CASP_1,41,1,Caspofungin evolved
d2,40_B8,6.11755232594988,1.902,0.5175580119795902,0.8624439360112585,97,40_B8,41,1,40 evolved
d4,40_F2,8.613154047817245,1.629,0.48925539063678347,0.9574609545077492,97,40_F2,41,1,40 evolved
d5,40_C7,9.868412795169588,1.342250138541726,0.47553035714817077,0.9909359011661696,97,40_C7,41,1,40 evolved
d6,WT_FLZ_2,2.1976161301595547,0.78,1.0544433452601178,0.9945827724844647,97,WT_FLZ_2,41,1,Fluconazole evolved
d7,35_B6,2.9655677762665418,1.994,1.0234464559779508,0.9907473990849149,97,35_B6,41,1,35 evolved
d8,WT_CASP_1,7.814758185558852,1.2332912413807553,0.4927495343254905,0.9951605679139157,97,WT_CASP_1,41,1,Caspofungin evolved
d10,40_B8,6.197799734984516,1.876,0.4675366712593418,0.825197740967967,97,40_B8,41,1,40 evolved
d11,WT_CASP_2,14.655667113835458,1.3372977629847507,0.3700777668480934,0.9933299097069812,97,WT_CASP_2,41,1,Caspofungin evolved
e2,35_B8,2.9908965320433647,1.307757720067093,0.8629314641096745,0.9838747882228375,97,35_B8,41,1,35 evolved
e3,35_F4,2.866248974018683,1.4007648406387052,0.9306791033102182,0.984061137328147,97,35_F4,41,1,35 evolved
e5,40_D4,11.312503607548813,1.341863809895732,0.4661509086477426,0.9900667148423901,97,40_D4,41,1,40 evolved
e7,35_F4,3.1222698293118256,2.208,1.0035838257290275,0.9929344593506318,97,35_F4,41,1,35 evolved
e8,35_B8,3.8438764389334126,1.604321678611239,0.7840689623082077,0.9957208567823208,97,35_B8,41,1,35 evolved
e9,40_D2,10.495617249584855,1.3256594798571013,0.4797142935819259,0.9887355278681901,97,40_D2,41,1,40 evolved
e10,fRS585,6.542332598386728,1.2650931910890069,0.543593947907429,0.9919148051333146,97,fRS585,41,1,fRS585
f2,35_G5,3.195148727794865,0.705,0.5971516279056394,0.9312702584144085,97,35_G5,41,1,35 evolved
f3,40_D4,5.276542020151742,1.773,0.5203267795383877,0.8403382345889054,97,40_D4,41,1,40 evolved
f4,35_D4,3.7698971577408456,0.6196475748461874,0.5096939672788204,0.976514994458509,97,35_D4,41,1,35 evolved
f5,35_B6,2.3532163603058738,0.595,0.6455954142479575,0.8670079305359625,97,35_B6,41,1,35 evolved
f6,40_B8,11.71283791073569,1.4,0.4508544941000264,0.9857242710431322,97,40_B8,41,1,40 evolved
f7,40_C7,5.509161695284331,1.855,0.55941474946863,0.8010402316650851,97,40_C7,41,1,40 evolved
f8,WT_CASP_1,5.965210507712805,1.2615428211045927,0.562097158433969,0.9983752438562182,97,WT_CASP_1,41,1,Caspofungin evolved
f10,40_F2,15.958107435432346,2.044,0.4483716376369875,0.9877795115963406,97,40_F2,41,1,40 evolved
f11,fRS585,8.342579801877283,1.2839574502098214,0.4804013334808077,0.9920030997885597,97,fRS585,41,1,fRS585
g2,35_G11,3.8992404073935116,0.51,0.44424174270859595,0.9741471029573161,97,35_G11,41,1,35 evolved
g3,WT_FLZ_2,2.0416255231944986,0.644,1.039168046663548,0.9971247767370617,97,WT_FLZ_2,41,1,Fluconazole evolved
g4,35_B6,4.852079453427916,0.352,0.2892206982395502,0.971821131381114,97,35_B6,41,1,35 evolved
g6,40_D2,8.438099763202887,1.3365950735757013,0.5422106434933169,0.9869287924150217,97,40_D2,41,1,40 evolved
g7,40_G9,13.205778057129901,1.3949987501847418,0.378718338167987,0.9938036574958362,97,40_G9,41,1,40 evolved
g8,35_G11,2.988299994779061,1.938,1.0178381764039792,0.9902587992221179,97,35_G11,41,1,35 evolved
g9,35_D4,4.6690567898133235,1.3551822217645741,0.6706386113869272,0.9865143904530884,97,35_D4,41,1,35 evolved
g10,40_G9,14.352953959671476,1.3971757652814147,0.35785261518786715,0.9937242107478795,97,40_G9,41,1,40 evolved
b3,fRS585,17.275213863029556,1.358,0.27735633600912457,0.9976269563806064,97,fRS585,35,1,fRS585
b4,WT_CASP_2,17.879095826682793,1.3553202761738736,0.26787208092018,0.9974517368754806,97,WT_CASP_2,35,1,Caspofungin evolved
b5,40_D2,17.01656228190382,1.289,0.3147640678047674,0.9968364186489151,97,40_D2,35,1,40 evolved
b6,WT_CASP_2,4.825361710616931,1.85,0.3419639225784341,0.7611082276752719,97,WT_CASP_2,35,1,Caspofungin evolved
b8,40_G9,18.022130303351748,1.484,0.25523183060768556,0.9979682308675899,97,40_G9,35,1,40 evolved
b10,WT_FLZ_2,14.408334611584005,1.353441212308907,0.3890332105733124,0.9943946926921612,97,WT_FLZ_2,35,1,Fluconazole evolved
b11,35_G11,16.41958722295654,1.313,0.2940003139799648,0.9975742284218783,97,35_G11,35,1,35 evolved
c2,35_G5,16.29560931258785,1.394,0.2861952108028041,0.997744721338225,97,35_G5,35,1,35 evolved
c4,40_C7,16.093056389390295,1.37,0.30978364336496234,0.9972327939241574,97,40_C7,35,1,40 evolved
c5,35_G5,16.756626259759365,1.381,0.2860710205553841,0.9973829663381762,97,35_G5,35,1,35 evolved
c6,35_F4,16.24136007156242,1.397,0.290371027226716,0.9975069223964877,97,35_F4,35,1,35 evolved
c7,35_D4,16.791303366729313,1.382,0.2837532745496414,0.9976406693199285,97,35_D4,35,1,35 evolved
c8,40_F2,15.61158620503044,1.3463252539845185,0.3174929446172821,0.997505638372845,97,40_F2,35,1,40 evolved
c9,40_D4,16.593530843435808,1.3530765332114885,0.3046389000892272,0.9973453716918058,97,40_D4,35,1,40 evolved
c10,35_B8,16.825324648892376,1.3495124620680288,0.287224732055808,0.9974001880782672,97,35_B8,35,1,35 evolved
c11,WT_CASP_1,17.555887858006212,1.085,0.29539523705362253,0.9963833119946635,97,WT_CASP_1,35,1,Caspofungin evolved
d2,40_B8,15.331791819032727,1.413,0.299030968196682,0.9978650279428353,97,40_B8,35,1,40 evolved
d4,40_F2,15.675557115312472,1.33,0.31602256003122003,0.994515247577547,97,40_F2,35,1,40 evolved
d5,40_C7,16.062631625377808,1.377,0.31299652725673616,0.9974052235904538,97,40_C7,35,1,40 evolved
d6,WT_FLZ_2,5.434298787622586,1.77,0.46824224268343223,0.8341282908014483,97,WT_FLZ_2,35,1,Fluconazole evolved
d7,35_B6,16.640132538645155,1.35,0.29131075229620884,0.9975852053832001,97,35_B6,35,1,35 evolved
d8,WT_CASP_1,18.50514670758747,1.339,0.2796900551139847,0.9973859642180163,97,WT_CASP_1,35,1,Caspofungin evolved
d10,40_B8,8.38149367126384,1.656,0.33324587962648067,0.8734990877158709,97,40_B8,35,1,40 evolved
d11,WT_CASP_2,17.08702513093972,1.531,0.261267064500383,0.965866835211494,97,WT_CASP_2,35,1,Caspofungin evolved
e2,35_B8,16.70518435932273,1.356,0.28719216210558984,0.9977143309637945,97,35_B8,35,1,35 evolved
e3,35_F4,16.54355915378009,1.371,0.29222061538214683,0.9977239870344279,97,35_F4,35,1,35 evolved
e5,40_D4,16.322297236267797,1.36,0.3047076304439896,0.9973732485224426,97,40_D4,35,1,40 evolved
e7,35_F4,16.64432956352217,1.383,0.2906958590280654,0.9976940955564247,97,35_F4,35,1,35 evolved
e8,35_B8,16.752593753581337,1.364,0.28842827773181356,0.9976250064857474,97,35_B8,35,1,35 evolved
e9,40_D2,15.722075328838352,1.366563857078144,0.3176687843785891,0.9972149406922892,97,40_D2,35,1,40 evolved
e10,fRS585,16.61060535661899,1.38,0.2783005265888124,0.9977432981303147,97,fRS585,35,1,fRS585
f2,35_G5,4.348515593810106,1.857,0.40857461075711815,0.7609198902164691,97,35_G5,35,1,35 evolved
f3,40_D4,14.830021227700154,1.447,0.3043221998936007,0.9737086703437141,97,40_D4,35,1,40 evolved
f4,35_D4,16.426281424088003,1.377,0.28491665962897605,0.9976892960116505,97,35_D4,35,1,35 evolved
f5,35_B6,9.12046195215314,1.708,0.3116051464535725,0.803271541376453,97,35_B6,35,1,35 evolved
f6,40_B8,15.349236130931365,1.419,0.2986204449090069,0.9977316835664499,97,40_B8,35,1,40 evolved
f7,40_C7,5.403161968203026,1.767,0.3806468205514089,0.7765528284279681,97,40_C7,35,1,40 evolved
f8,WT_CASP_1,17.956991187690342,1.401,0.2765723848162598,0.9977037074541502,97,WT_CASP_1,35,1,Caspofungin evolved
f10,40_F2,9.138850628666386,1.886,0.3120687510541032,0.6411014305247362,97,40_F2,35,1,40 evolved
f11,fRS585,16.61996288613879,1.361639639990469,0.28070105900676495,0.9977636908087412,97,fRS585,35,1,fRS585
g2,35_G11,16.538457251976446,1.396,0.2864973761276837,0.9977484635966046,97,35_G11,35,1,35 evolved
g3,WT_FLZ_2,13.71410976262829,1.4039939538075568,0.3905700026020418,0.9959736693048623,97,WT_FLZ_2,35,1,Fluconazole evolved
g4,35_B6,16.60761158249131,1.357,0.2888199898788959,0.9976780746720473,97,35_B6,35,1,35 evolved
g6,40_D2,15.480811972803998,1.3543976777475812,0.32109230065197997,0.997290048072408,97,40_D2,35,1,40 evolved
g7,40_G9,18.03905502004047,1.449,0.2598881059931263,0.9977637020465564,97,40_G9,35,1,40 evolved
g8,35_G11,16.58913558542245,1.371,0.2877834406918521,0.9977335754049962,97,35_G11,35,1,35 evolved
g9,35_D4,16.667881483074893,1.3831126677150085,0.2867727886988915,0.9977384332221007,97,35_D4,35,1,35 evolved
g10,40_G9,18.012518847422506,1.502,0.2559191869986666,0.9980587906697435,97,40_G9,35,1,40 evolved
b3,fRS585,9.727633180043217,1.491041621009559,0.48609070123776077,0.9965032048371407,97,fRS585,25,1,fRS585
b4,WT_CASP_2,9.870378469719164,1.5309654327418558,0.46000969165018185,0.9966635173429393,97,WT_CASP_2,25,1,Caspofungin evolved
b5,40_D2,9.748529389136696,1.479680953881502,0.5226298731583098,0.9969924983236907,97,40_D2,25,1,40 evolved
b6,WT_CASP_2,9.732173264803267,1.472831501298677,0.47299716826255034,0.9963381659290214,97,WT_CASP_2,25,1,Caspofungin evolved
b8,40_G9,9.745280431901074,1.567553867045679,0.46289958319059976,0.9974319038159953,97,40_G9,25,1,40 evolved
b10,WT_FLZ_2,6.49771713803473,1.464467331513731,0.7433779059458727,0.992483400877379,97,WT_FLZ_2,25,1,Fluconazole evolved
b11,35_G11,9.61296286652194,1.4943291132542997,0.48487356194205417,0.996638033924637,97,35_G11,25,1,35 evolved
c2,35_G5,9.642259926166357,1.4987226883469122,0.48068111494834986,0.9966216798045929,97,35_G5,25,1,35 evolved
c4,40_C7,9.799759294025852,1.5057594834141015,0.5120192212369664,0.9971147971060071,97,40_C7,25,1,40 evolved
c5,35_G5,9.67869738009483,1.522355207499829,0.47995161999637115,0.9967520210836539,97,35_G5,25,1,35 evolved
c6,35_F4,9.666023876177842,1.4977655634069469,0.48803803408333035,0.9965760763221703,97,35_F4,25,1,35 evolved
c7,35_D4,9.686562335320247,1.4904786885612418,0.48022061273923755,0.9966841533589563,97,35_D4,25,1,35 evolved
c8,40_F2,9.68995347121271,1.4719738276579772,0.5084058538225205,0.9969263409305194,97,40_F2,25,1,40 evolved
c9,40_D4,9.781131347838869,1.4709799735674094,0.5080123873288571,0.99687922255938,97,40_D4,25,1,40 evolved
c10,35_B8,9.681640851525962,1.5007052161581484,0.4799900592111987,0.9965396974362724,97,35_B8,25,1,35 evolved
c11,WT_CASP_1,10.069121063603735,1.4734210487613315,0.48071533106923797,0.9970256257950787,97,WT_CASP_1,25,1,Caspofungin evolved
d2,40_B8,9.50164110698294,1.4741003628300515,0.5011284950588716,0.9963783835035911,97,40_B8,25,1,40 evolved
d4,40_F2,9.767573382904109,1.5236770704426714,0.4995056011520916,0.9969903312087547,97,40_F2,25,1,40 evolved
d5,40_C7,9.75962583119181,1.5099328362280635,0.5093211277166342,0.9971220772943956,97,40_C7,25,1,40 evolved
d6,WT_FLZ_2,6.601964219860941,1.580473782068635,0.7136117470209171,0.9938576779243781,97,WT_FLZ_2,25,1,Fluconazole evolved
d7,35_B6,9.675352910973873,1.5149719267753348,0.4838954535087304,0.9965560298220942,97,35_B6,25,1,35 evolved
d8,WT_CASP_1,10.03625938155902,1.4651134539091357,0.47754259465241533,0.9969921220834133,97,WT_CASP_1,25,1,Caspofungin evolved
d10,40_B8,9.365980549188828,1.4153099618716436,0.5121238835459656,0.9959408247622928,97,40_B8,25,1,40 evolved
d11,WT_CASP_2,9.7753660241839615,1.4814229236096097,0.47001245335166875,0.996298946775054,97,WT_CASP_2,25,1,Caspofungin evolved
e2,35_B8,9.599755044846702,1.4599159843556286,0.4827327831535255,0.9965865107289921,97,35_B8,25,1,35 evolved
e3,35_F4,9.504410226427337,1.4734865678840237,0.49288918652106867,0.9965319303592948,97,35_F4,25,1,35 evolved
e5,40_D4,9.789376943489714,1.5011948185338477,0.5062068261672148,0.9968014096300887,97,40_D4,25,1,40 evolved
e7,35_F4,9.695932881056269,1.5155978435588315,0.4900099748129829,0.9968265200873788,97,35_F4,25,1,35 evolved
e8,35_B8,9.65580304341832,1.4890329610116215,0.481627709225938,0.9966120571969517,97,35_B8,25,1,35 evolved
e9,40_D2,9.65169133455965,1.4182737226904727,0.528939493488395,0.9963641171930234,97,40_D2,25,1,40 evolved
e10,fRS585,9.690358550807547,1.5005979399089011,0.48883762727978203,0.9963908060387886,97,fRS585,25,1,fRS585
f2,35_G5,9.60916556799496,1.496735976377983,0.48415072157316186,0.9965275326420324,97,35_G5,25,1,35 evolved
f3,40_D4,9.77887663631437,1.495501656451233,0.5073512076617976,0.9968552583047803,97,40_D4,25,1,40 evolved
f4,35_D4,9.603532388548004,1.4894131859015503,0.4835580871532379,0.996547667102468,97,35_D4,25,1,35 evolved
f5,35_B6,9.462885472720176,1.470531423182859,0.4942348553114753,0.9963001663777711,97,35_B6,25,1,35 evolved
f6,40_B8,9.400960112303386,1.4496788287552997,0.5140470279599944,0.9960284766825935,97,40_B8,25,1,40 evolved
f7,40_C7,9.79662845701695,1.53201589499546,0.5107245176820153,0.9971422455077033,97,40_C7,25,1,40 evolved
f8,WT_CASP_1,10.073734089265143,1.4790628534620205,0.478043329183477,0.9971422623652623,97,WT_CASP_1,25,1,Caspofungin evolved
f10,40_F2,9.703923239392886,1.4979961819645782,0.5064782495551465,0.9968261068308918,97,40_F2,25,1,40 evolved
f11,fRS585,9.79316907754148,1.507572577938606,0.4865405916355226,0.9964069752812519,97,fRS585,25,1,fRS585
g2,35_G11,9.470511718301024,1.3601282046966958,0.503949980211019,0.9957671805494606,97,35_G11,25,1,35 evolved
g3,WT_FLZ_2,6.609398970581784,1.4723065424699169,0.7440851740838039,0.9924298529989457,97,WT_FLZ_2,25,1,Fluconazole evolved
g4,35_B6,9.54253944184823,1.4302131358543109,0.49413237334550697,0.9963608377620534,97,35_B6,25,1,35 evolved
g6,40_D2,9.699545271003224,1.505218071728432,0.5240078300403707,0.9967563640079632,97,40_D2,25,1,40 evolved
g7,40_G9,9.705713342185064,1.5247246164530652,0.46987745742491815,0.997363587497276,97,40_G9,25,1,40 evolved
g8,35_G11,9.750536014267183,1.5042758362208033,0.4804990782858634,0.9966626507920354,97,35_G11,25,1,35 evolved
g9,35_D4,9.736321749122629,1.4999375046287102,0.47899878967312737,0.996624629428442,97,35_D4,25,1,35 evolved
g10,40_G9,9.729992184806495,1.5318877491441867,0.46921350107996745,0.9972631487336991,97,40_G9,25,1,40 evolved
b3,fRS585,18.483554834704496,1.427,0.2892926807479307,0.9974552318741325,97,fRS585,38,1,fRS585
b4,WT_CASP_2,5.303128487386519,1.843,0.3214467585460562,0.660453140560687,97,WT_CASP_2,38,1,Caspofungin evolved
b5,40_D2,17.550568727191454,1.375,0.3129079752963934,0.9969518721268543,97,40_D2,38,1,40 evolved
b6,WT_CASP_2,20.904783467035482,1.26,0.27199584961593154,0.9966196693973376,97,WT_CASP_2,38,1,Caspofungin evolved
b8,40_G9,19.449633487000856,1.396,0.2655707269737777,0.9960072283161419,97,40_G9,38,1,40 evolved
b10,WT_FLZ_2,15.673372774870757,1.247,0.37436048310094056,0.9946389765206766,97,WT_FLZ_2,38,1,Fluconazole evolved
b11,35_G11,18.9953119654327,1.375,0.29216103656347864,0.9975485386177381,97,35_G11,38,1,35 evolved
c2,35_G5,18.7522549821696,1.368,0.2867696494462047,0.9974241307935828,97,35_G5,38,1,35 evolved
c4,40_C7,16.931464921441894,1.413,0.30951115195701817,0.9944848391858414,97,40_C7,38,1,40 evolved
c5,35_G5,5.541246386781688,1.811,0.3600874399910774,0.7622964797841983,97,35_G5,38,1,35 evolved
c6,35_F4,22.240002501412835,1.96,0.30094229739365413,0.8133047181097482,97,35_F4,38,1,35 evolved
c7,35_D4,20.257306733437815,1.398,0.28554040442995343,0.9941557925235315,97,35_D4,38,1,35 evolved
c8,40_F2,17.60835550889748,1.333,0.3065054195662951,0.9971724302624461,97,40_F2,38,1,40 evolved
c9,40_D4,18.742567286270543,1.379,0.2993117559537098,0.9973546360552622,97,40_D4,38,1,40 evolved
c10,35_B8,20.067136713959684,1.376,0.27966747374246764,0.9961655739508692,97,35_B8,38,1,35 evolved
c11,WT_CASP_1,18.766335869662246,1.476,0.263411980532126,0.9605463087958934,97,WT_CASP_1,38,1,Caspofungin evolved
d2,40_B8,16.492393545082393,1.457,0.30958361797244605,0.9973675220885628,97,40_B8,38,1,40 evolved
d4,40_F2,17.427454052526112,1.417,0.30434986100469874,0.9972232588972375,97,40_F2,38,1,40 evolved
d5,40_C7,18.27181184791651,1.401,0.30619409213183246,0.9969014543704824,97,40_C7,38,1,40 evolved
d6,WT_FLZ_2,11.438071554628019,1.546,0.3906233244147888,0.9676107433625837,97,WT_FLZ_2,38,1,Fluconazole evolved
d7,35_B6,19.02124640358373,1.409,0.29332057515819565,0.9973338619724551,97,35_B6,38,1,35 evolved
d8,WT_CASP_1,6.514570557912561,1.758,0.3084875791167335,0.7097121000459384,97,WT_CASP_1,38,1,Caspofungin evolved
d10,40_B8,14.36863294338069,1.496,0.3200577393283288,0.9762348692023239,97,40_B8,38,1,40 evolved
d11,WT_CASP_2,20.559792834315687,1.404,0.2669448854389471,0.9974079777284478,97,WT_CASP_2,38,1,Caspofungin evolved
e2,35_B8,18.629309114554452,1.392,0.28233646135729484,0.9975558293592732,97,35_B8,38,1,35 evolved
e3,35_F4,20.422412481866765,1.373,0.2838420926056637,0.9963463538500863,97,35_F4,38,1,35 evolved
e5,40_D4,19.432760784038248,1.307,0.29912160510944175,0.9953820853439627,97,40_D4,38,1,40 evolved
e7,35_F4,19.19766793171933,1.433,0.285273001375429,0.997543717339062,97,35_F4,38,1,35 evolved
e8,35_B8,18.87197911927957,1.397,0.2850175951448323,0.9973800312128694,97,35_B8,38,1,35 evolved
e9,40_D2,16.788883358813987,1.434,0.3129280405842505,0.991324094871019,97,40_D2,38,1,40 evolved
e10,fRS585,19.06862187533305,1.363,0.29197005365529743,0.9971950442705864,97,fRS585,38,1,fRS585
f2,35_G5,18.766302223169696,1.422,0.2799559637032507,0.997504731015742,97,35_G5,38,1,35 evolved
f3,40_D4,18.702089913415456,1.412,0.29832532382185173,0.9971002389255348,97,40_D4,38,1,40 evolved
f4,35_D4,19.17927594090658,1.384,0.29311785531790374,0.9972897400411475,97,35_D4,38,1,35 evolved
f5,35_B6,18.822297306998802,1.379,0.29337905735235764,0.9971795887300432,97,35_B6,38,1,35 evolved
f6,40_B8,18.249377466523267,1.333,0.3144754925140992,0.99644347287246815,97,40_B8,38,1,40 evolved
f7,40_C7,19.654958795759928,1.213,0.31194038944991653,0.9958998862843542,97,40_C7,38,1,40 evolved
f8,WT_CASP_1,20.911062146299713,1.406,0.261603894533315,0.9974113053904393,97,WT_CASP_1,38,1,Caspofungin evolved
f10,40_F2,5.9328857707945275,1.804,0.3605151763175382,0.7492205837944266,97,40_F2,38,1,40 evolved
f11,fRS585,19.360379846702383,1.366,0.29155216239698956,0.9973506512991391,97,fRS585,38,1,fRS585
g2,35_G11,19.00043046248843,1.397,0.29216099121402356,0.9975251971535953,97,35_G11,38,1,35 evolved
g3,WT_FLZ_2,14.935790787888418,1.3755741983716483,0.3776567994696744,0.995634615152289,97,WT_FLZ_2,38,1,Fluconazole evolved
g4,35_B6,19.128048645713122,1.385,0.2914225549013362,0.9973681968728908,97,35_B6,38,1,35 evolved
g6,40_D2,18.526541625242164,1.381,0.3090163340389058,0.9963221884634353,97,40_D2,38,1,40 evolved
g7,40_G9,20.10844791227585,1.466,0.2624925567635663,0.9975139382541097,97,40_G9,38,1,40 evolved
g8,35_G11,18.893095165453303,1.374,0.2927597033677544,0.9973303920367816,97,35_G11,38,1,35 evolved
g9,35_D4,19.24451553156628,1.3691560874848476,0.2920825023420163,0.9973012129673946,97,35_D4,38,1,35 evolved
g10,40_G9,20.15675127582329,1.456,0.26310789609416185,0.9978177960172857,97,40_G9,38,1,40 evolved
b2,35_E9,2.5957529169689066,0.184,-0.01872209503094662,0.5936830374227957,97,35_E9,42,2,35 evolved
b3,40_E9,5.3627116733462925,0.30106132781282735,0.27346974457742645,0.9911151733996689,97,40_E9,42,2,40 evolved
b4,40_G11,4.214040470108592,1.2155791127866824,0.6858370695682077,0.9989782615393111,97,40_G11,42,2,40 evolved
b5,40_E11,7.177739035457017,0.212,0.15480601389437712,0.9583352127760855,97,40_E11,42,2,40 evolved
b8,35_B2,6.857032304510517,0.161,0.06443116801486974,0.8374666594056126,97,35_B2,42,2,35 evolved
b9,fRS585,6.847783609265825,0.185,0.09118860789076208,0.8056436482652762,97,fRS585,42,2,fRS585
b11,35_D8,7.174853850016674,0.199,0.11102772984130886,0.8634933438155532,97,35_D8,42,2,35 evolved
c2,40_B2,7.97585080954468,1.2772719336705283,0.5225700859165352,0.9913698974226853,97,40_B2,42,2,40 evolved
c3,40_G11,12.128417522089263,1.2454526392426684,0.4231073866309413,0.9928329384840783,97,40_G11,42,2,40 evolved
c4,40_E11,5.978268832249056,0.3776252501448168,0.3358614541993124,0.9909293520846925,97,40_E11,42,2,40 evolved
c5,40_E9,6.27883121689957,0.2122677906521321,0.16089994944488265,0.963557263783645,97,40_E9,42,2,40 evolved
c9,fRS585,6.53823816833491,0.165,0.05506087243563449,0.809306971384156,97,fRS585,42,2,fRS585
c11,35_C7,9.284324695460558,0.287,0.174467217713564,0.8803878482810771,97,35_C7,42,2,35 evolved
d2,40_C9,6.170138148610478,0.337,0.27109035148652283,0.9892756999504293,97,40_C9,42,2,40 evolved
d3,35_D8,7.1425506346562955,0.176,0.0922503481405476,0.8275556528260308,97,35_D8,42,2,35 evolved
d4,35_D8,6.388853388911615,0.171,0.06522613439422119,0.8121354233172271,97,35_D8,42,2,35 evolved
d5,40_E9,6.197080080369229,0.195,0.1355231850264046,0.9526189421863762,97,40_E9,42,2,40 evolved
d6,35_G9,5.711554093456124,0.144,-0.0029375953461197946,0.8083028281112248,97,35_G9,42,2,35 evolved
d8,40_C9,6.456472511216407,0.21892920872534036,0.1579633203244125,0.9673570306275958,97,40_C9,42,2,40 evolved
d9,40_C9,6.43892782311914,0.2409728794274486,0.18493893496593142,0.9761482763450164,97,40_C9,42,2,40 evolved
d10,35_E9,6.352767038289646,0.155,0.032471683126106654,0.8076044205159236,97,35_E9,42,2,35 evolved
d11,40_B2,5.701118970244579,1.3919463945166173,0.6429736528349835,0.994618027037047,97,40_B2,42,2,40 evolved
e3,35_C7,8.296743769084884,0.213,0.12978902334375808,0.8295889792347813,97,35_C7,42,2,35 evolved
e8,35_C7,7.899891023763989,0.207,0.10415356132682525,0.8254615772760043,97,35_C7,42,2,35 evolved
e9,35_B2,6.312291360757517,0.15,0.012781188711014987,0.8091952762214643,97,35_B2,42,2,35 evolved
e10,fRS585,6.011140657129009,0.152,0.023858184587314424,0.8167060921903669,97,fRS585,42,2,fRS585
e11,40_E11,7.095129503053038,0.2224846973748562,0.16459230622021817,0.9670298358522069,97,40_E11,42,2,40 evolved
f2,35_F6,3.4578607167327466,0.148,-0.06542733308650985,0.6662549062012312,97,35_F6,42,2,35 evolved
f3,40_F4,8.011842240722208,1.191585769891876,0.5226051010250246,0.9940706698856744,97,40_F4,42,2,40 evolved
f4,40_G11,3.323792558461398,0.8343284441358741,0.7680302026209181,0.9802355993782621,97,40_G11,42,2,40 evolved
f5,40_B2,3.5665846337736915,0.8860532109729551,0.7019472118679584,0.9989558092435835,97,40_B2,42,2,40 evolved
f7,40_F4,5.972100358588118,0.33275456126190356,0.286014992972107,0.9854914437362768,97,40_F4,42,2,40 evolved
f8,35_G9,6.3014105989076965,0.14,-0.005660619785957691,0.810544093929549,97,35_G9,42,2,35 evolved
f9,35_F6,5.761938551185368,0.139,-0.015738287826697398,0.8210486936745465,97,35_F6,42,2,35 evolved
f11,35_B2,6.395953165692207,0.157,0.03533542674779844,0.8326562035894362,97,35_B2,42,2,35 evolved
g3,35_G9,5.713947369029789,0.139,-0.009721394654210822,0.8126636236196885,97,35_G9,42,2,35 evolved
g5,40_F4,5.78924244838061,0.34242303119535905,0.2936994742206276,0.9859559943899923,97,40_F4,42,2,40 evolved
g6,35_F6,6.113348958216351,0.135,-0.01998690725535934,0.8100569002344458,97,35_F6,42,2,35 evolved
g8,35_E9,6.390473320307878,0.141,-0.0034617943841587944,0.8180162718516757,97,35_E9,42,2,35 evolved
b2,35_E9,6.455704530381115,1.2669704228268994,0.5390342098394284,0.9957635678013571,97,35_E9,41,2,35 evolved
b3,40_E9,12.756343765256684,1.4133319225495364,0.4036854711286695,0.9931513351036153,97,40_E9,41,2,40 evolved
b4,40_G11,13.971045495830245,1.433825717514424,0.3632982211056484,0.993693677970746,97,40_G11,41,2,40 evolved
b5,40_E11,12.507486770433104,1.3368942325724138,0.3935887336537826,0.9922889633435384,97,40_E11,41,2,40 evolved
b8,35_B2,10.509779070814174,1.2696159149908468,0.4325308154434185,0.9920049537083537,97,35_B2,41,2,35 evolved
b9,fRS585,11.842980020880082,1.3038094428748563,0.3944061706481095,0.9927645287218674,97,fRS585,41,2,fRS585
b11,35_D8,13.548290391344434,1.313782291963572,0.3951679531926802,0.9920387091328786,97,35_D8,41,2,35 evolved
c2,40_B2,12.540075912651698,1.3837708456427786,0.4040720584254451,0.9928489568943714,97,40_B2,41,2,40 evolved
c3,40_G11,15.817763300176507,1.258,0.359833671339032,0.9921567070721923,97,40_G11,41,2,40 evolved
c4,40_E11,12.43002893072403,1.3467782243661328,0.39056384828872365,0.9928364274703124,97,40_E11,41,2,40 evolved
c5,40_E9,11.460584873683565,1.363162660082824,0.43906825122071935,0.9920400924573071,97,40_E9,41,2,40 evolved
c9,fRS585,9.840537161366985,1.2522129378804912,0.42772485638121555,0.992604363920037,97,fRS585,41,2,fRS585
c11,35_C7,12.115836840954216,1.303859536463943,0.3971943433748531,0.9924670784982894,97,35_C7,41,2,35 evolved
d2,40_C9,12.068951932097852,1.3583066890733784,0.39755278172310793,0.9936429682579756,97,40_C9,41,2,40 evolved
d3,35_D8,5.605705666885483,1.0650608515019764,0.5170726750769876,0.9987031555373296,97,35_D8,41,2,35 evolved
d4,35_D8,4.741427283443215,0.9155577204493252,0.5401459772788678,0.9960854597862906,97,35_D8,41,2,35 evolved
d5,40_E9,10.845274904906619,1.3604444449331736,0.4511702795855686,0.9919978878247052,97,40_E9,41,2,40 evolved
d6,35_G9,4.269295868825749,1.378932994598787,0.665843526967705,0.9965829052811549,97,35_G9,41,2,35 evolved
d8,40_C9,13.088602836411942,1.3648823091485465,0.3893914456778817,0.9928107540016474,97,40_C9,41,2,40 evolved
d9,40_C9,13.49094851669438,1.3544526857420944,0.38510848524654556,0.9928070052732615,97,40_C9,41,2,40 evolved
d10,35_E9,7.456888950663544,1.2743872516941175,0.5050307065161908,0.9908799900314588,97,35_E9,41,2,35 evolved
