strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50
40_F6,40 evolved,41.34175327005437,0.0685813774333857,fluconazole,21.98122721857264,0.05850989687948246,3.0901887808368955
40_F6,40 evolved,41.34175327005437,0.0685813774333857,amphotericin,0.7314610163778508,0.1611831510773242,-0.3127113526586056
40_F6,40 evolved,41.34175327005437,0.0685813774333857,caspofungin,0.018730550529832572,0.0748203937420457,-3.9775993700145604
35_G11,35 evolved,40.80449721209652,0.30993680503596843,amphotericin,0.10405490405166849,0.07160982262544602,-2.2628365955696537
35_G11,35 evolved,40.80449721209652,0.30993680503596843,caspofungin,0.01411070400571494,0.09854065459935651,-4.260821620264639
35_G11,35 evolved,40.80449721209652,0.30993680503596843,fluconazole,14.365934820436905,0.11355093899619877,2.66485976657124
35_D8,35 evolved,41.01888855280686,0.111752360946594,amphotericin,0.2787441091024766,0.04235464421849293,-1.277461089695777
35_D8,35 evolved,41.01888855280686,0.111752360946594,caspofungin,0.011300117039818468,0.07600433744767987,-4.482942195811422
35_D8,35 evolved,41.01888855280686,0.111752360946594,fluconazole,16.23922586063325,0.093029122973394,2.7874296649171257
40_G5,40 evolved,41.18007421471191,0.05000830967426001,fluconazole,33.75892192134756,0.0485249771852124,3.5192447356084946
40_G5,40 evolved,41.18007421471191,0.05000830967426001,caspofungin,0.02048540098349012,0.11669713221909556,-3.888042793681831
40_G5,40 evolved,41.18007421471191,0.05000830967426001,amphotericin,1.3240402942674991,0.07598659356556084,0.28068789078850154
35_E9,35 evolved,40.94724513213146,0.053597187553275874,amphotericin,0.3052775974898579,0.07008006988439834,-1.1865337606108286
35_E9,35 evolved,40.94724513213146,0.053597187553275874,caspofungin,0.012741337528362647,0.09054376303193158,-4.362903647821139
35_E9,35 evolved,40.94724513213146,0.053597187553275874,fluconazole,16.59840905726346,0.0746298256442333,2.8093068508456707
40_B6,40 evolved,41.34322094675525,0.07277374993186926,fluconazole,25.42013458711153,0.07124773876581819,3.235541560283544
40_B6,40 evolved,41.34322094675525,0.07277374993186926,caspofungin,0.01967232405404605,0.08717349745209449,-3.9285425013467616
40_B6,40 evolved,41.34322094675525,0.07277374993186926,amphotericin,0.7578545569985584,0.06840376612888736,-0.2772637890611806
fRS585,fRS585,41.12066812018014,0.022718837274871482,fluconazole,20.351322110725192,0.06200792169976449,3.0131458783642415
fRS585,fRS585,41.12066812018014,0.022718837274871482,amphotericin,0.5064456603360894,0.11655302762102383,-0.680338245676468
fRS585,fRS585,41.12066812018014,0.022718837274871482,caspofungin,0.016589210403388316,0.035059031167964785,-4.09900277064492
40_E9,40 evolved,41.32726279112677,0.04803335675730855,fluconazole,25.273824505510994,0.08699613040026914,3.2297692556355195
40_E9,40 evolved,41.32726279112677,0.04803335675730855,caspofungin,0.018728541446146742,0.07048525480851892,-3.977706638161319
40_E9,40 evolved,41.32726279112677,0.04803335675730855,amphotericin,1.436407306650905,0.055155508034419445,0.36214507013693187
40_G11,40 evolved,41.61807669131247,0.17165904676532967,fluconazole,53.544745079280226,0.12860103178098867,3.9805176609727075
