rep.id,well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
b8_2_38_35_B2_35 evolved,b8,2,38,35,B2,8.80605156949551,gr.sat,0.19794507893176969,0.9833924830586946,48
b9_2_38_fRS585_fRS585,b9,2,38,fRS585,fRS585,8.784019317190465,gr.sat,0.19036517058827698,0.9849121163574144,48
c11_2_38_35_C7_35 evolved,c11,2,38,35,C7,8.806081062456961,gr.sat,0.19621932446186469,0.984034907523095,48
c2_2_38_40_B2_40 evolved,c2,2,38,40,B2,8.26437369213337,gr.sat,0.15074528407292964,0.9884923340600612,49
c3_2_38_40_G11_40 evolved,c3,2,38,40,G11,8.846499524513662,gr.sat,0.18066456799033648,0.9867435262262889,47
c4_2_38_40_E11_40 evolved,c4,2,38,40,E11,8.682991977853588,gr.sat,0.17897087129674025,0.9861000056917943,48
c5_2_38_40_E9_40 evolved,c5,2,38,40,E9,10.43459502824509,gr.lagsat,0.13896111164127561,0.9975126123560201,45
c9_2_38_fRS585_fRS585,c9,2,38,fRS585,fRS585,8.767795085404357,gr.sat,0.19793256940552695,0.9833503994838045,48
d10_2_38_35_E9_35 evolved,d10,2,38,35,E9,10.86629027874493,gr.lagsat,0.14417390555165654,0.9972145333320528,44
d11_2_38_40_B2_40 evolved,d11,2,38,40,B2,9.993491458418358,gr.lagsat,0.11842631826417163,0.9976761008483859,46
d2_2_38_40_C9_40 evolved,d2,2,38,40,C9,8.553907568204208,gr.sat,0.18049602469010992,0.9848421257980907,48
d3_2_38_35_D8_35 evolved,d3,2,38,35,D8,8.606175075341243,gr.sat,0.18737262650539716,0.9843277988089125,49
d4_2_38_35_D8_35 evolved,d4,2,38,35,D8,8.683269813943399,gr.sat,0.18877570878765412,0.9848600352720684,48
d5_2_38_40_E9_40 evolved,d5,2,38,40,E9,10.197692651976018,gr.lagsat,0.11839912073666718,0.9980038134482763,46
d6_2_38_35_G9_35 evolved,d6,2,38,35,G9,8.786682842206845,gr.sat,0.1785470502277304,0.9865278427069936,48
d8_2_38_40_C9_40 evolved,d8,2,38,40,C9,9.285713751375473,gr.sat,0.25048560950847903,0.9760475175157147,46
d9_2_38_40_C9_40 evolved,d9,2,38,40,C9,8.593687283622378,gr.sat,0.1844747268696268,0.9843963141384108,48
e10_2_38_fRS585_fRS585,e10,2,38,fRS585,fRS585,11.000531846420387,gr.lagsat,0.14717633513025438,0.997384844067166,44
e11_2_38_40_E11_40 evolved,e11,2,38,40,E11,8.541473556944144,gr.sat,0.1816590226699765,0.984693726505692,48
e3_2_38_35_C7_35 evolved,e3,2,38,35,C7,8.867544504466315,gr.sat,0.1780806500359498,0.9865694152259663,47
e8_2_38_35_C7_35 evolved,e8,2,38,35,C7,8.640917950925415,gr.sat,0.19045380893881317,0.9844133429443949,48
e9_2_38_35_B2_35 evolved,e9,2,38,35,B2,8.483161591601531,gr.sat,0.19475333057430833,0.9827621686634177,49
f11_2_38_35_B2_35 evolved,f11,2,38,35,B2,8.5846421136017,gr.sat,0.18568585764114448,0.9844441774731624,49
f2_2_38_35_F6_35 evolved,f2,2,38,35,F6,8.581460769425734,gr.sat,0.197695180151225,0.9823104051158166,48
f3_2_38_40_F4_40 evolved,f3,2,38,40,F4,8.235314724146864,gr.sat,0.1566268753125734,0.9878598414985812,50
