rep.id,n_min,status,n_points_selected,r_final,r_se_final,converged,time_max_used,note
b10_3_41_40_F6_40 evolved,15,success,42,7.607084135490208,0.13582027665706084,TRUE,0.4270833333333333,Selected first 42 of 97 available points
b10_3_42_40_F6_40 evolved,15,success,39,3.1462321886409264,0.06683016423255553,TRUE,0.3958333333333333,Selected first 39 of 97 available points
b11_1_41_35_G11_35 evolved,15,success,46,6.62699322689139,0.09300716408950392,TRUE,0.46875,Selected first 46 of 97 available points
b11_1_42_35_G11_35 evolved,15,success,35,3.5740447243537057,0.06960041457263444,TRUE,0.3541666666666667,Selected first 35 of 97 available points
b11_2_41_35_D8_35 evolved,15,success,45,6.970999724750662,0.10553132299569891,TRUE,0.4583333333333333,Selected first 45 of 97 available points
b11_2_42_35_D8_35 evolved,15,success,37,2.6522665554738696,0.051626391366608425,TRUE,0.375,Selected first 37 of 97 available points
b11_3_41_40_G5_40 evolved,15,success,47,6.974107807580047,0.11694842890866161,TRUE,0.4791666666666667,Selected first 47 of 97 available points
b11_3_42_40_G5_40 evolved,15,success,45,2.7195457306302693,0.046972273976443296,TRUE,0.4583333333333333,Selected first 45 of 97 available points
b2_2_41_35_E9_35 evolved,15,success,43,4.6995075540508475,0.075970796969300175,TRUE,0.4375,Selected first 43 of 97 available points
b2_2_42_35_E9_35 evolved,15,success,37,2.1003279367693786,0.03954359680096475,TRUE,0.375,Selected first 37 of 97 available points
b2_3_41_40_B6_40 evolved,15,success,43,7.842516093696265,0.29847644812556634,TRUE,0.4375,Selected first 43 of 97 available points
b2_3_42_40_B6_40 evolved,15,success,43,1.8271920946824085,0.029359151355913708,TRUE,0.4375,Selected first 43 of 97 available points
b3_1_41_fRS585_fRS585,15,success,40,4.658400929009855,0.08563133679912781,TRUE,0.40625,Selected first 40 of 97 available points
b3_1_42_fRS585_fRS585,15,success,35,2.095595161480107,0.025369384360535072,TRUE,0.3541666666666667,Selected first 35 of 97 available points
b3_2_41_40_E9_40 evolved,15,success,45,6.826943539098922,0.09724891834715035,TRUE,0.4583333333333333,Selected first 45 of 97 available points
b3_2_42_40_E9_40 evolved,15,success,44,2.6859221102305084,0.04417672894449201,TRUE,0.4479166666666667,Selected first 44 of 97 available points
