drug,evolution_history,n,intercept,slope,se_slope
amphotericin,35 evolved,18,-1743.7200865733234,42.49877598383602,4.340908220570649
amphotericin,40 evolved,18,-741.4252675453063,17.93756460731924,2.418042642260387
caspofungin,35 evolved,18,-123.29898269045276,2.9053463541936146,0.3123903547194303
caspofungin,40 evolved,17,435.83366457730324,-10.639606262880603,1.6297905019238705
fluconazole,35 evolved,18,-192.40317805232922,4.763121603175643,0.5085363757039862
fluconazole,40 evolved,18,-398.4642922517357,9.722303884170108,1.319114180801313
