drug,evolution_history,n,intercept,se_intercept,slope,se_slope,t_slope,p_slope
amphotericin,35 evolved,18,-63.41768518461698,7.9737497941723365,1.5500583716837082,0.19464286562608069,7.963602296430699,5.883127753902127e-7
amphotericin,40 evolved,18,-708.5744098488545,97.37995474862774,17.139527547152483,2.355806151115874,7.275440527665661,1.8578080680363797e-6
caspofungin,35 evolved,18,-112.82224601269169,12.247666572543686,2.7534445987245006,0.2987081284480948,9.217842892423848,8.425349611086676e-8
caspofungin,40 evolved,18,-68.11775314848022,15.840651751335365,1.6471018728679248,0.3828380774678304,4.30234600424857,5.479752031366128e-4
fluconazole,35 evolved,18,343.9572695679433,38.987213799240095,-8.380316959549804,0.9510730574949031,-8.81143345772332,1.549358398117831e-7
fluconazole,40 evolved,18,-197.68140185671407,33.20381963963372,4.785542630619115,0.802976748483926,5.9597524332485845,1.9988222817929284e-5
