variable,PC1,PC2
topt,-0.31056199800991036,0.6668624766919915
tmax,-0.17097601687646588,-0.6785452519897869
th_c,-0.5697663889876516,0.08250168941215169
fluconazole,-0.5443834395898312,-0.007773110792382263
caspofungin,0.07804979073601283,-0.0885832625891132
amphotericin,-0.4972319477784307,-0.28311982227346294
