rep.id,r,r_se,converged,n_points
b10_3_25_40_F6_40 evolved,7.040773758359433,0.18874739124503043,TRUE,48
b10_3_35_40_F6_40 evolved,11.02724269456179,0.41974191041928266,TRUE,29
b10_3_38_40_F6_40 evolved,11.189377688920647,0.526559340338006,TRUE,28
b10_3_41_40_F6_40 evolved,7.153302925225108,0.23391427254003988,TRUE,35
b10_3_42_40_F6_40 evolved,1.589986157955237,0.05485241049105457,TRUE,82
b11_1_25_35_G11_35 evolved,7.015618167274186,0.1806685266836063,TRUE,47
b11_1_35_35_G11_35 evolved,10.553489319348813,0.4151645962047681,TRUE,29
b11_1_38_35_G11_35 evolved,11.346821318326462,0.4218971550961564,TRUE,29
b11_1_41_35_G11_35 evolved,6.615829689466291,0.1507786158367229,TRUE,40
b11_1_42_35_G11_35 evolved,2.055181284260015,0.112902457293091,TRUE,15
b11_2_25_35_D8_35 evolved,6.789224995536188,0.19067036866050877,TRUE,49
b11_2_35_35_D8_35 evolved,10.743521984916375,0.42324576413956483,TRUE,30
b11_2_38_35_D8_35 evolved,11.522697190896999,0.44023348102257803,TRUE,29
b11_2_41_35_D8_35 evolved,6.757324369911573,0.18531317749549608,TRUE,38
b11_2_42_35_D8_35 evolved,1.025031277604431,0.11678807169988024,TRUE,10
b11_3_25_40_G5_40 evolved,6.647503757523689,0.1846086068096976,TRUE,52
b11_3_35_40_G5_40 evolved,9.89122018663507,0.3587025024062822,TRUE,32
b11_3_38_40_G5_40 evolved,10.41044716349409,0.3890071483494836,TRUE,30
b11_3_41_40_G5_40 evolved,6.4657275103605185,0.19865060168021276,TRUE,39
b11_3_42_40_G5_40 evolved,1.8044496099924237,0.03058858063435525,TRUE,97
b2_2_25_35_E9_35 evolved,6.861886048414827,0.18918215889355067,TRUE,48
b2_2_35_35_E9_35 evolved,12.935059204032866,0.6897558944122438,TRUE,29
b2_2_38_35_E9_35 evolved,11.031008543601011,0.5034802426303164,TRUE,28
b2_2_41_35_E9_35 evolved,4.319036446875589,0.06082399464751879,TRUE,52
b2_2_42_35_E9_35 evolved,1.4048110815907584,0.36720353762665997,TRUE,5
b2_3_25_40_B6_40 evolved,6.535190357604313,0.18960949014593956,TRUE,53
b2_3_35_40_B6_40 evolved,9.622582840884478,0.3643877452077316,TRUE,32
b2_3_38_40_B6_40 evolved,10.50581455975233,0.34512922746877456,TRUE,30
b2_3_41_40_B6_40 evolved,6.549382681225492,0.20153354490527348,TRUE,40
b2_3_42_40_B6_40 evolved,0.694607952389819,0.07608114632336752,TRUE,8
b3_1_25_fRS585_fRS585,7.138797280871278,0.18959315576746041,TRUE,47
b3_1_35_fRS585_fRS585,11.16722923165629,0.4518806903381454,TRUE,27
b3_1_38_fRS585_fRS585,11.190777977038646,0.43137653985021085,TRUE,28
b3_1_41_fRS585_fRS585,3.3485633626877433,0.07987621980179511,TRUE,62
b3_1_42_fRS585_fRS585,1.4291964245337443,0.6233295109333616,TRUE,4
b3_2_25_40_E9_40 evolved,6.667122792918624,0.176779471957998,TRUE,51
b3_2_35_40_E9_40 evolved,9.408747952878329,0.35034865637201756,TRUE,32
b3_2_38_40_E9_40 evolved,10.218465010766806,0.3571801478594805,TRUE,32
b3_2_41_40_E9_40 evolved,6.770188300276826,0.15770739596583186,TRUE,39
b3_2_42_40_E9_40 evolved,2.182806967077909,0.08632032136890665,TRUE,27
b3_3_25_fRS585_fRS585,7.148712637688782,0.18547457403967468,TRUE,47
b3_3_35_fRS585_fRS585,10.75973037941951,0.427038604086245,TRUE,29
b3_3_38_fRS585_fRS585,11.25021723586475,0.4417297626950723,TRUE,29
b3_3_41_fRS585_fRS585,4.8646563158065685,0.06399159634752266,TRUE,46
b3_3_42_fRS585_fRS585,2.3132529728857305,0.016096500589246995,TRUE,3
b4_2_25_40_G11_40 evolved,6.732854157341728,0.1719233712338713,TRUE,48
b4_2_35_40_G11_40 evolved,11.105301678887537,0.439432268060657,TRUE,29
b4_2_38_40_G11_40 evolved,11.135445795278036,0.44047013600075086,TRUE,27
b4_2_41_40_G11_40 evolved,7.3060444456181495,0.18846424864179778,TRUE,35
b4_2_42_40_G11_40 evolved,3.1081563631910356,0.045220700551788444,TRUE,66
b4_3_25_35_E11_35 evolved,7.036343074127543,0.18286148101204772,TRUE,48
b4_3_35_35_E11_35 evolved,11.026017590238322,0.476628809753304,TRUE,29
b4_3_38_35_E11_35 evolved,11.020057623070924,0.43012587285078646,TRUE,29
b4_3_41_35_E11_35 evolved,3.778119465657858,0.07192100203563315,TRUE,56
b4_3_42_35_E11_35 evolved,2.232658767769659,NA,TRUE,2
b5_1_25_40_D2_40 evolved,6.719914167748833,0.17840196647439588,TRUE,51
b5_1_35_40_D2_40 evolved,10.094342259094859,0.42901264016014506,TRUE,31
b5_1_38_40_D2_40 evolved,10.308222887273764,0.38095284101020943,TRUE,30
b5_1_41_40_D2_40 evolved,5.195462250394236,0.0905493804844447,TRUE,47
b5_1_42_40_D2_40 evolved,1.0080816239633656,0.05821178992654916,TRUE,12
b5_2_25_40_E11_40 evolved,6.864008695433353,0.19464615560307477,TRUE,48
b5_2_35_40_E11_40 evolved,10.59792483322891,0.42864501102116115,TRUE,30
b5_2_38_40_E11_40 evolved,11.377586134412676,0.4221003653281906,TRUE,29
b5_2_41_40_E11_40 evolved,6.587639896319323,0.14222607008076707,TRUE,38
b5_2_42_40_E11_40 evolved,1.374130648053742,0.06311242732548739,TRUE,15
b5_3_25_35_D2_35 evolved,7.152891453290836,0.17437835455197442,TRUE,48
b5_3_35_35_D2_35 evolved,10.804508290480628,0.4357638725557324,TRUE,29
b5_3_38_35_D2_35 evolved,11.312690396501262,0.4677836387871721,TRUE,28
b5_3_41_35_D2_35 evolved,5.70934786734501,0.1419376118038556,TRUE,40
b5_3_42_35_D2_35 evolved,0,NA,TRUE,2
b7_3_25_fRS585_fRS585,7.145635977911994,0.19465496526020712,TRUE,47
b7_3_35_fRS585_fRS585,10.880807489639386,0.41063754959547777,TRUE,29
b7_3_38_fRS585_fRS585,11.225778667577693,0.4214359530440073,TRUE,29
b7_3_41_fRS585_fRS585,5.230355524942057,0.06627115064543104,TRUE,44
b7_3_42_fRS585_fRS585,0.5667008306654379,0.11266138140969682,TRUE,5
b8_1_25_40_G9_40 evolved,6.876554698648449,0.15828061688054093,TRUE,45
b8_1_35_40_G9_40 evolved,11.392277565165067,0.39555168316019584,TRUE,25
b8_1_38_40_G9_40 evolved,11.897469791159413,0.4274668682823925,TRUE,26
b8_1_41_40_G9_40 evolved,7.670970179720801,0.21844500052730065,TRUE,33
b8_1_42_40_G9_40 evolved,5.564080599269391,0.12077509918393399,TRUE,40
b8_2_25_35_B2_35 evolved,6.727600824089857,0.18713737222493518,TRUE,51
b8_2_35_35_B2_35 evolved,10.614193404539446,0.4333922750648584,TRUE,30
b8_2_38_35_B2_35 evolved,10.926366820439336,0.48161468170483734,TRUE,28
b8_2_41_35_B2_35 evolved,5.843089897757268,0.0973864007732839,TRUE,42
b8_2_42_35_B2_35 evolved,0.9643143763398541,0.21344018544610033,TRUE,6
b8_3_25_35_E11_35 evolved,7.072986025894534,0.178912886975227,TRUE,48
b8_3_35_35_E11_35 evolved,10.90498555941425,0.40960424851476107,TRUE,29
b8_3_38_35_E11_35 evolved,11.230034311219844,0.44878874556749576,TRUE,29
b8_3_41_35_E11_35 evolved,5.8392941625108135,0.25179789724311363,TRUE,37
b8_3_42_35_E11_35 evolved,0.7211817184610128,0.12835980702105243,TRUE,7
b9_2_25_fRS585_fRS585,6.690939705008399,0.20210162810912452,TRUE,49
b9_2_35_fRS585_fRS585,10.669547892896032,0.432662969653771,TRUE,30
