strain,batch,date,set,drug,evolution_history,ic50
35_F2,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.1505888632910383
35_F2,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.01697199476777957
35_F2,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,18.58377918540436
35_F4,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.1499206005418086
35_F4,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.015269367070229968
35_F4,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,15.730592251395565
35_F6,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.13455112514941855
35_F6,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.013737633757664574
35_F6,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,13.639024718583014
35_G5,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.15166503038527704
35_G5,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.015042731539136498
35_G5,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,20.274351325901037
35_G9,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.13201312973208654
35_G9,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.015090514672536557
35_G9,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,16.142270864376414
35_G11,Mar 6_Set3,Mar 6,Set3,amphotericin,35 evolved,0.10509439310527065
35_G11,Mar 6_Set3,Mar 6,Set3,caspofungin,35 evolved,0.014151602453080215
35_G11,Mar 6_Set3,Mar 6,Set3,fluconazole,35 evolved,12.728362222112594
35_D2,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.3134312621398747
35_D2,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.012772989909705205
35_D2,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,14.757583398282605
35_D4,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.1443071676968447
35_D4,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.0349031290759588
35_D4,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,1.935974389801789
35_D8,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.27985298557895194
35_D8,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.01131851989772529
35_D8,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,13.917233774539833
35_E7,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.2791428707104579
35_E7,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.010453566562460437
35_E7,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,13.757882121005409
35_E9,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.3050326286823363
35_E9,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.012755680942794619
35_E9,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,14.703511280418125
35_E11,Mar 6_Set2,Mar 6,Set2,amphotericin,35 evolved,0.2892752035444406
35_E11,Mar 6_Set2,Mar 6,Set2,caspofungin,35 evolved,0.013942765863827531
35_E11,Mar 6_Set2,Mar 6,Set2,fluconazole,35 evolved,13.597170072760555
35_B2,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.30000391435041585
35_B2,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.01682489394768539
35_B2,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,15.538547315933691
35_B6,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.2683855836897832
35_B6,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.011252600150944021
35_B6,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,12.71080607899629
35_B8,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.3198530486488531
35_B8,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.013696344858766411
35_B8,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,12.36385354304055
35_C5,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.28578014697993476
35_C5,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.014235765259033369
35_C5,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,14.682189096948875
35_C7,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.33919377743135265
35_C7,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.015421425766797475
35_C7,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,13.944723966423275
35_C9,Mar 6_Set1,Mar 6,Set1,amphotericin,35 evolved,0.32801692896541007
35_C9,Mar 6_Set1,Mar 6,Set1,caspofungin,35 evolved,0.01475895702814077
35_C9,Mar 6_Set1,Mar 6,Set1,fluconazole,35 evolved,14.715351244387403
40_D2,Jan 31_Set2,Jan 31,Set2,amphotericin,40 evolved,0.9385434307441045
40_D2,Jan 31_Set2,Jan 31,Set2,caspofungin,40 evolved,0.023963410658568836
