well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
g4,1,41,35_B6,35 evolved,3.2559765765287336,lagsat,0.08513011350665312,0.9846810578968016,55
g6,1,41,40_D2,40 evolved,NA,lagsat,NA,NA,NA
g7,1,41,40_G9,40 evolved,6.914225400465485,lagsat,0.06528128994242088,0.9981354964920421,58
g8,1,41,35_G11,35 evolved,NA,lagsat,NA,NA,NA
g9,1,41,35_D4,35 evolved,3.4354422725650906,lagsat,0.057077169174281926,0.986643304492814,85
g10,1,41,40_G9,40 evolved,7.314204957837156,lagsat,0.06945722268741679,0.9980357508791412,55
b5,1,35,40_D2,40 evolved,9.858614877301548,lagsat,0.14415727155493435,0.9967879548654249,46
b8,1,35,40_G9,40 evolved,NA,lagsat,NA,NA,NA
b11,1,35,35_G11,35 evolved,NA,lagsat,NA,NA,NA
c2,1,35,35_G5,35 evolved,NA,lagsat,NA,NA,NA
c4,1,35,40_C7,40 evolved,NA,lagsat,NA,NA,NA
c5,1,35,35_G5,35 evolved,NA,lagsat,NA,NA,NA
c6,1,35,35_F4,35 evolved,NA,lagsat,NA,NA,NA
c7,1,35,35_D4,35 evolved,NA,lagsat,NA,NA,NA
c8,1,35,40_F2,40 evolved,9.468986103622093,lagsat,0.14029837975063963,0.9965444683045147,47
c9,1,35,40_D4,40 evolved,NA,lagsat,NA,NA,NA
c10,1,35,35_B8,35 evolved,10.157265909664746,lagsat,0.15257094422706008,0.9964553861603203,45
d2,1,35,40_B8,40 evolved,9.3552809629886209,lagsat,0.1363370940758227,0.9964656253519186,47
d4,1,35,40_F2,40 evolved,10.019850970808333,lagsat,0.1507089279791584,0.9968289515850465,46
d5,1,35,40_C7,40 evolved,NA,lagsat,NA,NA,NA
d7,1,35,35_B6,35 evolved,NA,lagsat,NA,NA,NA
d10,1,35,40_B8,40 evolved,NA,lagsat,NA,NA,NA
e2,1,35,35_B8,35 evolved,NA,lagsat,NA,NA,NA
e3,1,35,35_F4,35 evolved,NA,lagsat,NA,NA,NA
e5,1,35,40_D4,40 evolved,NA,lagsat,NA,NA,NA
e7,1,35,35_F4,35 evolved,NA,lagsat,NA,NA,NA
e8,1,35,35_B8,35 evolved,NA,lagsat,NA,NA,NA
e9,1,35,40_D2,40 evolved,9.315466684935613,lagsat,0.1328870528666757,0.9968339312422623,47
f2,1,35,35_G5,35 evolved,NA,lagsat,NA,NA,NA
f3,1,35,40_D4,40 evolved,NA,lagsat,NA,NA,NA
f4,1,35,35_D4,35 evolved,NA,lagsat,NA,NA,NA
f5,1,35,35_B6,35 evolved,NA,lagsat,NA,NA,NA
f6,1,35,40_B8,40 evolved,NA,lagsat,NA,NA,NA
f7,1,35,40_C7,40 evolved,NA,lagsat,NA,NA,NA
f10,1,35,40_F2,40 evolved,NA,lagsat,NA,NA,NA
g2,1,35,35_G11,35 evolved,NA,lagsat,NA,NA,NA
g4,1,35,35_B6,35 evolved,NA,lagsat,NA,NA,NA
g6,1,35,40_D2,40 evolved,9.112084609961746,lagsat,0.12695372302313512,0.9968083961966948,48
g7,1,35,40_G9,40 evolved,NA,lagsat,NA,NA,NA
g8,1,35,35_G11,35 evolved,10.170047043839787,lagsat,0.15520810890516168,0.996346015233982,45
g9,1,35,35_D4,35 evolved,NA,lagsat,NA,NA,NA
g10,1,35,40_G9,40 evolved,NA,lagsat,NA,NA,NA
b5,1,25,40_D2,40 evolved,6.489543202020391,lagsat,0.097749228221062,0.9955170703514494,61
b8,1,25,40_G9,40 evolved,6.576588634867152,lagsat,0.10127361892831128,0.9950935815788206,60
b11,1,25,35_G11,35 evolved,3.7287033395708087,lagsat,0.1295921667090483,0.9017604563199819,97
c2,1,25,35_G5,35 evolved,6.731110326682042,lagsat,0.1103933709778314,0.9947721314344983,59
c4,1,25,40_C7,40 evolved,6.457072299907261,lagsat,0.09582124470255439,0.9955909905071151,61
c5,1,25,35_G5,35 evolved,6.751122045505217,lagsat,0.11103239113692831,0.9947580854962368,60
c6,1,25,35_F4,35 evolved,6.664486041413056,lagsat,0.10649475229597209,0.9948461807763369,60
c7,1,25,35_D4,35 evolved,6.740363444628263,lagsat,0.11195589818037861,0.9946582650513226,60
c8,1,25,40_F2,40 evolved,3.813898867147237,lagsat,0.1311729871947462,0.9155064558419092,97
c9,1,25,40_D4,40 evolved,6.62763680046263,lagsat,0.10437258004900922,0.9951941668135852,60
c10,1,25,35_B8,35 evolved,6.740989941064789,lagsat,0.11050082202967806,0.9947734283882184,59
d2,1,25,40_B8,40 evolved,6.483635472132457,lagsat,0.10407922262443862,0.994954560203547,60
d4,1,25,40_F2,40 evolved,6.486467898020685,lagsat,0.09815914220188353,0.9952898905126175,60
