population,sheet_name,concentration,OD,drug
Blank,Plate1_Rep1,512,0.05739999935030937,fluconazole
40_F2,Plate3_Rep3,256,0.08030000329017639,fluconazole
40_F4,Plate3_Rep3,256,0.08009999990463257,fluconazole
40_F6,Plate3_Rep3,256,0.1128000020980835,fluconazole
40_G5,Plate3_Rep3,256,0.0723000019788742,fluconazole
40_G9,Plate3_Rep3,256,0.1907999962568283,fluconazole
40_G11,Plate3_Rep3,256,0.1979999989271164,fluconazole
fRS585,Plate3_Rep3,256,0.1143999993801117,fluconazole
Blank,Plate3_Rep3,256,0.056299999356269836,fluconazole
40_F2,Plate3_Rep2,256,0.07500000298023224,fluconazole
40_F4,Plate3_Rep2,256,0.08150000125169754,fluconazole
40_F6,Plate3_Rep2,256,0.11540000140666962,fluconazole
40_G5,Plate3_Rep2,256,0.07419999688863754,fluconazole
40_G9,Plate3_Rep2,256,0.20229999721050262,fluconazole
40_G11,Plate3_Rep2,256,0.27410000562667847,fluconazole
fRS585,Plate3_Rep2,256,0.1160999983549118,fluconazole
Blank,Plate3_Rep2,256,0.05700000002980232,fluconazole
40_F2,Plate3_Rep1,256,0.07410000264644623,fluconazole
40_F4,Plate3_Rep1,256,0.08380000293254852,fluconazole
40_F6,Plate3_Rep1,256,0.11869999766349792,fluconazole
40_G5,Plate3_Rep1,256,0.06710000336170197,fluconazole
40_G9,Plate3_Rep1,256,0.21389999985694885,fluconazole
40_G11,Plate3_Rep1,256,0.37059998512268066,fluconazole
fRS585,Plate3_Rep1,256,0.10949999839067459,fluconazole
Blank,Plate3_Rep1,256,0.05649999901652336,fluconazole
40_D2,Plate2_Rep3,256,0.07249999791383743,fluconazole
40_D4,Plate2_Rep3,256,0.08950000256299973,fluconazole
40_D8,Plate2_Rep3,256,0.08479999750852585,fluconazole
40_E7,Plate2_Rep3,256,0.13680000603199005,fluconazole
40_E9,Plate2_Rep3,256,0.07039999961853027,fluconazole
40_E11,Plate2_Rep3,256,0.09560000151395798,fluconazole
fRS585,Plate2_Rep3,256,0.10849999636411667,fluconazole
Blank,Plate2_Rep3,256,0.05810000002384186,fluconazole
40_D2,Plate2_Rep2,256,0.10930000245571136,fluconazole
40_D4,Plate2_Rep2,256,0.08730000257492065,fluconazole
40_D8,Plate2_Rep2,256,0.09520000219345093,fluconazole
40_E7,Plate2_Rep2,256,0.1379999965429306,fluconazole
40_E9,Plate2_Rep2,256,0.07349999994039536,fluconazole
40_E11,Plate2_Rep2,256,0.10700000077486038,fluconazole
fRS585,Plate2_Rep2,256,0.1324000060558319,fluconazole
Blank,Plate2_Rep2,256,0.056299999356269836,fluconazole
40_D2,Plate2_Rep1,256,0.07670000195503235,fluconazole
40_D4,Plate2_Rep1,256,0.09740000218153,fluconazole
40_D8,Plate2_Rep1,256,0.08330000191926956,fluconazole
40_E7,Plate2_Rep1,256,0.17000000178813934,fluconazole
40_E9,Plate2_Rep1,256,0.07890000194311142,fluconazole
40_E11,Plate2_Rep1,256,0.12269999831914902,fluconazole
fRS585,Plate2_Rep1,256,0.12160000205039978,fluconazole
Blank,Plate2_Rep1,256,0.056699998676776886,fluconazole
40_B2,Plate1_Rep3,256,0.08229999989271164,fluconazole
40_B6,Plate1_Rep3,256,0.07440000027418137,fluconazole
40_B8,Plate1_Rep3,256,0.09889999777078629,fluconazole
40_C5,Plate1_Rep3,256,0.06920000165700912,fluconazole
40_C7,Plate1_Rep3,256,0.07540000230073929,fluconazole
40_C9,Plate1_Rep3,256,0.1177000030875206,fluconazole
fRS585,Plate1_Rep3,256,0.10819999873638153,fluconazole
Blank,Plate1_Rep3,256,0.05660000070929527,fluconazole
40_B2,Plate1_Rep2,256,0.08399999886751175,fluconazole
40_B6,Plate1_Rep2,256,0.07840000092983246,fluconazole
40_B8,Plate1_Rep2,256,0.09939999878406525,fluconazole
40_C5,Plate1_Rep2,256,0.0731000006198883,fluconazole
40_C7,Plate1_Rep2,256,0.08049999922513962,fluconazole
40_C9,Plate1_Rep2,256,0.17170000076293945,fluconazole
fRS585,Plate1_Rep2,256,0.13689999282360077,fluconazole
Blank,Plate1_Rep2,256,0.05609999969601631,fluconazole
40_B2,Plate1_Rep1,256,0.08640000224113464,fluconazole
40_B6,Plate1_Rep1,256,0.07639999687671661,fluconazole
40_B8,Plate1_Rep1,256,0.09539999812841415,fluconazole
40_C5,Plate1_Rep1,256,0.07660000026226044,fluconazole
40_C7,Plate1_Rep1,256,0.0828000009059906,fluconazole
40_C9,Plate1_Rep1,256,0.16120000183582306,fluconazole
fRS585,Plate1_Rep1,256,0.12120000272989273,fluconazole
Blank,Plate1_Rep1,256,0.05620000138878822,fluconazole
40_F2,Plate3_Rep3,128,0.08829999715089798,fluconazole
40_F4,Plate3_Rep3,128,0.0885000005364418,fluconazole
40_F6,Plate3_Rep3,128,0.1251000016927719,fluconazole
40_G5,Plate3_Rep3,128,0.08489999920129776,fluconazole
40_G9,Plate3_Rep3,128,0.6050000190734863,fluconazole
40_G11,Plate3_Rep3,128,0.390500009059906,fluconazole
fRS585,Plate3_Rep3,128,0.11569999903440475,fluconazole
Blank,Plate3_Rep3,128,0.056699998676776886,fluconazole
40_F2,Plate3_Rep2,128,0.08889999985694885,fluconazole
40_F4,Plate3_Rep2,128,0.10649999976158142,fluconazole
40_F6,Plate3_Rep2,128,0.14139999449253082,fluconazole
40_G5,Plate3_Rep2,128,0.08709999918937683,fluconazole
40_G9,Plate3_Rep2,128,0.43869999051094055,fluconazole
40_G11,Plate3_Rep2,128,0.26489999890327454,fluconazole
fRS585,Plate3_Rep2,128,0.12710000574588776,fluconazole
Blank,Plate3_Rep2,128,0.0568000003695488,fluconazole
40_F2,Plate3_Rep1,128,0.09799999743700027,fluconazole
40_F4,Plate3_Rep1,128,0.12530000507831573,fluconazole
40_F6,Plate3_Rep1,128,0.1324000060558319,fluconazole
40_G5,Plate3_Rep1,128,0.08250000327825546,fluconazole
40_G9,Plate3_Rep1,128,0.6315000057220459,fluconazole
40_G11,Plate3_Rep1,128,0.7585999965667725,fluconazole
fRS585,Plate3_Rep1,128,0.14740000665187836,fluconazole
Blank,Plate3_Rep1,128,0.056699998676776886,fluconazole
40_D2,Plate2_Rep3,128,0.08070000261068344,fluconazole
40_D4,Plate2_Rep3,128,0.10790000110864639,fluconazole
40_D8,Plate2_Rep3,128,0.08349999785423279,fluconazole
40_E7,Plate2_Rep3,128,0.13729999959468842,fluconazole
40_E9,Plate2_Rep3,128,0.07639999687671661,fluconazole
40_E11,Plate2_Rep3,128,0.17749999463558197,fluconazole
fRS585,Plate2_Rep3,128,0.13289999961853027,fluconazole
Blank,Plate2_Rep3,128,0.05770000070333481,fluconazole
40_D2,Plate2_Rep2,128,0.0934000015258789,fluconazole
40_D4,Plate2_Rep2,128,0.12890000641345978,fluconazole
40_D8,Plate2_Rep2,128,0.10530000180006027,fluconazole
40_E7,Plate2_Rep2,128,0.18379999697208405,fluconazole
40_E9,Plate2_Rep2,128,0.07840000092983246,fluconazole
40_E11,Plate2_Rep2,128,0.1339000016450882,fluconazole
fRS585,Plate2_Rep2,128,0.16619999706745148,fluconazole
Blank,Plate2_Rep2,128,0.05649999901652336,fluconazole
40_D2,Plate2_Rep1,128,0.08550000190734863,fluconazole
40_D4,Plate2_Rep1,128,0.09769999980926514,fluconazole
40_D8,Plate2_Rep1,128,0.09189999848604202,fluconazole
40_E7,Plate2_Rep1,128,0.17260000109672546,fluconazole
40_E9,Plate2_Rep1,128,0.0738999992609024,fluconazole
40_E11,Plate2_Rep1,128,0.21860000491142273,fluconazole
fRS585,Plate2_Rep1,128,0.16040000319480896,fluconazole
Blank,Plate2_Rep1,128,0.057100001722574234,fluconazole
40_B2,Plate1_Rep3,128,0.10999999940395355,fluconazole
40_B6,Plate1_Rep3,128,0.08500000089406967,fluconazole
40_B8,Plate1_Rep3,128,0.10790000110864639,fluconazole
40_C5,Plate1_Rep3,128,0.0786999985575676,fluconazole
40_C7,Plate1_Rep3,128,0.09000000357627869,fluconazole
40_C9,Plate1_Rep3,128,0.14959999918937683,fluconazole
fRS585,Plate1_Rep3,128,0.1509000062942505,fluconazole
