drug,n,intercept,se_intercept,slope,se_slope,t_slope,p_slope
amphotericin,37,-186.44589550466694,9.042660708006396,4.513552217215654,0.2195940436560761,20.55407397244659,4.054768143828238e-21
caspofungin,36,-42.9506610488775,2.698287736044148,0.9449129142954398,0.06556093516651704,14.412743074751337,4.814805306590595e-16
fluconazole,37,-92.58952581179041,5.2298708031327905,2.32406375682707,0.12697992046262452,18.30260838374945,1.6792847710065036e-19
