drug,effect,term,estimate,conf.low,conf.high,p.value,std.error,df,statistic
amphotericin,fixed,(Intercept),1.4791847200674044,0.9302215662892966,2.028147873845512,4.135880534410722e-6,0.2701265282111207,34,5.475895795437498
amphotericin,fixed,evolution_history35 evolved,-0.01986857217740907,-0.5700390112798666,0.5303018669250483,0.9419247120306815,0.2707205932061616,34,-0.07339143262839476
amphotericin,fixed,evolution_history40 evolved,-0.044666555936759396,-0.604574616404442,0.5152415045309232,0.8721695116436392,0.27551215313931865,34,-0.1621219079732312
amphotericin,fixed,dateMar 6,-1.2217545556331315,-1.3683681494984092,-1.0751409617678538,5.576266578499068e-8,0.06357906806281463,8,-19.216301730407036
caspofungin,fixed,(Intercept),0.022920201683318576,0.01317182029442601,0.03266858307221114,3.324742999318376e-5,0.004796854583292919,34,4.778173131023797
caspofungin,fixed,evolution_history35 evolved,0.001115214662833721,-0.008798329395573169,0.011028758721240612,0.8205373587455852,0.0048781256452921345,34,0.22861540352286983
caspofungin,fixed,evolution_history40 evolved,-4.2228595695167784e-4,-0.0104083590764898,0.009563787162586445,0.9320193907036798,0.004913814786435678,34,-0.0859385172834303
caspofungin,fixed,dateMar 6,-0.008890945039248603,-0.010570399624229293,-0.007211490454267913,1.8806724402249601e-6,7.282964324918683e-4,8,-12.207865702195203
fluconazole,fixed,(Intercept),12.50392511100633,-88.91005452899134,113.91790475100399,0.8005580600076893,48.900765051398444,22,0.25569998951680506
fluconazole,fixed,evolution_history35 evolved,1.5918086028998544,-102.61484907379563,105.79846627959535,0.9750133400040144,50.247365323092154,22,0.031679444139299136
fluconazole,fixed,evolution_history40 evolved,69.13957224057422,-40.439129976600526,178.71827445774898,0.20420057745141856,52.83770926632517,22,1.308527057675429
