comparison,diff,SE,df,ci_lo,ci_hi,t.ratio,p_holm,trait
35 evolved - 40 evolved,-0.5997410631513715,0.15995033564833647,40,-0.9994338900882023,-0.20004823621454088,-3.7495455118640697,0.0016821575138462144,Amphotericin IC50
35 evolved - fRS585,-0.38218396649466313,0.2717940385132271,40,-1.0613580811196575,0.2969901481303311,-1.4061528670212677,0.3347999479769377,Amphotericin IC50
40 evolved - fRS585,0.21755709665670842,0.26000585627296874,40,-0.43216005018539627,0.8672742434988131,0.836739217244033,0.4077104270139844,Amphotericin IC50
