drug,evolution_history,n,n_strains,mean_ic50,sd_ic50,median_ic50,min_ic50,max_ic50
amphotericin,35 evolved,18,18,0.23756159225686418,0.08386850802693158,0.2794979281447049,0.10509439310527065,0.33919377743135265
amphotericin,40 evolved,24,18,1.1838832233698255,0.5620912443062916,1.2362741129830126,0.3287873513799152,2.014044472705001
amphotericin,fRS585,4,1,0.25743016443427275,0.08624800834837987,0.29754150885050834,0.1282660110652978,0.30637162897077647
caspofungin,35 evolved,18,18,0.015144471306903705,0.005242774830548175,0.014193683856056792,0.010453566562460437,0.0349031290759588
caspofungin,40 evolved,24,18,0.021317242201214948,0.004613581648440039,0.020066297565553483,0.014179890629282045,0.029481434212204047
caspofungin,fRS585,4,1,0.014029256644069973,4.103091544351586e-4,0.014076261341059756,0.013561673759573314,0.014402830134587066
fluconazole,35 evolved,18,18,14.095733713906188,3.6304982135787007,14.313456531686075,1.935974389801789,20.274351325901037
fluconazole,40 evolved,6,6,81.64349735158055,102.61290211582606,23.6677046000483,16.86913178162557,267.6005644675084
fluconazole,fRS585,4,1,12.503925111006328,3.9912180807669766,13.927543875094061,6.63321353936651,15.527399154470679
