drug,comparison,diff,fold_change,se,df,p_holm
amphotericin,40 evolved vs 35 evolved,0.7751999365451071,1.7114272138460962,0.2465896419455541,40,0.009420613766788516
amphotericin,40 evolved vs fRS585,0.23080577224419094,1.173490182515518,0.4008416158816939,40,0.5679740269142646
amphotericin,35 evolved vs fRS585,-0.5443941643009161,0.6856792816086694,0.419015029685621,40,0.4026125041089582
caspofungin,40 evolved vs 35 evolved,0.2331214519363854,1.1753752721259574,0.14951658219211297,40,0.3805034777731957
caspofungin,40 evolved vs fRS585,0.1819501246452065,1.1344162663969142,0.24304536043824376,40,0.9169243495254296
caspofungin,35 evolved vs fRS585,-0.0511713272911789,0.9651524013645798,0.2540645853224994,40,0.9169243495254296
fluconazole,40 evolved vs 35 evolved,1.0778474640967255,2.110884240042374,0.303151101700283,40,0.002961221426913023
fluconazole,40 evolved vs fRS585,0.7751698613635293,1.7113915369038057,0.4927845975326379,40,0.24717401347577866
fluconazole,35 evolved vs fRS585,-0.3026776027331962,0.8107462761053401,0.5151265352265662,40,0.5601174197413032
