population,sheet_name,concentration,OD
40_E7,Plate2_Rep2,256,0.1379999965429306
40_E9,Plate2_Rep2,256,0.07349999994039536
40_E11,Plate2_Rep2,256,0.10700000077486038
fRS585,Plate2_Rep2,256,0.1324000060558319
Blank,Plate2_Rep2,256,0.056299999356269836
40_D2,Plate2_Rep1,256,0.07670000195503235
40_D4,Plate2_Rep1,256,0.09740000218153
40_D8,Plate2_Rep1,256,0.08330000191926956
40_E7,Plate2_Rep1,256,0.17000000178813934
40_E9,Plate2_Rep1,256,0.07890000194311142
40_E11,Plate2_Rep1,256,0.12269999831914902
fRS585,Plate2_Rep1,256,0.12160000205039978
Blank,Plate2_Rep1,256,0.056699998676776886
40_B2,Plate1_Rep3,256,0.08229999989271164
40_B6,Plate1_Rep3,256,0.07440000027418137
40_B8,Plate1_Rep3,256,0.09889999777078629
40_C5,Plate1_Rep3,256,0.06920000165700912
40_C7,Plate1_Rep3,256,0.07540000230073929
40_C9,Plate1_Rep3,256,0.1177000030875206
fRS585,Plate1_Rep3,256,0.10819999873638153
Blank,Plate1_Rep3,256,0.05660000070929527
40_B2,Plate1_Rep2,256,0.08399999886751175
40_B6,Plate1_Rep2,256,0.07840000092983246
40_B8,Plate1_Rep2,256,0.09939999878406525
40_C5,Plate1_Rep2,256,0.0731000006198883
40_C7,Plate1_Rep2,256,0.08049999922513962
40_C9,Plate1_Rep2,256,0.17170000076293945
fRS585,Plate1_Rep2,256,0.13689999282360077
Blank,Plate1_Rep2,256,0.05609999969601631
40_B2,Plate1_Rep1,256,0.08640000224113464
40_B6,Plate1_Rep1,256,0.07639999687671661
40_B8,Plate1_Rep1,256,0.09539999812841415
40_C5,Plate1_Rep1,256,0.07660000026226044
40_C7,Plate1_Rep1,256,0.0828000009059906
40_C9,Plate1_Rep1,256,0.16120000183582306
fRS585,Plate1_Rep1,256,0.12120000272989273
Blank,Plate1_Rep1,256,0.05620000138878822
40_F2,Plate3_Rep3,128,0.08829999715089798
40_F4,Plate3_Rep3,128,0.0885000005364418
40_F6,Plate3_Rep3,128,0.1251000016927719
40_G5,Plate3_Rep3,128,0.08489999920129776
40_G9,Plate3_Rep3,128,0.6050000190734863
40_G11,Plate3_Rep3,128,0.390500009059906
fRS585,Plate3_Rep3,128,0.11569999903440475
Blank,Plate3_Rep3,128,0.056699998676776886
40_F2,Plate3_Rep2,128,0.08889999985694885
40_F4,Plate3_Rep2,128,0.10649999976158142
40_F6,Plate3_Rep2,128,0.14139999449253082
40_G5,Plate3_Rep2,128,0.08709999918937683
40_G9,Plate3_Rep2,128,0.43869999051094055
40_G11,Plate3_Rep2,128,0.26489999890327454
fRS585,Plate3_Rep2,128,0.12710000574588776
Blank,Plate3_Rep2,128,0.0568000003695488
40_F2,Plate3_Rep1,128,0.09799999743700027
40_F4,Plate3_Rep1,128,0.12530000507831573
40_F6,Plate3_Rep1,128,0.1324000060558319
40_G5,Plate3_Rep1,128,0.08250000327825546
40_G9,Plate3_Rep1,128,0.6315000057220459
40_G11,Plate3_Rep1,128,0.7585999965667725
fRS585,Plate3_Rep1,128,0.14740000665187836
Blank,Plate3_Rep1,128,0.056699998676776886
40_D2,Plate2_Rep3,128,0.08070000261068344
40_D4,Plate2_Rep3,128,0.10790000110864639
40_D8,Plate2_Rep3,128,0.08349999785423279
40_E7,Plate2_Rep3,128,0.13729999959468842
40_E9,Plate2_Rep3,128,0.07639999687671661
40_E11,Plate2_Rep3,128,0.17749999463558197
fRS585,Plate2_Rep3,128,0.13289999961853027
Blank,Plate2_Rep3,128,0.05770000070333481
40_D2,Plate2_Rep2,128,0.0934000015258789
40_D4,Plate2_Rep2,128,0.12890000641345978
40_D8,Plate2_Rep2,128,0.10530000180006027
40_E7,Plate2_Rep2,128,0.18379999697208405
40_E9,Plate2_Rep2,128,0.07840000092983246
40_E11,Plate2_Rep2,128,0.1339000016450882
fRS585,Plate2_Rep2,128,0.16619999706745148
Blank,Plate2_Rep2,128,0.05649999901652336
40_D2,Plate2_Rep1,128,0.08550000190734863
40_D4,Plate2_Rep1,128,0.09769999980926514
40_D8,Plate2_Rep1,128,0.09189999848604202
40_E7,Plate2_Rep1,128,0.17260000109672546
40_E9,Plate2_Rep1,128,0.0738999992609024
40_E11,Plate2_Rep1,128,0.21860000491142273
fRS585,Plate2_Rep1,128,0.16040000319480896
Blank,Plate2_Rep1,128,0.057100001722574234
40_B2,Plate1_Rep3,128,0.10999999940395355
40_B6,Plate1_Rep3,128,0.08500000089406967
40_B8,Plate1_Rep3,128,0.10790000110864639
40_C5,Plate1_Rep3,128,0.0786999985575676
40_C7,Plate1_Rep3,128,0.09000000357627869
40_C9,Plate1_Rep3,128,0.14959999918937683
fRS585,Plate1_Rep3,128,0.1509000062942505
Blank,Plate1_Rep3,128,0.05660000070929527
40_B2,Plate1_Rep2,128,0.0982000008225441
40_B6,Plate1_Rep2,128,0.08309999853372574
40_B8,Plate1_Rep2,128,0.12070000171661377
40_C5,Plate1_Rep2,128,0.07909999787807465
40_C7,Plate1_Rep2,128,0.08160000294446945
40_C9,Plate1_Rep2,128,0.19779999554157257
fRS585,Plate1_Rep2,128,0.15199999511241913
Blank,Plate1_Rep2,128,0.056299999356269836
40_B2,Plate1_Rep1,128,0.09560000151395798
40_B6,Plate1_Rep1,128,0.08910000324249268
40_B8,Plate1_Rep1,128,0.13079999387264252
40_C5,Plate1_Rep1,128,0.08110000193119049
40_C7,Plate1_Rep1,128,0.08630000054836273
40_C9,Plate1_Rep1,128,0.20890000462532043
fRS585,Plate1_Rep1,128,0.15199999511241913
Blank,Plate1_Rep1,128,0.05640000104904175
40_F2,Plate3_Rep3,64,0.10909999907016754
40_F4,Plate3_Rep3,64,0.11680000275373459
40_F6,Plate3_Rep3,64,0.2985999882221222
