drug,n,slope,se_slope,t_slope,p_slope
amphotericin,37,3.5089931653067974,0.21453066248242453,16.35660434132241,5.747881463819464e-18
caspofungin,36,1.0348242159644818,0.10215140188652506,10.130298721832686,8.365128087500872e-12
fluconazole,37,1.521851227749792,0.12975721192102124,11.728451969791788,1.1168080072492674e-13
