drug,evolution_history,n,intercept,se_intercept,slope,se_slope,t_slope,p_slope
amphotericin,35 evolved,18,252.63053917116073,88.44932562201224,-5.988567868233528,2.0978898926944245,-2.8545672912042646,0.011472019251181393
amphotericin,40 evolved,18,-1278.4173570608943,165.3583039389753,30.19514893274817,3.906313418466057,7.729832631966663,8.634639859521538e-7
caspofungin,35 evolved,18,1842.3907510905813,642.7257211000077,-43.69754292131795,15.2448003925746,-2.8663899687792593,0.011194579606291449
caspofungin,40 evolved,18,-25.310149631846915,6.39216156987873,0.5961255059867357,0.15022329222604675,3.9682628249800493,0.001103260739374269
fluconazole,35 evolved,18,536.7974030070832,188.43412249907382,-12.715871194150177,4.4692225314152205,-2.8452087817886254,0.01169635534569753
fluconazole,40 evolved,18,-291.00729398569024,38.65536313497302,6.8811828807734265,0.9129912588461999,7.536964690625381,1.1913526439646767e-6
