population,concentration,OD,sheet_name,set,rep,month,drug
40_G11,64,0.7113999724388123,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,32,0.5753999948501587,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,16,0.6625999808311462,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,8,0.9024999737739563,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,4,1.0902999639511108,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,2,1.058899998664856,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,1,0.8349999785423279,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,0.5,0.8921999931335449,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_G11,0,1.1593999862670898,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,512,0.1120000034570694,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,256,0.1143999993801117,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,128,0.11569999903440475,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,64,0.16820000112056732,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,32,0.28060001134872437,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,16,0.3720000088214874,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,8,0.5012000203132629,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,4,0.641700029373169,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,2,0.6617000102996826,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,1,0.7246999740600586,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,0.5,0.6534000039100647,Plate3_Rep3,Plate3,Rep3,February,fluconazole
fRS585,0,1.023800015449524,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,512,0.056699998676776886,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,256,0.056299999356269836,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,128,0.056699998676776886,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,64,0.05730000138282776,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,32,0.0575999990105629,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,16,0.05730000138282776,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,8,0.05730000138282776,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,4,0.05790000036358833,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,2,0.0568000003695488,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,1,0.05790000036358833,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,0.5,0.05849999934434891,Plate3_Rep3,Plate3,Rep3,February,fluconazole
Blank,0,0.05779999867081642,Plate3_Rep3,Plate3,Rep3,February,fluconazole
40_F2,512,0.07609999924898148,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,256,0.07500000298023224,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,128,0.08889999985694885,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,64,0.13259999454021454,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,32,0.27950000762939453,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,16,0.9930999875068665,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,8,1.0338000059127808,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,4,0.8064000010490417,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,2,0.910099983215332,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,1,0.9377999901771545,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,0.5,1.1154999732971191,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,0,0.8679999709129333,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,512,0.06949999928474426,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,256,0.08150000125169754,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,128,0.10649999976158142,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,64,0.10909999907016754,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,32,0.30309998989105225,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,16,0.6194999814033508,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,8,1.1180000305175781,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,4,1.062000036239624,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,2,1.1934000253677368,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,1,1.212499976158142,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,0.5,1.1857999563217163,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F4,0,1.0369999408721924,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,512,0.10130000114440918,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,256,0.11540000140666962,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,128,0.14139999449253082,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,64,0.1882999986410141,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,32,0.42320001125335693,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,16,0.704800009727478,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,8,0.9562000036239624,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,4,0.7782999873161316,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,2,0.9628000259399414,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,1,0.9077000021934509,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,0.5,0.948199987411499,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F6,0,0.8866999745368958,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,512,0.06840000301599503,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,256,0.07419999688863754,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,128,0.08709999918937683,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,64,0.17550000548362732,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,32,0.6769000291824341,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,16,1.0490000247955322,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,8,1.0226000547409058,Plate3_Rep2,Plate3,Rep2,February,fluconazole
