well,block,test_temperature,strain,evolution_history,mu_gt,r2_gt,mu_log,r2_log
e5,1,35,40,D4,7.844617124457973,0.9851354809705968,NA,NA
e7,1,35,35,F4,8.209646005829292,0.9850675807743008,NA,NA
e8,1,35,35,B8,8.227592276735837,0.984745706808999,NA,NA
e9,1,35,40,D2,9.315466684935611,0.9968339312422624,NA,NA
f10,1,35,40,F2,8.643845139110141,0.9687179568117652,NA,NA
f11,1,35,fRS585,fRS585,10.189778399533976,0.996177285409608,5.657610662924072,0.9977636908085206
f2,1,35,35,G5,8.28837386821401,0.9845460606663772,NA,NA
f3,1,35,40,D4,8.115302161481784,0.9840022665751426,NA,NA
f4,1,35,35,D4,8.270671818533515,0.9861532770091604,NA,NA
f5,1,35,35,B6,8.635800016821388,0.984606585879738,NA,NA
f6,1,35,40,B8,7.763561962158906,0.9880354498269932,NA,NA
f7,1,35,40,C7,7.741879648196351,0.9834187649331656,NA,NA
g10,1,35,40,G9,9.223433686971642,0.9895570256345998,NA,NA
g2,1,35,35,G11,8.314974665269325,0.9863531487026164,NA,NA
g4,1,35,35,B6,8.253066739411928,0.98521876200940794,NA,NA
g6,1,35,40,D2,9.112084609961746,0.9968083961966948,NA,NA
g7,1,35,40,G9,9.19016601389297,0.9887609102487124,NA,NA
g8,1,35,35,G11,10.170047043839787,0.996346015233982,NA,NA
g9,1,35,35,D4,8.283641343568119,0.9854850549654228,NA,NA
b11,1,38,35,G11,8.703294486056611,0.9854751760192084,NA,NA
b3,1,38,fRS585,fRS585,8.73574779685913,0.9867900926741684,6.622638568459387,0.9975260128452026
b5,1,38,40,D2,8.150181377959848,0.9871491942518354,NA,NA
b8,1,38,40,G9,9.446622039633914,0.9885377935730564,NA,NA
c10,1,38,35,B8,9.035631562538615,0.9851462652131756,NA,NA
c2,1,38,35,G5,10.9255272708406,0.9973210282575442,NA,NA
c4,1,38,40,C7,8.216073594675327,0.9860918593601788,NA,NA
c5,1,38,35,G5,9.06898243096347,0.9846900417037908,NA,NA
c6,1,38,35,F4,9.470468700434427,0.9745681400516149,NA,NA
c7,1,38,35,D4,8.875009697479129,0.985085417647796,NA,NA
c8,1,38,40,F2,8.175691598145733,0.9865155757633784,NA,NA
c9,1,38,40,D4,8.521883890444457,0.9855578648219968,NA,NA
d10,1,38,40,B8,7.946702333719695,0.9861510503036848,NA,NA
d2,1,38,40,B8,9.540149350154064,0.9973019635879758,NA,NA
d4,1,38,40,F2,9.966913125853564,0.997314675395558,NA,NA
d5,1,38,40,C7,8.349003283108868,0.9864165331442758,NA,NA
d7,1,38,35,B6,8.6623447905306,0.9855684050005876,NA,NA
e10,1,38,fRS585,fRS585,10.689563236644831,0.997335620711214,6.80038094119314,0.9970583322172784
e2,1,38,35,B8,8.906796331919232,0.9880884195751092,NA,NA
e3,1,38,35,F4,8.94743929134086,0.984062945350902,NA,NA
e5,1,38,40,D4,11.322446218683572,0.9976280909521036,NA,NA
e7,1,38,35,F4,8.971111627689808,0.9861225118329884,NA,NA
e8,1,38,35,B8,8.762424319609448,0.9867913146810566,NA,NA
e9,1,38,40,D2,8.149091674210322,0.9862678145905328,NA,NA
f10,1,38,40,F2,8.725774000122614,0.9832526064222564,NA,NA
f11,1,38,fRS585,fRS585,8.689530852718386,0.9837450173222912,6.807863291299957,0.997314882738938
f2,1,38,35,G5,8.970865343160591,0.9878001979090608,NA,NA
f3,1,38,40,D4,8.524270438395275,0.986014563644516,NA,NA
f4,1,38,35,D4,8.573506759491778,0.98434577316156,NA,NA
f5,1,38,35,B6,8.57195816842445,0.9849256287921416,NA,NA
f6,1,38,40,B8,9.96118806258498,0.9976279655425718,NA,NA
f7,1,38,40,C7,10.812232102956605,0.9975818770917404,NA,NA
g10,1,38,40,G9,9.697215253815411,0.9891084851935456,NA,NA
g2,1,38,35,G11,8.744300946122213,0.9856349038935492,NA,NA
g4,1,38,35,B6,8.692010586463809,0.9853139906993994,NA,NA
g6,1,38,40,D2,8.208851311481718,0.9838100199512216,NA,NA
g7,1,38,40,G9,9.721715137724502,0.9895049255853016,NA,NA
g8,1,38,35,G11,8.543335037668676,0.9849399435499148,NA,NA
g9,1,38,35,D4,8.573987634902503,0.9842412600460184,NA,NA
b11,1,41,35,G11,6.5332036513784475,0.998426532359028,NA,NA
b3,1,41,fRS585,fRS585,3.606833424301422,0.983849882608854,1.6107345243125473,0.998269634565006
b5,1,41,40,D2,4.741906149223074,0.9917580050854824,NA,NA
b8,1,41,40,G9,8.39851904215066,0.9942223529469832,NA,NA
c10,1,41,35,B8,5.3893467518945934,0.9970038826587776,NA,NA
c2,1,41,35,G5,3.901277903940808,0.9891489935544824,NA,NA
c4,1,41,40,C7,5.4907781158423266,0.9987193751268488,NA,NA
c5,1,41,35,G5,2.80956093086451,0.970401099029823,NA,NA
c6,1,41,35,F4,3.354133763212642,0.9855134575211808,NA,NA
c7,1,41,35,D4,4.0129041775727465,0.9924366174575776,NA,NA
c8,1,41,40,F2,6.987430128671708,0.9977287344476554,NA,NA
c9,1,41,40,D4,7.073873265390739,0.9979971182253894,NA,NA
d10,1,41,40,B8,7.075741452789938,0.9928756003118254,NA,NA
d2,1,41,40,B8,6.272108117691455,0.9925073538956124,NA,NA
d4,1,41,40,F2,6.0450963233004735,0.9972087995800444,NA,NA
d5,1,41,40,C7,5.3061636061658906,0.9988422556811783,NA,NA
d7,1,41,35,B6,2.8428333476200067,0.9712184647478576,NA,NA
e10,1,41,fRS585,fRS585,4.106668512398848,0.995457023624504,2.0691663717076234,0.9919148051330806
e2,1,41,35,B8,2.8408052838121742,0.9617199508835996,NA,NA
e3,1,41,35,F4,2.7742250717568093,0.9622909890158022,NA,NA
e5,1,41,40,D4,5.044418471053769,0.9905972121158232,NA,NA
e7,1,41,35,F4,2.992649222047294,0.9734758701689512,NA,NA
e8,1,41,35,B8,3.2107733883680805,0.9824709435606584,NA,NA
e9,1,41,40,D2,5.355729519499795,0.9990403529409168,NA,NA
f10,1,41,40,F2,7.770153176537084,0.9971148131703148,NA,NA
f11,1,41,fRS585,fRS585,4.876211696077043,0.9970039793676992,2.677883204116452,0.9920030997879088
f2,1,41,35,G5,2.9810641041494192,0.958653104904368,NA,NA
f3,1,41,40,D4,5.585646079310374,0.9819538676926138,NA,NA
f4,1,41,35,D4,3.0480770421259455,0.9622963370820904,NA,NA
f5,1,41,35,B6,3.1688182025323135,0.9659838348782748,NA,NA
f6,1,41,40,B8,5.28137005924559,0.9901030407742194,NA,NA
f7,1,41,40,C7,5.693573666925698,0.9904766443067474,NA,NA
g10,1,41,40,G9,7.314204957837156,0.9980357508791412,NA,NA
g2,1,41,35,G11,3.196029097860707,0.9666831952633452,NA,NA
g4,1,41,35,B6,3.2559765765287336,0.9846810578968016,NA,NA
g6,1,41,40,D2,4.241771730184557,0.9946717616200674,NA,NA
g7,1,41,40,G9,6.914225400465485,0.998135496492042,NA,NA
g8,1,41,35,G11,2.778957270670522,0.9713973693577246,NA,NA
g9,1,41,35,D4,3.4354422725650906,0.986643304492814,NA,NA
b11,1,42,35,G11,3.833607898233264,0.988956683081912,NA,NA
b3,1,42,fRS585,fRS585,2.068506946925697,0.9604018270744892,0.3449562829191397,0.8735323745080266
b5,1,42,40,D2,2.369139117363926,0.9919819152950368,NA,NA
b8,1,42,40,G9,5.5109331970711875,0.9981661897174342,NA,NA
c10,1,42,35,B8,3.4023124290505256,0.980179485222794,NA,NA
c2,1,42,35,G5,2.077237985706049,0.9649081980533496,NA,NA
c4,1,42,40,C7,2.865155582508619,0.9917527126518288,NA,NA
c5,1,42,35,G5,2.1947151184973195,0.9614136678347196,NA,NA
c6,1,42,35,F4,3.7269094177078226,0.9744138020773064,NA,NA
c7,1,42,35,D4,2.7271209755580608,0.969264988238036,NA,NA
c8,1,42,40,F2,2.862058259805729,0.9825746074568068,NA,NA
c9,1,42,40,D4,3.947361486053268,0.995620529061834,NA,NA
d10,1,42,40,B8,3.256030159195987,0.9935984259607908,NA,NA
d2,1,42,40,B8,2.3212427761742296,0.9909345814456904,NA,NA
d4,1,42,40,F2,3.3937160414290735,0.9940620539421092,NA,NA
d5,1,42,40,C7,3.03401478897464,0.9931102485890724,NA,NA
d7,1,42,35,B6,2.746470477788269,0.9703845758046202,NA,NA
e10,1,42,fRS585,fRS585,3.075338906483311,0.9725994145365102,0.5188276030207325,0.8845359087781097
e2,1,42,35,B8,2.2706914398045948,0.9654487799088182,NA,NA
e3,1,42,35,F4,3.6924173589925218,0.9751142867867753,NA,NA
e5,1,42,40,D4,2.5173146909731168,0.9930036675361128,NA,NA
e7,1,42,35,F4,3.9848165750296447,0.9789925010403712,NA,NA
e8,1,42,35,B8,3.435355851259918,0.9751580718231844,NA,NA
e9,1,42,40,D2,3.6954809710761576,0.9901065046569834,NA,NA
f10,1,42,40,F2,2.9477400776672193,0.9834343454067012,NA,NA
f11,1,42,fRS585,fRS585,2.754155399609407,0.9697014751096152,0.4113005136703155,0.8794060192675799
f2,1,42,35,G5,2.150553409233654,0.9644544306920082,NA,NA
f3,1,42,40,D4,5.168605933781151,0.9970620238509288,NA,NA
f4,1,42,35,D4,2.736665914856122,0.9701486783343488,NA,NA
f5,1,42,35,B6,2.324916459591308,0.9684937618770634,NA,NA
f6,1,42,40,B8,2.4010500426520136,0.9730861336875736,NA,NA
f7,1,42,40,C7,3.1190291261751137,0.9954331646554015,NA,NA
g10,1,42,40,G9,3.7636163064924673,0.9891729314808428,NA,NA
g2,1,42,35,G11,2.331718072544525,0.965813052145925,NA,NA
g4,1,42,35,B6,2.6314378814634045,0.9731241212444416,NA,NA
g6,1,42,40,D2,2.779865713695553,0.9917644434750816,NA,NA
g7,1,42,40,G9,3.34212218335469,0.9901615498484868,NA,NA
g8,1,42,35,G11,3.1862843329430306,0.9726924154924615,NA,NA
g9,1,42,35,D4,2.66067093418047,0.9722918711969624,NA,NA
b11,2,25,35,D8,6.5729899679115125,0.9950550363328676,NA,NA
b2,2,25,35,E9,5.181646391219357,0.9780299893586496,NA,NA
b3,2,25,40,E9,6.393303750814247,0.9953796414612838,NA,NA
b4,2,25,40,G11,6.469172507817965,0.9952248483972534,NA,NA
b5,2,25,40,E11,5.162314024048487,0.9776713082835928,NA,NA
b8,2,25,35,B2,6.504901897221802,0.9947716601881824,NA,NA
b9,2,25,fRS585,fRS585,4.9820072823609785,0.9751666522737356,3.3150825079485147,0.9957698132780852
c11,2,25,35,C7,6.667790645257781,0.9949353888997938,NA,NA
c2,2,25,40,B2,5.9187791870478765,0.9956472005074212,NA,NA
c3,2,25,40,G11,6.401336592889754,0.9951715528104698,NA,NA
c4,2,25,40,E11,5.201415442184898,0.9774350076051465,NA,NA
c5,2,25,40,E9,6.3679743038725825,0.9952173063691624,NA,NA
c9,2,25,fRS585,fRS585,6.637103716015893,0.9948580443307236,3.470696019704234,0.9959624906233364
d10,2,25,35,E9,6.564567810184822,0.9948147041771002,NA,NA
d11,2,25,40,B2,4.919376423881833,0.9811544321471408,NA,NA
d2,2,25,40,C9,6.53675606778662,0.9948436980108591,NA,NA
d3,2,25,35,D8,6.545464464453492,0.9950327339811832,NA,NA
d4,2,25,35,D8,6.490018420712173,0.9948670378617854,NA,NA
d5,2,25,40,E9,6.304580949315091,0.9951977864357058,NA,NA
d6,2,25,35,G9,6.718283991327215,0.9947365739428372,NA,NA
d8,2,25,40,C9,5.162384798509548,0.9782558038263708,NA,NA
d9,2,25,40,C9,5.125682250059817,0.9775465447515016,NA,NA
e10,2,25,fRS585,fRS585,5.097803916602251,0.976316346276106,3.4776771622359615,0.9961201521131936
e11,2,25,40,E11,5.1946473327209315,0.9772120646677216,NA,NA
e3,2,25,35,C7,6.695062561385624,0.9949117771794388,NA,NA
e8,2,25,35,C7,6.727169379284837,0.9948811399860203,NA,NA
e9,2,25,35,B2,6.549755165887039,0.9949571310841664,NA,NA
f11,2,25,35,B2,6.558597283792517,0.994921628769659,NA,NA
f2,2,25,35,F6,6.615583426663233,0.9947607249482712,NA,NA
f3,2,25,40,F4,5.001961782547603,0.9778170494587632,NA,NA
f4,2,25,40,G11,5.119683655867421,0.979824874412648,NA,NA
f5,2,25,40,B2,4.91162740186675,0.981057279964518,NA,NA
f7,2,25,40,F4,6.450656957438692,0.9951810261898208,NA,NA
f8,2,25,35,G9,6.8063081131288,0.9947405273271744,NA,NA
f9,2,25,35,F6,6.6985794000486365,0.9948118948578356,NA,NA
g3,2,25,35,G9,6.716223881149999,0.9945962159164964,NA,NA
g5,2,25,40,F4,6.416265240932104,0.9953385239179814,NA,NA
g6,2,25,35,F6,6.642008872074052,0.9948317696659048,NA,NA
g8,2,25,35,E9,5.160224037420946,0.9759788753399036,NA,NA
b11,2,35,35,D8,10.340426387330998,0.9962958781010226,NA,NA
b2,2,35,35,E9,8.344002354747888,0.9795599092724117,NA,NA
b3,2,35,40,E9,7.375967291282757,0.984740679885609,NA,NA
b4,2,35,40,G11,8.35587378060869,0.9839881186759128,NA,NA
b5,2,35,40,E11,8.026580010360634,0.9831839630150664,NA,NA
b8,2,35,35,B2,10.29809895719602,0.996278446655587,NA,NA
b9,2,35,fRS585,fRS585,10.38640602147674,0.9961217360211478,6.85837949238096,0.9952713472944807
c11,2,35,35,C7,7.889108115590731,0.9816848806869228,NA,NA
c2,2,35,40,B2,9.749495211779168,0.9967997880750332,NA,NA
c3,2,35,40,G11,9.36724999783261,0.981755252159399,NA,NA
c4,2,35,40,E11,7.991804677701424,0.9787061422509308,NA,NA
c5,2,35,40,E9,9.083460623192032,0.9967170501471418,NA,NA
c9,2,35,fRS585,fRS585,8.008559457405521,0.9816727881407944,6.8520787798628735,0.9950457570184832
d10,2,35,35,E9,10.287124135880196,0.9964260894967286,NA,NA
d11,2,35,40,B2,10.0518150118089,0.9968713515305788,NA,NA
d2,2,35,40,C9,8.080055257894198,0.9837170201326748,NA,NA
d3,2,35,35,D8,7.953029940602955,0.9827367246580584,NA,NA
d4,2,35,35,D8,10.090905444523443,0.996390223447664,NA,NA
d5,2,35,40,E9,9.203374242960445,0.99667616519771,NA,NA
d6,2,35,35,G9,8.035020931602809,0.9835377419059764,NA,NA
d8,2,35,40,C9,8.227181125279301,0.9842656265275188,NA,NA
d9,2,35,40,C9,8.186005852487227,0.98376936787679,NA,NA
e10,2,35,fRS585,fRS585,8.076361879582786,0.9831315463722996,5.747589798296246,0.9976545707957372
e11,2,35,40,E11,10.37213564780499,0.9969480212644484,NA,NA
e3,2,35,35,C7,7.917164327316537,0.9822344840289736,NA,NA
e8,2,35,35,C7,10.074886898082232,0.9965312351521072,NA,NA
e9,2,35,35,B2,8.023202245659663,0.9827443433627407,NA,NA
f11,2,35,35,B2,7.925998216819832,0.9805978277388347,NA,NA
f2,2,35,35,F6,10.336959938068038,0.9964613775990931,NA,NA
f3,2,35,40,F4,9.280393168144982,0.9966133407540702,NA,NA
f4,2,35,40,G11,8.602082062876072,0.9849359178605702,NA,NA
f5,2,35,40,B2,7.988649055394904,0.9846980661507352,NA,NA
f7,2,35,40,F4,9.22462909096255,0.9965075882164104,NA,NA
f8,2,35,35,G9,10.784532229618408,0.9962035846432972,NA,NA
f9,2,35,35,F6,7.894412396949256,0.9821554019247344,NA,NA
g3,2,35,35,G9,7.924958686475471,0.9825012419521004,NA,NA
g5,2,35,40,F4,9.67221672930476,0.9969418501868748,NA,NA
g6,2,35,35,F6,7.993740694196769,0.9821250861619076,NA,NA
g8,2,35,35,E9,7.954578047848767,0.9817843891218327,NA,NA
b11,2,38,35,D8,8.721840649691165,0.9845693023752544,NA,NA
b2,2,38,35,E9,11.2260882038432,0.998150383613866,NA,NA
b3,2,38,40,E9,9.739731543730407,0.9972550380637444,NA,NA
b4,2,38,40,G11,8.933044052761403,0.9876819838553256,NA,NA
b5,2,38,40,E11,8.702589280032722,0.9853238223954328,NA,NA
b8,2,38,35,B2,8.80605156949551,0.9833924830586946,NA,NA
b9,2,38,fRS585,fRS585,8.784019317190465,0.9849121163574144,7.0135442349257335,0.9976006063478668
c11,2,38,35,C7,8.806081062456961,0.984034907523095,NA,NA
c2,2,38,40,B2,8.26437369213337,0.9884923340600612,NA,NA
c3,2,38,40,G11,8.846499524513662,0.9867435262262888,NA,NA
c4,2,38,40,E11,8.682991977853588,0.9861000056917943,NA,NA
c5,2,38,40,E9,10.43459502824509,0.99751261235602,NA,NA
c9,2,38,fRS585,fRS585,8.767795085404357,0.9833503994838044,6.932733441360218,0.9958858006436824
d10,2,38,35,E9,10.86629027874493,0.9972145333320528,NA,NA
d11,2,38,40,B2,9.993491458418358,0.997676100848386,NA,NA
d2,2,38,40,C9,8.553907568204208,0.9848421257980908,NA,NA
d3,2,38,35,D8,8.606175075341243,0.9843277988089124,NA,NA
d4,2,38,35,D8,8.683269813943399,0.9848600352720684,NA,NA
d5,2,38,40,E9,10.197692651976018,0.9980038134482764,NA,NA
d6,2,38,35,G9,8.786682842206845,0.9865278427069936,NA,NA
d8,2,38,40,C9,9.285713751375472,0.9760475175157148,NA,NA
d9,2,38,40,C9,8.593687283622378,0.9843963141384108,NA,NA
e10,2,38,fRS585,fRS585,11.000531846420389,0.997384844067166,6.852755135681963,0.9971712277386052
e11,2,38,40,E11,8.541473556944144,0.984693726505692,NA,NA
e3,2,38,35,C7,8.867544504466315,0.9865694152259664,NA,NA
e8,2,38,35,C7,8.640917950925415,0.9844133429443948,NA,NA
e9,2,38,35,B2,8.483161591601531,0.9827621686634176,NA,NA
f11,2,38,35,B2,8.5846421136017,0.9844441774731624,NA,NA
f2,2,38,35,F6,8.581460769425734,0.9823104051158166,NA,NA
f3,2,38,40,F4,8.235314724146864,0.9878598414985812,NA,NA
f4,2,38,40,G11,8.960076826259238,0.9874948195822002,NA,NA
f5,2,38,40,B2,9.85055767659633,0.9976484997545372,NA,NA
f7,2,38,40,F4,9.93863929133122,0.9973735214156652,NA,NA
f8,2,38,35,G9,8.690605839201035,0.9850406838501832,NA,NA
f9,2,38,35,F6,8.888900279998731,0.9805753304233328,NA,NA
g3,2,38,35,G9,8.745808043540311,0.9862751678607404,NA,NA
g5,2,38,40,F4,9.737648030781736,0.9973157440973128,NA,NA
g6,2,38,35,F6,8.61538380226238,0.9851245527087532,NA,NA
g8,2,38,35,E9,8.698381290774591,0.9846740837872412,NA,NA
b11,2,41,35,D8,6.903266089433474,0.9985267258781348,NA,NA
b2,2,41,35,E9,4.194238172898672,0.994209068229146,NA,NA
b3,2,41,40,E9,5.870276429238521,0.991508603556982,NA,NA
b4,2,41,40,G11,7.260915979786271,0.998281503936741,NA,NA
b5,2,41,40,E11,6.528030206677207,0.998490192899693,NA,NA
b8,2,41,35,B2,5.717702879917897,0.9982686341194746,NA,NA
b9,2,41,fRS585,fRS585,6.275145411202791,0.9980899087309774,3.8602559393242166,0.9927645287213585
c11,2,41,35,C7,6.376030373872774,0.9983026493877905,NA,NA
c2,2,41,40,B2,6.546752154876815,0.9981229039869204,NA,NA
c3,2,41,40,G11,8.035739582802963,0.9980662350493544,NA,NA
c4,2,41,40,E11,6.553142507243445,0.9982399796989048,NA,NA
c5,2,41,40,E9,5.95793073167625,0.9983604028051142,NA,NA
c9,2,41,fRS585,fRS585,5.087533959390045,0.9938415990273196,3.0806059083852206,0.9926043639185392
d10,2,41,35,E9,4.479319831290354,0.9957902352260484,NA,NA
d11,2,41,40,B2,7.05342391327631,0.9982962185822614,NA,NA
d2,2,41,40,C9,6.481385535252537,0.99765958546367,NA,NA
d3,2,41,35,D8,4.089687410387843,0.9875815623950762,NA,NA
d4,2,41,35,D8,3.534150023846873,0.9806424458769076,NA,NA
d5,2,41,40,E9,5.748799687207924,0.9985113809691736,NA,NA
d6,2,41,35,G9,3.5588630282608125,0.9795919247460216,NA,NA
d8,2,41,40,C9,6.8549260271223105,0.998204055013996,NA,NA
d9,2,41,40,C9,6.966134158206665,0.9982504939421376,NA,NA
e10,2,41,fRS585,fRS585,4.9007648037250835,0.9947677842518275,2.6054851335614813,0.994828067178666
e11,2,41,40,E11,7.400077630317644,0.9970885025907072,NA,NA
e3,2,41,35,C7,3.5259633825682206,0.9706874889265512,NA,NA
e8,2,41,35,C7,3.857128152981619,0.9867690939417456,NA,NA
e9,2,41,35,B2,3.760599949581554,0.988740252772796,NA,NA
f11,2,41,35,B2,4.625540829175764,0.9945677966783908,NA,NA
f2,2,41,35,F6,3.719818716786843,0.9756934826270414,NA,NA
f3,2,41,40,F4,5.834611967257445,0.9903337906651188,NA,NA
f4,2,41,40,G11,6.481877586942025,0.9980441781639686,NA,NA
f5,2,41,40,B2,5.994412451605413,0.9981308387651268,NA,NA
f7,2,41,40,F4,6.109269200404927,0.9902407388417044,NA,NA
f8,2,41,35,G9,3.4000700304148666,0.9792527599671932,NA,NA
f9,2,41,35,F6,3.909700042524994,0.988725248802912,NA,NA
g3,2,41,35,G9,3.395270807697224,0.9641207404353924,NA,NA
g5,2,41,40,F4,6.719657304074171,0.9981091012106772,NA,NA
g6,2,41,35,F6,3.170935182784177,0.9649013374376608,NA,NA
g8,2,41,35,E9,2.9767757124008876,0.9703529098887688,NA,NA
b11,2,42,35,D8,2.8577593333525284,0.9810386157065624,NA,NA
b2,2,42,35,E9,2.2893264623716307,0.9599648746005346,NA,NA
b3,2,42,40,E9,2.4455224890935914,0.9901613033979768,NA,NA
b4,2,42,40,G11,3.1927215771875375,0.9908695196021416,NA,NA
b5,2,42,40,E11,2.789294583382972,0.9963426929657266,NA,NA
b8,2,42,35,B2,2.238183568007249,0.9722978722157858,NA,NA
b9,2,42,fRS585,fRS585,2.6552685859780385,0.9717623761626348,0.3815565920881759,0.8798416614436182
c11,2,42,35,C7,3.747174835709482,0.9811813525034468,NA,NA
c2,2,42,40,B2,4.533599145971226,0.9983807650188752,NA,NA
c3,2,42,40,G11,6.499972015055109,0.9978908954768032,NA,NA
c4,2,42,40,E11,2.9522137773007184,0.9826112084558511,NA,NA
c5,2,42,40,E9,2.391578372333301,0.9965853882326188,NA,NA
c9,2,42,fRS585,fRS585,2.2505296205073817,0.9673181734965328,0.331774815276048,0.8769570840223221
d10,2,42,35,E9,1.7995466319828142,0.9593645167204172,NA,NA
d11,2,42,40,B2,3.736158199094465,0.9979258839152724,NA,NA
d2,2,42,40,C9,2.918793014584675,0.9887007877734872,NA,NA
d3,2,42,35,D8,2.6296052547533764,0.9728920259831988,NA,NA
d4,2,42,35,D8,2.4641017075295064,0.9716800886542826,NA,NA
d5,2,42,40,E9,2.2228146388032983,0.9953564957673116,NA,NA
d6,2,42,35,G9,1.673824073074006,0.9616016538591488,NA,NA
d8,2,42,40,C9,2.475652035131906,0.9974493721345138,NA,NA
d9,2,42,40,C9,2.6555869502460885,0.9962633444791436,NA,NA
e10,2,42,fRS585,fRS585,1.9953429607460516,0.9682322256817008,0.29308509246584885,0.8797755673358076
e11,2,42,40,E11,2.871241781640766,0.9971112203010268,NA,NA
e3,2,42,35,C7,2.915682616389863,0.970258461525619,NA,NA
e8,2,42,35,C7,3.0114891672194477,0.9750919989398624,NA,NA
e9,2,42,35,B2,1.7240198926032144,0.959495580646157,NA,NA
f11,2,42,35,B2,2.0297293700532952,0.97074317746403,NA,NA
f2,2,42,35,F6,1.6550901152245543,0.9574714238216964,NA,NA
f3,2,42,40,F4,4.142932875277602,0.987018934459484,NA,NA
f4,2,42,40,G11,2.4016221412208276,0.9836059799344312,NA,NA
f5,2,42,40,B2,2.554039405440839,0.9925416578574022,NA,NA
