well,block,test_temperature,strain,evolution_history,mu_gt,r2_gt,mu_log,r2_log
b11,1,25,35,G11,5.338107434607027,0.979795282844652,NA,NA
b3,1,25,fRS585,fRS585,5.356671066000762,0.9788291704410192,3.6260686998783416,0.9965032048363288
b5,1,25,40,D2,6.489543202020391,0.9955170703514494,NA,NA
b8,1,25,40,G9,6.576588634867152,0.9950935815788206,NA,NA
c10,1,25,35,B8,6.740989941064789,0.9947734283882184,NA,NA
c2,1,25,35,G5,6.731110326682042,0.9947721314344984,NA,NA
c4,1,25,40,C7,6.457072299907261,0.9955909905071152,NA,NA
c5,1,25,35,G5,6.751122045505217,0.9947580854962368,NA,NA
c6,1,25,35,F4,6.664486041413056,0.9948461807763368,NA,NA
c7,1,25,35,D4,6.740363444628263,0.9946582650513226,NA,NA
c8,1,25,40,F2,5.091075430593704,0.9778101266501792,NA,NA
c9,1,25,40,D4,6.62763680046263,0.9951941668135852,NA,NA
d10,1,25,40,B8,6.437964347378345,0.99490234913161,NA,NA
d2,1,25,40,B8,6.483635472132457,0.994954560203547,NA,NA
d4,1,25,40,F2,6.486467898020685,0.9952898905126176,NA,NA
d5,1,25,40,C7,6.443744769853998,0.9954756564208648,NA,NA
d7,1,25,35,B6,5.293039379542701,0.9790582804935128,NA,NA
e10,1,25,fRS585,fRS585,6.743461909503762,0.9947691773982178,3.635341067548079,0.9963908060384836
e2,1,25,35,B8,6.766037558317078,0.9946009867366128,NA,NA
e3,1,25,35,F4,6.678683406453822,0.9947353097193083,NA,NA
e5,1,25,40,D4,6.597713296246015,0.9953571329329892,NA,NA
e7,1,25,35,F4,5.316193434056602,0.9796814859866828,NA,NA
e8,1,25,35,B8,6.742676399529209,0.9947226894256104,NA,NA
e9,1,25,40,D2,6.388925969912976,0.99530218886488,NA,NA
f10,1,25,40,F2,5.056203611351576,0.9771658330015958,NA,NA
f11,1,25,fRS585,fRS585,6.785734977465531,0.994808014775746,3.6909862137899903,0.9964069752809764
f2,1,25,35,G5,6.63627916550545,0.994704934256884,NA,NA
f3,1,25,40,D4,6.573717412811424,0.9953399926135394,NA,NA
f4,1,25,35,D4,6.597222186977623,0.9948107643517664,NA,NA
f5,1,25,35,B6,6.599679429086025,0.9946342612980438,NA,NA
f6,1,25,40,B8,6.461783609122739,0.9949582189809916,NA,NA
f7,1,25,40,C7,6.473150753910335,0.9955699061550723,NA,NA
g10,1,25,40,G9,6.5062025920753985,0.9949526820335016,NA,NA
g2,1,25,35,G11,6.7622577699978494,0.9944985818777272,NA,NA
g4,1,25,35,B6,6.737358518370678,0.994528525551132,NA,NA
g6,1,25,40,D2,6.458379805000872,0.9955131011344344,NA,NA
g7,1,25,40,G9,6.538322925890345,0.9948688671419093,NA,NA
g8,1,25,35,G11,6.809762085923568,0.9947139531917092,NA,NA
g9,1,25,35,D4,6.7576342923150206,0.9947574314147148,NA,NA
b11,1,35,35,G11,8.08273146248213,0.9846610159436574,NA,NA
b3,1,35,fRS585,fRS585,8.628796047206428,0.985943253819206,6.727575975276113,0.996347720190088
b5,1,35,40,D2,9.858614877301548,0.9967879548654248,NA,NA
b8,1,35,40,G9,9.178619395780268,0.989670330745027,NA,NA
c10,1,35,35,B8,10.157265909664746,0.9964553861603204,NA,NA
c2,1,35,35,G5,8.325086430005845,0.986873348376752,NA,NA
c4,1,35,40,C7,7.683843912526252,0.9857248918079948,NA,NA
c5,1,35,35,G5,8.272522667495478,0.985559129102789,NA,NA
c6,1,35,35,F4,8.144359120566115,0.9852343945037596,NA,NA
c7,1,35,35,D4,8.339000111240521,0.9863988403090924,NA,NA
c8,1,35,40,F2,9.468986103622091,0.9965444683045148,NA,NA
c9,1,35,40,D4,7.858153135406253,0.9844843635100315,NA,NA
d10,1,35,40,B8,7.947925125036324,0.9873577536971122,NA,NA
d2,1,35,40,B8,9.3552809629886209,0.9964656253519186,NA,NA
d4,1,35,40,F2,10.019850970808331,0.9968289515850464,NA,NA
d5,1,35,40,C7,7.716200504022747,0.9857887550127484,NA,NA
d7,1,35,35,B6,8.124854540915665,0.9846099286861288,NA,NA
e10,1,35,fRS585,fRS585,8.36125326119516,0.9865107199590808,5.74159321759605,0.9977544677909016
e2,1,35,35,B8,8.333087945851219,0.9863412208557364,NA,NA
e3,1,35,35,F4,8.178814946391494,0.9858790398439856,NA,NA
