strain,method,r_tref,e,eh,th,topt,ctmax,rmax,r2,evolution_history
D2,logistic,2.07347748146134,0.3811715131489672,17.848572105145458,314.0276699932905,39.066813362672534,42.37747549509902,6.6256239129491306,0.973913147505991,40 evolved
D4,logistic,2.279109155198458,0.37034300873467074,19.869278056164365,314.58713801106376,39.746949389877976,42.77755551110222,7.275265150878943,0.8340967195043134,40 evolved
D8,logistic,2.2868968193203445,0.37216427001905084,30.860697494781427,314.238086571794,39.876975395079015,41.9373874774955,7.43527689424917,0.9205732996914301,40 evolved
E11,logistic,2.222735649021156,0.39352017307003223,28.694429011766896,314.28520175530633,39.876975395079015,42.04740948189638,7.722802332799236,0.9332786534462798,40 evolved
E7,logistic,2.161868701383816,0.4034060090159394,25.534318371177715,314.2483042854347,39.72694538907782,42.1374274854971,7.683022794505234,0.9723077957951775,40 evolved
E9,logistic,1.9031934847861314,0.4049660607702377,27.767734550410694,314.21096551250105,39.77695539107822,42.00740148029606,6.821509966228314,0.9812723485318869,40 evolved
F2,logistic,2.0667199654247472,0.40281273004269597,50,314.7566643868066,40.7871574314863,42.12742548509702,7.770858844808442,0.9067600030981717,40 evolved
F4,logistic,2.4170128569555023,0.33148118048185776,18.682317862479795,314.3539383031824,39.386877375475095,42.62752550510102,6.727519642255911,0.917279561187753,40 evolved
F6,logistic,2.2505613604265604,0.39758785140348435,32.0083139062768,314.31518119467245,40.00700140028006,41.987397479495904,7.9823575201413925,0.9273162809776537,40 evolved
G11,logistic,2.1586824888272638,0.41978977629453457,15.704015661768613,314.58266496608474,39.49689937987598,43.167633526705345,7.89970052991074,0.8869452756190985,40 evolved
G5,logistic,2.3378580362744645,0.34727117352189774,26.57444520458991,314.2835824009719,39.756951390278054,42.11742348469694,6.976183332347666,0.8730564062024836,40 evolved
G9,logistic,2.3197691783649934,0.39618961646298423,17.520211929449587,314.4397935675171,39.466893378675735,42.82756551310262,7.9045763156305915,0.8852659103251506,40 evolved
fRS585,logistic,2.071743321543124,0.4053344454574541,21.633511919088324,313.9374419154625,39.2368473694739,42.01740348069614,7.215135489757155,0.928500464490437,fRS585
