strain,method,r_tref,e,eh,th,topt,ctmax,rmax,r2,evolution_history
B2,logistic,1.9294080914303695,0.4300007459009422,22.027764388643696,313.86119713747604,39.20684136827366,41.91738347669534,7.240225845478851,0.9826858183749801,35 evolved
B6,logistic,1.9296000442395798,0.44265166271489637,12.906697545824906,312.98737021487625,37.666533306661336,41.95739147829566,6.838652485984015,0.978060223158738,35 evolved
B8,logistic,2.0754831568685095,0.4057730476778261,19.51492832585519,314.05502655969366,39.2368473694739,42.27745549109822,7.221212398842357,0.8540654216875185,35 evolved
C5,logistic,2.0141286466779524,0.41191471758488324,18.102588536455436,313.85246251883314,38.94678935787157,42.187437487497505,7.02959805554059,0.8304497317313628,35 evolved
C7,logistic,2.015679531762673,0.4133900381075336,15.497064064171294,313.62331793041983,38.51670334066814,42.21744348869774,6.890769159823966,0.9370785962109185,35 evolved
C9,logistic,1.8860011028181694,0.43605721755176796,24.779439921598378,313.99009009955375,39.466893378675735,41.907381476295264,7.323804975388053,0.9860372809776476,35 evolved
D2,logistic,2.099572923506829,0.4041523358897004,22.472724776193232,313.86485935106816,39.20684136827366,41.89737947589518,7.280158544209279,0.9041590287811527,35 evolved
D4,logistic,2.071679790732224,0.4001889298904401,18.676941120633426,313.74802627913454,38.87677535507102,42.027405481096224,6.956914977626673,0.9183777838803402,35 evolved
D8,logistic,1.9549592342075863,0.4176755712155965,19.648538713972403,313.7812927613293,38.98679735947189,41.987397479495904,6.9691275253459315,0.9123008565575982,35 evolved
E11,logistic,2.0690852128705632,0.40608429394524553,23.473787199101338,313.970794985934,39.36687337467494,41.947389477895584,7.27700075769311,0.9458084347609501,35 evolved
E7,logistic,2.1124970720155973,0.40354208911662065,24.782361878016122,313.96624723491817,39.41688337667534,41.87737547509502,7.396320041970547,0.9050836088721799,35 evolved
E9,logistic,3.3320012315761605,0.24068315845005928,23.378010141466063,314.1244657061092,39.32686537307462,42.0874174834967,7.012610998325714,0.8392051889435688,35 evolved
F2,logistic,2.0228229813355663,0.41958820452685647,25.692118896791772,314.06883070281043,39.56691338267654,41.947389477895584,7.505307988201902,0.8964679218922141,35 evolved
F4,logistic,1.8373680889247053,0.46153452555771063,15.754115319606385,313.63281730104046,38.606721344268855,42.20744148829766,7.288232516403208,0.9136908411376606,35 evolved
F6,logistic,1.9817425217488553,0.4274263326184006,15.387328604997604,313.16527043066077,38.076615323064615,41.76735347069414,6.903589619644385,0.9860718216008098,35 evolved
G11,logistic,1.9647451120977861,0.4129788933341083,15.932824851570967,313.62952376295806,38.566713342668535,42.17743548709742,6.727970930060149,0.9091790452735466,35 evolved
G5,logistic,2.009231844557796,0.44404012106342855,10.364101540224132,312.9492319026888,37.28645729145829,42.49749949989998,6.9445323164454855,0.9834597801315875,35 evolved
G9,logistic,2.0332327458617336,0.42131206148914574,14.145518925061545,313.06738243575325,37.84656931386277,41.8373674734947,6.862558993005611,0.986546683933538,35 evolved
B2,logistic,2.1376657187942887,0.3860438557817394,12.87509300863024,314.3199550125392,38.8867773554711,43.29765953190638,6.817218230170687,0.9452450635845118,40 evolved
B6,logistic,2.1369209863709173,0.3741893313974955,38.77278435230984,314.40524759018626,40.237047409481896,41.92738547709542,7.123472803864422,0.8509396460360793,40 evolved
B8,logistic,2.026507403601383,0.39819659696686527,37.63727019935414,314.75562082026937,40.57711542308462,42.29745949189838,7.412619691095047,0.9575301835551382,40 evolved
C5,logistic,2.3158981811068267,0.32284485490721293,28.256337856035667,314.43795998567015,39.94698939787958,42.21744348869774,6.451612833580195,0.9305923267003837,40 evolved
C7,logistic,2.391377437299449,0.33759255270422717,27.13295731486891,314.3000293337989,39.786957391478296,42.11742348469694,6.9316512465746545,0.8670456863748182,40 evolved
C9,logistic,2.0126798140401667,0.43235909048748994,22.10366663498734,314.1726440636057,39.52690538107622,42.227445489097825,7.732080328384754,0.9795093823165942,40 evolved
