"strain","evo_history","r_tref","e","eh","th","topt","ctmax","rmax","r2"
"35_B2","35°C Evolved",1.81481735239316,0.462461519170291,22.1085136356584,313.836266903051,39.2168433686737,41.8973794758952,7.52879784308516,0.995014704111255
"35_B6","35°C Evolved",1.78444457448379,0.501833986876663,10.8624967465236,312.384689026614,36.9063812762553,41.8173634726945,7.09813938317675,0.99958916296988
"35_B8","35°C Evolved",2.08671676499929,0.390977286520713,15.3534993268769,313.550648616656,38.4066813362673,42.1574314862973,6.63616327759223,0.999220962498099
"35_C5","35°C Evolved",2.07852127319542,0.39486138982102,15.1949995229573,313.602417938707,38.4466893378676,42.2274454890978,6.6978674401109,0.999529847893875
"35_C7","35°C Evolved",1.96009614702076,0.428372273363093,15.812221539561,313.619354736423,38.5567113422685,42.1774354870974,7.02541041194239,0.994762553244907
"35_C9","35°C Evolved",1.8781414206347,0.417639952543456,22.1771254548501,313.870206543316,39.2168433686737,41.9173834766953,6.78759089151314,0.997910642598375
"35_D2","35°C Evolved",2.1376008654724,0.380923700477138,19.4714101648288,313.666033791169,38.8167633526705,41.877375475095,6.76176839629359,0.999393944863118
"35_D4","35°C Evolved",2.08605446013171,0.396466940134748,15.8843140550063,313.342492005271,38.256651330266,41.8873774754951,6.70079240630139,0.998589335095246
"35_D8","35°C Evolved",2.07383243004128,0.385832143340486,19.410286941429,313.805567241358,38.9567913582717,42.0274054810962,6.70060536505503,0.997558417142562
"35_E11","35°C Evolved",2.14692842801802,0.376145793192528,21.7389579052009,313.902401922616,39.1868373674735,41.9673934786957,6.81721320183449,0.999928353151555
"35_E7","35°C Evolved",1.95205119263742,0.425919717451563,20.9971834697525,313.735784321369,39.0268053610722,41.8573714742949,7.16053907489652,0.999760064955442
"35_E9","35°C Evolved",2.01687650295136,0.412485664975922,19.1526309819459,313.634311209813,38.8067613522705,41.877375475095,7.01029722361295,0.998814562451027
"35_F2","35°C Evolved",1.76918985690191,0.469483542605465,23.4380942469347,313.93770521274,39.3868773754751,41.9273854770954,7.57957837439526,0.984971555201263
"35_F4","35°C Evolved",1.44421176630934,0.582664733525456,19.267838987325,313.386306714894,38.7167433486697,41.6473294658932,8.34447678974205,0.963849730577504
"35_F6","35°C Evolved",1.82410878270392,0.461500581271144,21.863303416626,313.433536702244,38.8067613522705,41.497299459892,7.37440923905773,0.99213483580644
"35_G11","35°C Evolved",2.03744735355412,0.393243006458655,15.4702428543824,313.63333789611,38.496699339868,42.2274454890978,6.55374160350595,0.99960301627566
"35_G5","35°C Evolved",2.03186212396028,0.419045082905859,16.7139613362521,313.316546685572,38.3266653330666,41.7773554710942,7.00983987806404,0.998609540964344
"35_G9","35°C Evolved",1.90869615253669,0.469226586792084,10.7360050121638,312.598107464621,37.0464092818564,42.0474094818964,6.99215898729568,0.99959023344183
"40_B2","40°C Evolved",2.13766650527571,0.386043687467663,12.8751095779417,314.319955608076,38.8867773554711,43.2976595319064,6.81721829840564,0.98724337753024
"40_B6","40°C Evolved",2.25178174068043,0.328842859920256,44.9727449466896,314.528152348392,40.4470894178836,41.9573914782957,6.547838218893,0.999765127259497
"40_B8","40°C Evolved",2.14731239381814,0.357053203622133,26.4114375112507,314.484733639339,39.9569913982797,42.3274654930986,6.66408031897405,0.99653958954904
"40_C5","40°C Evolved",2.31576278237401,0.32287829470782,24.9319210208081,314.343189465354,39.7169433886777,42.247449489898,6.38587632593341,0.999693936588103
