"fluconazole_evolved_40C","fluconazole_fRS585_control","fluconazole_evolved_35C"
23.5785743037728,15.7785556427118,23.9447740521006
23.7642146885535,NA,21.5756392392308
21.4203825700562,NA,21.2208887668198
21.7451645507749,NA,22.2914031062613
25.4433332276725,NA,17.5088656881767
52.2503793478583,NA,22.9272519840836
24.3898789451224,NA,15.0789385490352
27.3311871648822,NA,1.81431753962753
28.7151910608187,NA,22.2175595103065
36.0484420959918,NA,16.9601343367757
26.4058402258828,NA,23.9625061088253
44.9389752085473,NA,23.3656614024439
30.6808051814429,NA,30.3909866498252
17.4252221439856,NA,36.3421683085843
30.6314613867164,NA,19.5031060855934
36.9401406094632,NA,28.0415861005219
90.9780974785871,NA,21.1685619717308
67.377129429888,NA,17.0267641593957
