Temperature_C,35_B2,35_B6,35_B8,35_C5,35_C7,35_C9,35_D2,35_D4,35_D8,35_E11,35_E7,35_E9,35_F2,35_F4,35_F6,35_G11,35_G5,35_G9,40_B2,40_B6,40_B8,40_C5,40_C7,40_C9,40_D2,40_D4,40_D8,40_E11,40_E7,40_E9,40_F2,40_F4,40_F6,40_G11,40_G5,40_G9,fRS585 (YL07)
25,3.5127759719526264,3.5184402125907748,3.5768319693199415,3.573272100688676,3.6067643422612625,3.3698202497318555,3.612657807930477,3.612097394639258,3.562904980794471,3.5804324340556057,3.495608837930116,3.575999501608218,3.5476066763174003,3.598103805572227,3.5652349332777824,3.4927995215809893,3.630660172803319,3.591676485079151,3.4793314393612094,3.5309459205358844,3.407549023996935,3.6014984199753393,3.708428017940658,3.560252609763292,3.55945426941062,3.6423332022822428,3.628253241479331,3.5960304273051107,3.5927255164859324,3.346191244351274,3.6402053082834844,3.6590137554771816,3.607300721580264,3.646336072805513,3.6172401427350196,3.7483426745662154,3.555341555922604
35,5.770173513597325,6.589669679510441,5.691931285534281,5.751113269618814,5.713788617879668,5.414790699496429,5.683419109297901,5.747193024409358,5.4905611751283026,5.705040878307531,5.875912596440685,5.781105351150486,5.510618666656225,5.707676306123541,5.6866181925352635,5.619577095825133,5.937036248710804,6.5017322095596795,6.205930816776402,5.259935891231442,5.661760497340233,5.326668644569643,5.982124822873323,6.029646857726559,5.366252029561246,5.783292724136342,5.90538627223971,6.357608520831271,5.983071923748258,5.331148424384497,7.907803748350603,5.652589278978879,7.705537474694115,7.621288288402866,6.2559379435490285,6.6756353929634065,5.722453750195519
38,7.387098145881261,6.624374684292775,6.674735654466758,6.712795203037433,7.1500149179504495,6.62729010205419,6.693825905221311,6.778030386463995,6.658763260395797,6.595862543610678,6.970379519996676,6.961539056714604,7.49893232505656,8.720089736421416,7.456981289700049,6.553980502402472,7.076031889259409,6.65749142522225,6.448150621503713,6.034021150349347,6.078326639287176,6.095314784524143,6.210806756944158,8.50531414872236,6.279635084276049,6.53428791095583,6.458306978138711,6.606163880010999,6.875820226365728,6.176037752793069,6.896963085060276,6.226065653778747,7.180935292715222,7.116415082542228,6.335850233545492,7.243489285466194,6.64193796928586
41,2.5957392014275213,0.8418068260105925,1.9244911571010312,2.1030738559736033,2.183822027060021,2.455167649510912,1.882501061871406,1.378803460825826,2.3425860999826438,2.6077005662521344,2.131932343581662,1.8921747614743767,3.0237275293707158,1.4227734533943963,1.1374163597713027,2.1112825683613057,1.299712887265585,1.1682798091174134,4.391657664845313,5.933113773324183,5.213477662851999,4.332912110885889,4.031516270799897,4.377563113021816,3.2162698717718072,4.5391672231375155,3.9468239263887064,4.724843398085832,4.754804986040615,4.033844748685888,5.983831777685133,4.454638148310214,6.116742297167789,4.796055303610635,3.9733087313558637,6.009145925605808,2.648281398936811
42,0.30058040352658694,0.39387703102113086,0.47108549433758745,0.5128480688129248,0.5631524340648505,0.28122744086485735,0.275406284886262,0.3832383016920254,0.36797286600201345,0.31462737791327666,0.2583877129930752,0.29590129220365996,0.3187802111437143,0.6386783074945831,0.2528009610011657,0.497101430049836,0.3490915074848829,0.2617994638438175,1.7735977479432308,0.25541066256416256,0.8339860937658684,0.6108381301572082,0.4816138100702035,0.4216597592393288,0.6852936090905574,1.7382184332952908,0.29416608968729757,0.4471083559363323,0.27751255647853107,0.3463860795211467,0.6658314183276118,1.1263693819337448,0.3713412715534617,1.9167540800205052,0.4884743409012813,1.7123986923379662,0.367547251934854
