sample,mean_depth
40_B8_S232,100.71231117306996
40_E9_S240,95.11608847363627
40_F2_S242,102.77251627875717
40_G5_S245,109.81026247683303
35_B8_S250,85.74269628416722
40_B6_S231,103.95852605309994
35_E7_S257,89.70076684990153
35_F6_S262,94.79975117535807
35_B2_S248,88.23821196253117
40_E7_S239,105.09304501712924
35_E11_S259,106.74548232501193
40_D2_S236,100.68710912936439
35_D2_S254,93.52510462737938
35_E9_S258,91.7532705905634
35_F4_S261,89.8454888645386
40_G9_S246,91.58034395626285
35_F2_S260,100.97407126890248
40_F6_S244,106.59446393018884
40_G11_S247,88.64068794699251
585_S229,169.73524822468465
40_B2_S230,107.7338229287456
40_E11_S241,94.97228280919173
35_B6_S249,93.42603618675399
35_D4_S255,100.71856868984973
35_C5_S251,95.24446715114412
40_D8_S238,100.3862819066192
35_G5_S263,92.81736439213769
40_D4_S237,91.83901373194878
40_C5_S233,104.63196232915911
35_G11_S265,95.19511295389378
40_C7_S234,105.45923784077327
35_D8_S256,79.28127236861354
35_C9_S253,78.7875548603408
35_G9_S264,107.4305491253816
40_C9_S235,108.91321488718594
40_F4_S243,106.78574318952914
35_C7_S252,83.49987086551934
