strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_B2,35 evolved,4.608262146292276,0.6020907182389689,4.224178683392522,313.42884586875243,36.72357382732943,48.39796086138277,21.627211564237044,8.107810781078111,0.6289763621966871,15
35_B6,35 evolved,2.805490557021043,1.0182841309155097,2.643346177511051,308.91996926767126,34.322581113173165,50,22.696442143384775,8.789878987898788,0.5262479102411604,15
35_B8,35 evolved,3.891501529436637,0.7695510766420638,2.4826796465557237,310.9255279453305,35.11317070758724,50,20.285132095200698,9.933993399339936,0.3796026053545315,15
35_C5,35 evolved,4.342254804190223,0.6772791450065346,2.4570998476267376,312.21508167500104,35.79659009762177,50,19.726767066127444,10.473047304730471,0.42070600893769206,15
35_C7,35 evolved,4.086697835853949,0.7277037643671281,2.463130247063676,311.7016454065948,35.62517640063338,50,20.391792384800667,10.198019801980198,0.377834189949786,15
35_C9,35 evolved,4.903831536356141,0.572128204523041,3.90067234830269,313.49423785432447,36.56704208934836,49.22457742537133,20.818816168321575,8.652365236523654,0.7386665986866756,15
35_D2,35 evolved,4.999580323504161,0.5600251635334028,3.855201264665345,313.2585598735914,36.26886742087154,49.060473892391265,20.139494093953175,8.778877887788777,0.6212631609239605,15
35_D4,35 evolved,4.173467915176744,0.7092112828767313,2.7459594345220726,311.64439641687943,35.31185541252097,53.83794363236262,20.30214323444781,9.559955995599559,0.3823246206919394,15
35_D8,35 evolved,4.282278958919722,0.6892901972442492,2.6092417075327603,311.997645898118,35.588771802763155,50,20.06367208077689,9.994499449944993,0.47702837898806216,15
35_E11,35 evolved,5.082100512159034,0.5501104229486296,3.6084670184439576,313.7651049942779,36.63305532037638,50.35294127797148,20.235125989758014,9.180418041804185,0.645336064848963,15
35_E7,35 evolved,4.617972225677798,0.594290595184776,4.6889387454174525,313.4538468927439,36.85704741009722,47.39748584659241,21.799043985979647,7.76127612761276,0.6679172284578305,15
35_E9,35 evolved,4.80278355647298,0.5875252374835805,4.166960509405166,313.0650837022781,36.29482683029173,48.10678857289382,21.020158786506183,8.245324532453242,0.5638022191918641,15
35_F2,35 evolved,4.7962853665391485,0.5786011273346715,4.3389980830198684,313.892331733168,37.12210898557257,48.53596708609841,21.891811876107848,8.18481848184819,0.6549225745625493,15
