"strain","evo_history","growth_41C","growth_42C"
"35_B2","35°C Evolved",2.59573570634521,0.300589068255582
"35_B6","35°C Evolved",0.841805618102922,0.393885756779765
"35_B8","35°C Evolved",1.92448816148708,0.471101031954995
"35_C5","35°C Evolved",2.10307585128772,0.512863303631317
"35_C7","35°C Evolved",2.18382175186213,0.563150475960999
"35_C9","35°C Evolved",2.45516584622668,0.281225493000215
"35_D2","35°C Evolved",1.88250230352249,0.27539695213375
"35_D4","35°C Evolved",1.37880422846749,0.383224581573228
"35_D8","35°C Evolved",2.34258497792661,0.367991971958965
"35_E11","35°C Evolved",2.60769017335433,0.314624855665325
"35_E7","35°C Evolved",2.13193256593326,0.258381107859923
"35_E9","35°C Evolved",1.89217397390827,0.295913212238796
"35_F2","35°C Evolved",3.0237290467094,0.318787808736731
"35_F4","35°C Evolved",1.42277299784022,0.638675095803072
"35_F6","35°C Evolved",1.13741524063409,0.252793251160055
"35_G11","35°C Evolved",2.11128499008171,0.49707801366148
"35_G5","35°C Evolved",1.2997107039594,0.349106729292614
"35_G9","35°C Evolved",1.1682812410652,0.261800592691672
"40_B2","40°C Evolved",4.3916532138533,1.77359946637383
"40_B6","40°C Evolved",5.93300351153215,0.255411125581712
"40_B8","40°C Evolved",5.21348091605833,0.833985965245431
"40_C5","40°C Evolved",4.33291380874205,0.610836846756035
"40_C7","40°C Evolved",4.03168228986372,0.481613079188029
"40_C9","40°C Evolved",4.37756198500211,0.421657834614899
"40_D2","40°C Evolved",3.21625930331659,0.685300688160896
"40_D4","40°C Evolved",4.53917149701532,1.73821929564862
"40_D8","40°C Evolved",3.94681192378604,0.294163066528663
"40_E11","40°C Evolved",4.72481378955785,0.447111373595931
"40_E7","40°C Evolved",4.75480363393495,0.277512874402667
"40_E9","40°C Evolved",4.0338435300186,0.346385110697464
"40_F2","40°C Evolved",5.98380586956841,0.665831188798896
"40_F4","40°C Evolved",4.45463654939418,1.12636712038947
"40_F6","40°C Evolved",6.1167751420108,0.371331508322264
"40_G11","40°C Evolved",4.79605422428465,1.91674983343518
"40_G5","40°C Evolved",3.97329887374907,0.488477145852505
"40_G9","40°C Evolved",6.0091420836732,1.71239726360872
"fRS585","Ancestor",2.64827794957542,0.367536198052631
