Sample,PC1,PC2
40_B2,-0.23198817045552564,-0.06928889832253045
40_B6,0.5394908818504706,0.02293233397057684
40_B8,-0.28310442582668377,-0.026091489496659962
40_C5,0.3844359939108044,0.02672649037279941
40_C7,0.21272551603678966,-0.020838640891520866
40_C9,-0.24331291558904775,-0.10048124397388206
40_D2,0.7102985229986356,0.06218287618195987
40_D4,0.6310308310757233,0.033407236068601597
40_D8,0.4811259377717413,0.028781894137273417
40_E11,-0.32832580732058814,-0.14246915320667095
40_E7,0.16092960778675447,-0.02577776414769717
40_E9,0.3829235280609859,0.006235705498433087
40_F2,-0.48124517201488687,-0.05349378981305944
40_F4,-0.2325150042814083,-0.08385609244733544
40_F6,-0.5243924805580458,1.3501553187378224
40_G11,-0.43166254200603194,-0.4091195568248475
40_G5,-0.21426625772979652,-0.07180874521488098
40_G9,-0.532148043709892,-0.5271964806283806
