Sample,PC1,PC3
40_B2,-0.23198817045552564,0.050437230657673277
40_B6,0.5394908818504706,-0.0428499426338628
40_B8,-0.28310442582668377,0.03990608096982116
40_C5,0.3844359939108044,-0.028269685803550996
40_C7,0.21272551603678966,0.01042532006909692
40_C9,-0.24331291558904775,0.02097966697446209
40_D2,0.7102985229986356,-0.031604423563707774
40_D4,0.6310308310757233,0.02518736773372601
40_D8,0.4811259377717413,-0.03595931792910252
40_E11,-0.32832580732058814,0.28097751895304307
40_E7,0.16092960778675447,-0.01989366821602415
40_E9,0.3829235280609859,0.027109706464032945
40_F2,-0.48124517201488687,1.091570875261052
40_F4,-0.2325150042814083,0.002330993236441804
40_F6,-0.5243924805580458,-0.3064576692560797
40_G11,-0.43166254200603194,-0.4795587105650088
40_G5,-0.21426625772979652,0.016825216467006476
40_G9,-0.532148043709892,-0.6211565588190193
